Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
1800,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
1900,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2000,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2100,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2200,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2300,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2400,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2500,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2600,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2700,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2800,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
2900,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
3000,120000000.00000001,JetSurF1.0,H + HCO <=> CO + H2
300,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
400,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
500,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
600,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
700,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
800,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
900,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1000,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1100,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1200,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1300,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1400,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1500,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1600,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1700,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1800,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
1900,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2000,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2100,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2200,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2300,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2400,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2500,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2600,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2700,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2800,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
2900,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
3000,72300000.00000001,Dooley/methylformate_all_ARHEbathgas,H + HCO <=> CO + H2
300,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
400,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
500,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
600,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
700,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
800,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
900,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1000,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1100,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1200,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1300,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1400,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1500,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1600,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1700,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1800,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
1900,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2000,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2100,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2200,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2300,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2400,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2500,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2600,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2700,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2800,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
2900,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
3000,84820000.00000001,FFCM1(-),H + HCO <=> CO + H2
