ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
5051.00,939.00,1.00,193104.88,39045.24,232150.12,963.64,19.08
2547.00,967.00,0.98,49101.68,20033.70,69135.38,525.87,20.65
1193.00,1022.00,0.93,9884.89,5936.37,15821.26,251.57,21.09
1202.00,1026.00,1.00,10077.83,5262.30,15340.14,247.71,20.61
637.00,1088.00,0.93,1652.08,1551.43,3203.51,113.20,17.77
553.00,1128.00,0.90,1186.15,775.32,1961.47,88.58,16.02
469.00,1163.00,0.85,845.53,479.09,1324.62,72.79,15.52
279.00,1267.00,0.81,299.22,141.87,441.09,42.00,15.06
157.00,1371.00,0.92,94.75,40.66,135.41,23.27,14.82
125.00,1445.00,0.91,60.06,23.27,83.34,18.26,14.61
105.00,1498.00,0.85,42.38,18.40,60.78,15.59,14.85
113.00,1566.00,0.73,49.08,20.80,69.89,16.72,14.80
65.00,1670.00,0.90,16.24,6.66,22.91,9.57,14.73
80.00,1688.00,0.79,24.60,8.49,33.09,11.51,14.38
66.00,1747.00,0.84,16.74,5.82,22.57,9.50,14.40
52.00,1804.00,0.95,10.39,4.35,14.74,7.68,14.77
28.00,1998.00,1.32,3.46,4.46,7.91,5.63,20.09
29.00,2087.00,1.10,3.67,3.63,7.29,5.40,18.63
24.00,2109.00,1.13,2.66,3.64,6.30,5.02,20.91
