ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
48.00,1718.00,1.13,6.42,14.85,21.27,9.22,19.22
53.00,1709.00,1.12,7.82,14.60,22.41,9.47,17.86
109.00,1456.00,0.87,33.06,22.45,55.51,14.90,13.67
105.00,1437.00,0.96,30.68,12.63,43.31,13.16,12.54
114.00,1382.00,0.99,36.16,11.96,48.12,13.87,12.17
192.00,1256.00,0.99,102.58,16.94,119.51,21.86,11.39
252.00,1192.00,1.05,176.70,38.48,215.19,29.34,11.64
316.00,1153.00,0.98,277.86,40.34,318.19,35.68,11.29
367.00,1119.00,0.98,374.78,60.39,435.17,41.72,11.37
545.00,1061.00,1.01,832.82,140.46,973.29,62.40,11.45
775.00,1014.00,1.03,2110.37,396.24,2506.61,100.13,12.92
1480.00,961.00,1.00,13059.01,1289.13,14348.13,239.57,16.19
1390.00,956.00,0.94,11365.81,1835.03,13200.84,229.79,16.53
2500.00,937.00,1.02,37781.64,2514.83,40296.47,401.48,16.06
3620.00,918.00,1.02,79216.92,4256.41,83473.33,577.84,15.96
