ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
18.60,2258.00,0.40,1.70,265.88,267.59,32.72,175.89
26.70,2278.00,0.40,3.19,266.64,269.83,32.85,123.04
29.90,2320.00,0.41,3.86,268.08,271.94,32.98,110.30
49.70,2074.00,0.36,9.50,219.99,229.48,30.30,60.96
34.30,1929.00,0.33,4.87,115.04,119.91,21.90,63.85
63.70,1838.00,0.32,15.60,25.13,40.73,12.76,20.04
74.00,1736.00,0.29,21.05,65.61,86.66,18.62,25.16
93.30,1745.00,0.30,33.46,44.77,78.23,17.69,18.96
111.70,1572.00,0.26,47.96,3104.12,3152.08,112.29,100.53
144.80,1604.00,0.27,80.60,1732.83,1813.42,85.17,58.82
164.40,1605.00,0.27,103.89,1709.77,1813.66,85.17,51.81
215.70,1428.00,0.23,178.85,30757.27,30936.12,351.77,163.08
