ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
29.10,2554.00,0.46,2.73,1387.44,1390.17,74.57,256.25
39.50,2420.00,0.43,4.52,1496.72,1501.24,77.49,196.18
73.00,2364.00,0.42,14.83,1564.10,1578.92,79.47,108.86
83.60,2287.00,0.41,19.45,1680.06,1699.50,82.45,98.62
89.80,2231.00,0.40,22.44,1779.46,1801.89,84.90,94.54
93.40,2067.00,0.36,24.27,2182.81,2207.08,93.96,100.60
69.70,1981.00,0.35,13.52,2590.97,2604.48,102.07,146.44
117.20,1794.00,0.31,38.22,5180.65,5218.87,144.48,123.28
136.00,1770.00,0.30,51.47,5973.59,6025.06,155.24,114.15
224.50,1738.00,0.30,140.24,7504.36,7644.60,174.87,77.89
250.10,1681.00,0.29,174.05,12031.46,12205.51,220.96,88.35
272.50,1653.00,0.28,206.62,15523.42,15730.04,250.84,92.05
230.40,1633.00,0.28,147.71,18959.19,19106.90,276.46,119.99
261.70,1615.00,0.27,190.57,22742.99,22933.55,302.88,115.73
287.00,1602.00,0.27,229.20,26457.79,26686.99,326.72,113.84
