ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
90.00,1739.00,1.43,22.54,64.98,87.52,18.71,20.79
140.00,1487.00,1.50,54.54,109.49,164.02,25.61,18.30
203.00,1405.00,1.71,114.67,51.42,166.09,25.78,12.70
266.00,1331.00,1.58,196.88,115.57,312.45,35.35,13.29
330.00,1272.00,1.75,303.02,91.18,394.21,39.71,12.03
453.00,1208.00,1.62,571.01,194.67,765.67,55.34,12.22
713.00,1131.00,1.67,1645.85,497.73,2143.57,92.60,12.99
1090.00,1068.00,1.73,6080.33,1924.33,8004.66,178.94,16.42
1128.00,1043.00,1.80,6704.20,4021.37,10725.56,207.13,18.36
1160.00,1037.00,1.89,7244.07,6425.95,13670.02,233.84,20.16
