ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
82.00,1160.00,4.12,18.71,3129.54,3148.25,112.22,136.85
122.00,1116.00,4.04,41.42,12670.78,12712.19,225.50,184.83
189.00,1065.00,3.94,99.40,73876.76,73976.16,543.97,287.82
255.00,1051.00,3.97,180.94,166442.84,166623.77,816.39,320.15
300.00,1047.00,3.99,250.43,223018.18,223268.61,945.03,315.01
596.00,1021.00,3.95,1022.61,658686.29,659708.90,1624.45,272.56
714.00,1017.00,3.93,1652.53,729426.16,731078.69,1710.06,239.50
762.00,1014.00,3.92,2004.31,808379.09,810383.39,1800.43,236.28
1640.00,1002.00,3.95,16201.08,1756996.75,1773197.82,2663.23,162.39
1910.00,995.00,3.91,22048.00,2077468.38,2099516.38,2897.94,151.72
3380.00,972.00,3.82,69061.21,4588796.75,4657857.96,4316.41,127.70
4290.00,964.00,4.07,111253.93,25592923.74,25704177.68,10139.86,236.36
3660.00,962.00,3.89,80977.24,11594956.93,11675934.17,6834.01,186.72
