ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
3468.00,889.00,1.02,91032.54,6965.49,97998.03,626.09,18.05
4709.00,894.00,1.06,167840.16,5896.54,173736.70,833.63,17.70
3989.00,895.00,1.02,120438.84,6108.56,126547.40,711.47,17.84
3999.00,897.00,1.06,121043.46,5526.61,126570.07,711.53,17.79
1107.00,911.00,1.05,8094.59,4179.17,12273.75,221.57,20.02
731.00,926.00,1.08,2384.81,2979.89,5364.70,146.49,20.04
739.00,927.00,1.05,2459.34,3041.71,5501.05,148.34,20.07
329.00,975.00,1.11,416.08,1192.38,1608.46,80.21,24.38
253.00,1012.00,1.02,246.05,746.32,992.37,63.00,24.90
157.00,1061.00,0.98,94.75,393.51,488.26,44.19,28.15
96.00,1128.00,1.20,35.43,126.49,161.91,25.45,26.51
136.00,1154.00,0.68,71.10,269.18,340.28,36.89,27.13
84.00,1165.00,1.11,27.12,92.06,119.18,21.83,25.99
60.00,1278.00,0.97,13.84,39.86,53.69,14.66,24.43
58.00,1306.00,0.90,12.93,37.24,50.17,14.17,24.42
60.00,1308.00,0.89,13.84,37.51,51.34,14.33,23.88
34.00,1498.00,0.87,4.80,17.17,21.97,9.38,27.57
20.00,1665.00,1.04,1.94,9.59,11.52,6.79,33.94
18.00,1675.00,1.04,1.61,9.46,11.07,6.65,36.96
