ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
5471.00,1037.00,15.89,226554.10,25015234.73,25241788.84,10048.24,183.66
5361.00,1041.00,15.99,217535.49,18529282.74,18746818.23,8659.52,161.53
3079.00,1077.00,16.58,71755.94,1640162.77,1711918.72,2616.81,84.99
2435.00,1087.00,15.89,44878.30,1448541.27,1493419.57,2444.11,100.37
1561.00,1109.00,16.88,18326.31,246712.20,265038.52,1029.64,65.96
1363.00,1111.00,16.14,13653.60,347053.85,360707.45,1201.18,88.13
581.00,1136.00,15.89,1324.83,113647.77,114972.60,678.15,116.72
967.00,1141.00,16.09,5479.65,78447.97,83927.63,579.41,59.92
427.00,1142.00,15.77,700.87,91054.46,91755.34,605.82,141.88
156.00,1170.00,16.09,93.55,19490.62,19584.17,279.89,179.41
95.00,1180.00,17.57,34.69,5127.79,5162.48,143.70,151.26
107.00,1183.00,16.80,44.01,6948.52,6992.53,167.24,156.30
31.00,1255.00,16.48,4.11,376.52,380.63,39.02,125.87
