ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
2227.00,835.00,1.67,29980.54,34966.27,64946.80,509.69,22.89
2019.00,866.00,0.90,24640.30,32791.91,57432.21,479.30,23.74
1525.00,886.00,0.92,13923.64,18836.79,32760.43,362.00,23.74
1302.00,910.00,0.99,9750.83,8961.24,18712.07,273.58,21.01
1059.00,920.00,1.01,5587.78,6749.30,12337.08,222.14,20.98
1014.00,945.00,1.07,4903.86,3288.56,8192.42,181.02,17.85
888.00,980.00,1.14,3235.89,1268.26,4504.15,134.23,15.12
543.00,1045.00,1.30,826.18,251.89,1078.06,65.67,12.09
177.00,1120.00,1.47,87.17,65.22,152.39,24.69,13.95
156.00,1200.00,1.66,67.72,34.93,102.65,20.26,12.99
130.00,1225.00,1.72,47.03,32.33,79.35,17.82,13.70
143.00,1240.00,1.76,56.90,31.11,88.01,18.76,13.12
115.00,1250.00,1.80,36.80,30.81,67.61,16.45,14.30
109.00,1280.00,1.86,33.06,28.98,62.04,15.75,14.45
117.00,1300.00,1.91,38.09,28.36,66.45,16.30,13.93
84.00,1335.00,2.01,19.63,27.18,46.81,13.68,16.29
