ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
373.00,1035.00,3.78,387.14,735.28,1122.41,67.00,17.96
539.00,1021.00,4.04,813.05,655.76,1468.80,76.65,14.22
779.00,1010.00,4.09,2143.95,1262.68,3406.63,116.73,14.98
1530.00,999.00,4.07,14020.55,2280.54,16301.09,255.35,16.69
1320.00,998.00,4.00,10077.96,2263.10,12341.06,222.18,16.83
2060.00,992.00,4.04,25651.85,3513.75,29165.60,341.56,16.58
3410.00,972.00,3.95,70292.59,21984.80,92277.39,607.54,17.82
4290.00,958.00,3.93,111253.93,89096.32,200350.25,895.21,20.87
