ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
10050.00,924.00,3.42,610566.43,3104550.25,3715116.67,3854.93,38.36
7912.00,930.00,3.59,378419.36,2596843.12,2975262.48,3449.79,43.60
13090.00,930.00,3.53,1035809.97,2454067.69,3489877.66,3736.24,28.54
10420.00,930.00,3.64,656351.12,2744610.13,3400961.25,3688.34,35.40
7851.00,931.00,3.62,372606.78,2551775.69,2924382.46,3420.17,43.56
7723.00,938.00,3.65,360556.11,1764947.20,2125503.31,2915.82,37.76
6973.00,938.00,3.54,293927.44,1550847.64,1844775.08,2716.45,38.96
6133.00,938.00,3.52,227377.10,1526398.24,1753775.35,2648.60,43.19
6803.00,939.00,3.62,279770.38,1612625.50,1892395.89,2751.29,40.44
7274.00,939.00,3.60,319850.76,1569507.63,1889358.39,2749.08,37.79
5627.00,944.00,3.65,191405.59,1257005.03,1448410.62,2407.00,42.78
6819.00,944.00,3.52,281087.92,1092855.02,1373942.94,2344.31,34.38
4740.00,949.00,3.51,135818.05,815360.29,951178.34,1950.57,41.15
3652.00,957.00,3.54,80623.63,541370.64,621994.26,1577.33,43.19
3737.00,958.00,3.71,84420.32,618697.34,703117.66,1677.04,44.88
3882.00,964.00,3.57,91098.63,380862.70,471961.33,1373.99,35.39
3408.00,967.00,3.52,70210.16,307153.80,377363.96,1228.60,36.05
3352.00,967.00,3.71,67921.74,383334.08,451255.82,1343.51,40.08
2377.00,971.00,3.63,34155.37,280851.09,315006.46,1122.51,47.22
2260.00,973.00,3.62,30875.68,251876.87,282752.55,1063.49,47.06
3229.00,975.00,3.69,63028.49,244049.19,307077.68,1108.29,34.32
2893.00,977.00,3.59,50593.84,196368.66,246962.50,993.91,34.36
2920.00,981.00,3.65,51542.62,170210.27,221752.89,941.81,32.25
1625.00,984.00,3.68,15897.83,151579.93,167477.76,818.48,50.37
2075.00,987.00,3.40,26026.95,96244.57,122271.52,699.35,33.70
1641.00,992.00,3.45,16221.37,78444.34,94665.71,615.36,37.50
1103.00,1000.00,3.65,6291.44,65428.87,71720.31,535.61,48.56
1060.00,1003.00,3.57,5603.41,51595.98,57199.40,478.33,45.13
628.00,1010.00,3.45,1164.37,32390.18,33554.55,366.36,58.34
637.00,1014.00,3.44,1207.81,26257.35,27465.16,331.45,52.03
618.00,1021.00,3.37,1118.00,17710.36,18828.35,274.43,44.41
184.00,1102.00,3.39,94.21,545.25,639.46,50.58,27.49
150.00,1118.00,3.39,62.61,295.00,357.61,37.82,25.21
