ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
4541.00,956.00,18.41,156077.93,48456345.97,48612423.91,13944.52,307.08
5120.00,962.00,18.49,198416.79,31009245.05,31207661.84,11172.76,218.22
4002.00,975.00,17.89,121225.13,28131888.34,28253113.47,10630.73,265.64
2999.00,1010.00,17.87,68075.59,4222768.11,4290843.70,4142.87,138.14
2667.00,1034.00,17.63,53837.46,1613283.64,1667121.09,2582.34,96.83
2033.00,1054.00,17.54,31281.86,663711.66,694993.52,1667.33,82.01
1272.00,1083.00,17.69,11606.28,142577.23,154183.51,785.32,61.74
627.00,1114.00,17.31,1588.29,54971.61,56559.90,475.65,75.86
342.00,1142.00,17.52,449.61,13216.52,13666.13,233.80,68.36
112.00,1165.00,17.84,48.22,3605.93,3654.15,120.90,107.95
36.00,1178.00,17.37,5.29,3715.75,3721.04,122.00,338.89
