ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
52.00,1267.00,32.75,7.52,7.83,15.35,7.84,15.07
75.00,1261.00,32.90,15.65,10.24,25.89,10.18,13.57
82.00,1248.00,32.59,18.71,18.82,37.53,12.25,14.94
151.00,1234.00,32.39,63.45,39.87,103.32,20.33,13.46
321.00,1212.00,31.34,286.72,274.01,560.73,47.36,14.75
465.00,1206.00,34.15,601.66,366.45,968.11,62.23,13.38
524.00,1196.00,32.64,765.69,366.09,1131.79,67.28,12.84
923.00,1174.00,33.32,3658.22,2085.17,5743.39,151.57,16.42
1171.00,1171.00,33.76,7432.30,3276.69,10708.99,206.97,17.67
1121.00,1164.00,33.55,6587.77,5090.38,11678.15,216.13,19.28
