ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
46.00,1246.00,16.28,8.18,75.40,83.58,18.28,39.75
151.00,1172.00,12.75,87.65,564.69,652.34,51.08,33.83
203.00,1158.00,13.03,158.41,1414.20,1572.60,79.31,39.07
252.00,1148.00,12.52,244.11,1966.41,2210.51,94.03,37.31
335.00,1138.00,13.52,431.39,5760.77,6192.17,157.38,46.98
603.00,1125.00,13.71,1444.94,13909.58,15354.52,247.83,41.10
760.00,1116.00,12.72,2664.79,14976.29,17641.08,265.64,34.95
1162.00,1110.00,13.73,9227.69,35941.60,45169.29,425.06,36.58
1482.00,1107.00,12.94,16422.76,29501.21,45923.97,428.60,28.92
1630.00,1102.00,13.21,20040.21,46497.51,66537.72,515.90,31.65
1860.00,1098.00,13.26,26176.50,61898.70,88075.20,593.55,31.91
