ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
122.00,1207.00,13.81,41.42,22.99,64.41,16.05,13.16
121.00,1204.00,15.08,40.74,31.00,71.74,16.94,14.00
126.00,1204.00,12.72,44.18,35.93,80.10,17.90,14.21
111.00,1203.00,12.99,34.28,32.31,66.59,16.32,14.70
144.00,1189.00,15.29,57.70,55.71,113.41,21.30,14.79
197.00,1174.00,13.73,107.99,74.18,182.17,26.99,13.70
283.00,1147.00,14.21,222.85,267.17,490.02,44.27,15.64
395.00,1140.00,13.69,434.15,391.27,825.42,57.46,14.55
622.00,1127.00,12.92,1136.31,983.62,2119.94,92.09,14.80
1604.00,1105.00,13.37,15476.58,3099.37,18575.95,272.59,16.99
