ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
55.00,1241.00,13.35,8.42,13.43,21.85,9.35,17.00
88.00,1197.00,12.74,21.55,65.40,86.95,18.65,21.19
104.00,1192.00,12.75,30.10,80.29,110.39,21.01,20.20
102.00,1177.00,12.30,28.95,145.17,174.12,26.39,25.87
143.00,1168.00,12.64,56.90,220.61,277.51,33.32,23.30
201.00,1146.00,12.83,112.42,615.02,727.44,53.94,26.84
344.00,1137.00,13.34,329.28,1022.42,1351.70,73.53,21.38
354.00,1136.00,14.28,348.70,1336.29,1684.99,82.10,23.19
314.00,1133.00,14.43,274.35,1614.87,1889.22,86.93,27.68
453.00,1126.00,13.27,571.01,1740.18,2311.19,96.15,21.23
634.00,1125.00,14.16,1193.15,2232.59,3425.74,117.06,18.46
656.00,1118.00,13.23,1305.03,2599.26,3904.29,124.97,19.05
1067.00,1103.00,13.09,5713.34,5622.17,11335.51,212.94,19.96
1222.00,1098.00,13.26,8319.89,7596.01,15915.90,252.32,20.65
1339.00,1092.00,13.56,10425.09,11224.80,21649.88,294.28,21.98
1776.00,1089.00,13.47,19048.99,13055.83,32104.82,358.36,20.18
