ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
22.40,2352.00,0.42,1.77,942.79,944.55,61.47,274.41
31.80,2423.00,0.43,3.15,894.24,897.40,59.91,188.41
38.50,2313.00,0.41,4.33,967.41,971.74,62.35,161.94
34.50,2115.00,0.37,3.61,1291.75,1295.35,71.98,208.64
73.40,1896.00,0.33,14.99,2457.95,2472.94,99.46,135.50
92.80,1735.00,0.29,23.96,6365.53,6389.49,159.87,172.27
135.70,1726.00,0.29,51.24,6767.85,6819.09,165.16,121.71
115.60,1646.00,0.28,37.18,13589.64,13626.82,233.47,201.96
226.00,1574.00,0.26,142.12,28343.19,28485.31,337.55,149.36
281.70,1480.00,0.24,220.81,91262.22,91483.03,604.92,214.74
