ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
4554.00,967.00,3.96,125368.04,67185.95,192553.99,877.62,19.27
3451.00,977.00,3.92,71993.07,49290.38,121283.45,696.52,20.18
2309.00,990.00,3.89,32229.09,33878.43,66107.53,514.23,22.27
2295.00,993.00,3.94,31839.44,32593.11,64432.55,507.67,22.12
2141.00,997.00,4.00,27709.47,30840.71,58550.18,483.94,22.60
1246.00,1002.00,3.75,8744.83,22149.92,30894.75,351.54,28.21
1066.00,1012.00,4.03,5697.59,21495.91,27193.50,329.81,30.94
1047.00,1015.00,4.09,5401.59,20976.30,26377.89,324.83,31.02
928.00,1017.00,4.14,3721.28,20833.77,24555.04,313.40,33.77
524.00,1039.00,4.09,765.69,11633.32,12399.02,222.70,42.50
401.00,1061.00,4.01,447.44,6488.19,6935.62,166.56,41.54
346.00,1074.00,3.65,333.12,3638.69,3971.81,126.04,36.43
286.00,1107.00,3.85,227.60,2076.26,2303.86,96.00,33.57
200.00,1123.00,3.87,111.30,1516.96,1628.26,80.70,40.35
143.00,1171.00,4.06,56.90,701.76,758.66,55.09,38.52
134.00,1178.00,3.92,49.96,549.24,599.21,48.96,36.54
117.00,1210.00,3.75,38.09,273.79,311.88,35.32,30.19
79.00,1260.00,4.05,17.37,156.97,174.34,26.41,33.43
52.00,1327.00,4.44,7.52,87.96,95.49,19.54,37.58
34.00,1463.00,4.24,3.52,17.32,20.84,9.13,26.85
