ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
3093.00,943.00,1.07,57830.99,4631.94,62462.93,499.85,16.16
2975.00,944.00,1.10,53502.58,4597.50,58100.08,482.08,16.20
1689.00,953.00,0.92,17206.08,5272.55,22478.63,299.86,17.75
2106.00,956.00,1.05,26810.71,3524.38,30335.09,348.34,16.54
1744.00,972.00,0.91,18362.05,3865.80,22227.85,298.18,17.10
1725.00,975.00,1.10,17959.25,2460.88,20420.13,285.80,16.57
2077.00,976.00,1.11,26077.17,2445.30,28522.47,337.77,16.26
1570.00,983.00,1.03,14802.33,2127.42,16929.75,260.23,16.58
1257.00,1008.00,1.03,8940.92,1389.88,10330.80,203.28,16.17
983.00,1043.00,1.05,4457.25,809.34,5266.59,145.14,14.77
801.00,1056.00,1.01,2336.79,717.05,3053.84,110.52,13.80
765.00,1068.00,1.05,2028.37,580.83,2609.20,102.16,13.35
1039.00,1074.00,1.05,5278.95,538.67,5817.62,152.55,14.68
745.00,1091.00,1.01,1872.66,463.65,2336.31,96.67,12.98
527.00,1118.00,1.00,774.93,350.91,1125.85,67.11,12.73
630.00,1131.00,0.96,1173.89,351.00,1524.89,78.10,12.40
429.00,1191.00,0.98,512.11,188.93,701.04,52.95,12.34
414.00,1199.00,0.93,476.92,216.34,693.26,52.66,12.72
293.00,1288.00,0.91,238.88,138.39,377.27,38.85,13.26
190.00,1308.00,1.17,100.45,103.49,203.94,28.56,15.03
192.00,1324.00,1.18,102.58,100.24,202.82,28.48,14.83
168.00,1387.00,1.17,78.54,87.82,166.35,25.80,15.35
108.00,1588.00,0.98,32.46,88.67,121.12,22.01,20.38
82.00,1611.00,1.28,18.71,81.43,100.14,20.01,24.41
79.00,1698.00,1.18,17.37,80.27,97.63,19.76,25.02
36.00,2136.00,1.35,3.87,66.64,70.51,16.79,46.65
