ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
9130.00,906.00,3.50,503897.67,55849271.99,56353169.66,15013.75,164.44
6210.00,908.00,3.40,233122.39,33225897.00,33459019.40,11568.75,186.29
6185.00,909.00,3.40,231249.18,30947555.61,31178804.79,11167.60,180.56
6645.00,919.00,3.40,266925.93,15351510.38,15618436.31,7904.03,118.95
3595.00,928.00,3.40,78126.54,8283959.74,8362086.28,5783.45,160.87
3280.00,943.00,3.40,65035.20,3048472.41,3113507.61,3529.03,107.59
2810.00,951.00,3.30,47732.42,1243374.02,1291106.44,2272.54,80.87
1614.00,963.00,3.30,15676.71,580821.91,596498.61,1544.67,95.70
1268.00,969.00,3.20,9137.79,274132.30,283270.08,1064.46,83.95
581.50,992.00,3.20,964.43,68683.60,69648.03,527.82,90.77
352.00,999.00,3.10,344.77,31302.94,31647.71,355.80,101.08
82.00,1027.00,3.10,18.71,6511.93,6530.64,161.62,197.10
46.55,1049.00,3.00,6.06,1382.67,1388.72,74.53,160.11
