ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
4713.00,1006.00,3.88,134275.16,107140.77,241415.93,982.68,20.85
3078.00,1019.00,4.13,57271.43,52815.11,110086.54,663.59,21.56
2537.00,1025.00,4.06,38908.25,42238.12,81146.37,569.72,22.46
2360.00,1029.00,4.07,33668.56,35490.63,69159.19,525.96,22.29
2347.00,1037.00,4.09,33298.65,25183.71,58482.36,483.66,20.61
1607.00,1051.00,4.14,15536.53,13938.24,29474.77,343.36,21.37
1166.00,1060.00,4.10,7346.59,9940.48,17287.06,262.96,22.55
555.00,1069.00,4.09,866.90,7044.52,7911.41,177.89,32.05
329.00,1081.00,3.86,301.19,5106.73,5407.92,147.08,44.70
189.00,1116.00,4.48,99.40,1112.07,1211.46,69.61,36.83
85.00,1173.00,4.29,20.10,187.10,207.21,28.79,33.87
62.00,1216.00,4.04,10.70,63.32,74.02,17.21,27.75
49.00,1257.00,3.89,6.68,25.60,32.28,11.36,23.19
