a;NG;WTI
2012;2.530661763;16.53
2012.083333;2.37901162;16.84
2012.166667;2.056755066;17.50
2012.25;1.848236119;17.03
2012.333333;2.303186549;15.60
2012.416667;2.33162095;13.56
2012.5;2.796049514;14.49
2012.583333;2.69179004;15.51
2012.666667;2.701268174;15.58
2012.75;3.14674047;14.75
2012.833333;3.355259417;14.26
2012.916667;3.165696738;14.48
2013;3.156218604;15.62
2013.083333;3.156218604;15.71
2013.166667;3.611169033;15.32
2013.25;3.952381855;15.17
2013.333333;3.829166114;15.58
2013.416667;3.630125301;15.78
2013.5;3.431084488;17.25
2013.583333;3.250999943;17.56
2013.666667;3.431084488;17.52
2013.75;3.487953292;16.57
2013.833333;3.450040756;15.47
2013.916667;4.018728793;16.09
2014;4.464201088;15.59
2014.083333;5.686880367;16.62
2014.166667;4.644285633;16.61
2014.25;4.416810418;16.82
2014.333333;4.340985347;16.84
2014.416667;4.350463481;17.44
2014.5;3.838644248;17.07
2014.583333;3.705950372;15.91
2014.666667;3.715428506;15.36
2014.75;3.582734631;13.91
2014.833333;3.904991185;12.49
2014.916667;3.298390613;9.77
2015;2.83396205;7.78
2015.083333;2.720224442;8.34
2015.166667;2.682311906;7.88
2015.25;2.47379296;8.97
2015.333333;2.701268174;9.77
2015.416667;2.634921237;9.86
2015.5;2.69179004;8.39
2015.583333;2.625443103;7.07
2015.666667;2.521183629;7.50
2015.75;2.217883343;7.62
2015.833333;1.980929995;6.99
2015.916667;1.829279851;6.13
2016;2.161014539;5.22
