ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
503.00,1154.00,4.06,704.04,597.04,1301.08,72.14,14.34
114.00,1247.00,4.04,36.16,34.30,70.46,16.79,14.73
512.00,1162.00,4.08,729.83,481.42,1211.25,69.61,13.59
358.00,1180.00,3.85,356.62,176.06,532.69,46.16,12.89
335.00,1190.00,3.95,312.27,140.50,452.77,42.56,12.70
449.00,1164.00,3.75,560.97,328.40,889.37,59.64,13.28
362.00,1179.00,3.73,364.64,208.38,573.01,47.88,13.23
199.00,1211.00,3.68,110.19,88.01,198.20,28.16,14.15
2348.00,1058.00,3.86,33327.03,22645.72,55972.75,473.17,20.15
1857.00,1065.00,3.87,20837.61,16271.10,37108.71,385.27,20.75
998.00,1110.00,3.87,4670.67,2241.72,6912.39,166.28,16.66
90.00,1260.00,3.93,22.54,19.93,42.47,13.03,14.48
63.00,1271.00,3.85,11.04,14.57,25.61,10.12,16.07
