ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
48.00,1267.00,9.70,6.42,23.63,30.06,10.96,22.84
69.00,1235.00,10.30,13.25,37.97,51.22,14.31,20.74
104.00,1213.00,10.40,30.10,50.36,80.46,17.94,17.25
251.00,1170.00,10.05,175.30,65.82,241.12,31.06,12.37
378.00,1149.00,10.40,397.58,104.48,502.06,44.81,11.86
316.00,1139.00,9.50,277.86,91.79,369.65,38.45,12.17
490.00,1121.00,9.60,668.09,113.43,781.52,55.91,11.41
517.00,1120.00,10.40,744.56,151.89,896.45,59.88,11.58
637.00,1084.00,10.10,1207.81,207.25,1415.06,75.23,11.81
708.00,1073.00,9.80,1612.80,221.17,1833.97,85.65,12.10
730.00,1046.00,9.70,1762.99,331.13,2094.12,91.52,12.54
1071.00,1037.00,9.50,5776.54,393.62,6170.16,157.10,14.67
1645.00,1013.00,9.50,16302.61,582.02,16884.63,259.88,15.80
2017.00,929.00,10.10,24591.47,3045.63,27637.10,332.49,16.48
2337.00,898.00,9.20,33015.50,6488.41,39503.90,397.51,17.01
3155.00,839.00,9.80,60172.70,29394.97,89567.67,598.56,18.97
4397.00,797.00,9.60,116872.87,119698.66,236571.54,972.77,22.12
5068.00,768.00,10.20,155265.16,392229.29,547494.45,1479.86,29.20
5718.00,764.00,10.19,197646.49,457341.88,654988.37,1618.63,28.31
8317.00,721.00,9.30,418152.02,2489366.08,2907518.10,3410.29,41.00
