ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
72.00,1273.00,10.50,14.42,2554.89,2569.32,101.38,140.80
147.00,1220.00,9.87,60.13,9854.80,9914.93,199.15,135.47
276.00,1175.00,9.65,211.96,22982.41,23194.38,304.59,110.36
343.00,1173.00,10.17,327.37,12819.47,13146.84,229.32,66.86
369.00,1171.00,9.98,378.88,16390.85,16769.73,259.00,70.19
456.00,1165.00,9.79,578.59,22248.94,22827.53,302.18,66.27
666.00,1124.00,9.44,1359.34,61004.22,62363.56,499.45,74.99
746.00,1123.00,9.90,1880.19,35486.96,37367.15,386.61,51.82
703.00,1112.00,10.86,1580.39,14386.81,15967.19,252.72,35.95
1474.00,1042.00,10.85,12944.70,44737.54,57682.23,480.34,32.59
1761.00,980.00,9.82,18725.64,437940.95,456666.59,1351.54,76.75
3176.00,931.00,9.99,60976.40,976486.63,1037463.03,2037.12,64.14
4307.00,871.00,9.77,112137.41,5049935.40,5162072.81,4544.04,105.50
7181.00,833.00,10.08,311724.29,9387556.11,9699280.40,6228.73,86.74
8664.00,792.00,9.78,453771.99,43068528.90,43522300.89,13194.29,152.29
