ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
29.91,1581.53,1.28,2.85,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
69.97,1484.15,1.28,13.62,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
69.94,1470.46,1.28,13.61,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
100.33,1421.22,1.28,28.01,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
129.30,1362.44,1.28,46.52,0.00,46.52,13.64,10.55
208.97,1371.59,1.28,121.51,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
255.24,1307.98,1.28,181.28,0.00,181.28,26.93,10.55
329.69,1310.69,1.28,302.46,0.00,302.46,34.78,10.55
382.28,1280.89,1.28,406.63,0.00,406.63,40.33,10.55
623.03,1238.00,1.28,1141.08,0.00,1141.08,67.56,10.84
