ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
5.60,1565.27,4.74,0.14,897.84,897.98,59.93,1070.22
8.77,1479.62,4.30,0.33,2241.79,2242.12,94.70,1079.84
11.60,1434.76,4.07,0.55,3492.01,3492.56,118.20,1018.93
13.70,1427.03,4.03,0.74,3750.48,3751.22,122.49,894.12
16.90,1379.49,3.79,1.08,5514.17,5515.26,148.53,878.87
18.90,1358.28,3.68,1.32,6259.18,6260.50,158.25,837.28
20.60,1320.38,3.48,1.53,6931.43,6932.96,166.53,808.39
24.30,1324.34,3.50,2.02,6927.01,6929.03,166.48,685.11
30.00,1289.54,3.33,2.87,6258.22,6261.09,158.25,527.51
40.30,1268.55,3.22,4.68,5442.94,5447.62,147.62,366.29
41.40,1260.10,3.18,4.90,5396.74,5401.64,146.99,355.05
57.20,1230.84,3.03,9.10,12627.65,12636.76,224.83,393.05
59.60,1236.58,3.06,9.88,9517.88,9527.77,195.22,327.55
65.70,1227.42,3.01,12.01,15178.39,15190.40,246.50,375.19
93.20,1217.27,2.96,24.17,27130.66,27154.83,329.57,353.62
165.00,1178.30,2.76,75.76,242840.59,242916.35,985.73,597.41
175.00,1175.17,2.74,85.22,286279.39,286364.61,1070.26,611.58
204.00,1161.77,2.67,115.80,568632.75,568748.54,1508.31,739.37
352.00,1125.27,2.49,344.77,3353246.77,3353591.54,3662.56,1040.50
557.00,1112.04,2.42,873.89,6256858.26,6257732.15,5003.09,898.22
506.00,1104.63,2.38,712.53,8862017.78,8862730.31,5954.07,1176.69
769.00,1071.57,2.21,2060.83,41826533.05,41828593.88,12935.01,1682.06
