ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
606.00,1163.00,3.88,1064.87,1303.57,2368.44,97.33,16.06
992.00,1118.00,3.96,4584.69,7306.18,11890.87,218.09,21.98
395.00,1174.00,3.95,434.15,854.98,1289.12,71.81,18.18
1075.00,1111.00,3.93,5840.00,9664.74,15504.75,249.04,23.17
1823.00,1072.00,3.87,20077.97,56002.88,76080.84,551.66,30.26
92.00,1244.00,4.01,23.55,94.38,117.93,21.72,23.61
238.00,1194.00,3.90,157.62,431.11,588.72,48.53,20.39
785.00,1131.00,3.96,2195.18,4319.92,6515.09,161.43,20.56
160.00,1220.00,4.03,71.23,205.11,276.35,33.25,20.78
387.00,1171.00,4.09,416.74,1259.39,1676.13,81.88,21.16
547.00,1154.00,3.99,839.52,1840.09,2679.61,103.53,18.93
100.00,1241.00,3.95,27.83,96.32,124.14,22.28,22.28
