ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
91.00,1305.90,0.94,23.04,36.35,59.39,15.41,16.94
107.10,1290.80,0.99,31.92,26.64,58.55,15.30,14.29
144.30,1252.10,0.99,57.94,50.06,108.00,20.78,14.40
150.00,1237.50,1.01,62.61,54.60,117.20,21.65,14.43
225.70,1213.10,1.02,141.75,83.82,225.57,30.04,13.31
280.00,1196.30,1.06,218.15,129.62,347.77,37.30,13.32
281.40,1199.60,1.03,220.34,110.24,330.58,36.36,12.92
317.90,1182.70,1.05,281.21,172.87,454.08,42.62,13.41
450.00,1152.90,1.05,563.47,404.85,968.32,62.24,13.83
494.60,1151.50,0.96,680.70,779.68,1460.37,76.43,15.45
525.00,1143.40,1.04,768.76,534.30,1303.06,72.20,13.75
825.00,1111.20,1.03,2562.99,1635.96,4198.96,129.60,15.71
989.30,1104.30,1.03,4546.26,2111.75,6658.01,163.19,16.50
