ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
75.70,1340.20,1.07,15.95,13.97,29.91,10.94,14.45
127.10,1272.80,1.05,44.95,22.68,67.63,16.45,12.94
196.40,1235.70,1.10,107.33,77.33,184.66,27.18,13.84
239.30,1219.70,1.09,159.34,83.88,243.22,31.19,13.03
325.00,1194.70,0.99,293.91,160.69,454.60,42.64,13.12
642.90,1155.80,1.03,1237.18,232.62,1469.80,76.68,11.93
750.00,1141.60,1.00,1910.56,706.78,2617.34,102.32,13.64
839.30,1134.30,1.04,2705.69,601.56,3307.26,115.02,13.70
1064.30,1107.60,0.99,5670.84,3361.32,9032.15,190.08,17.86
