ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
91.00,1317.00,15.70,23.04,395.72,418.76,40.93,44.98
116.00,1303.00,15.80,37.44,534.18,571.62,47.82,41.22
127.00,1295.00,15.80,44.88,649.53,694.41,52.70,41.50
182.00,1275.00,15.50,92.17,1211.62,1303.79,72.22,39.68
184.00,1271.00,15.80,94.21,1190.88,1285.09,71.70,38.97
193.00,1269.00,15.80,103.65,1254.31,1357.96,73.70,38.19
185.00,1267.00,15.80,95.23,1321.41,1416.65,75.28,40.69
322.00,1231.00,16.10,288.51,3266.80,3555.31,119.25,37.04
499.00,1195.00,16.30,692.86,9156.51,9849.37,198.49,39.78
540.00,1186.00,15.90,816.31,12927.71,13744.02,234.47,43.42
699.00,1164.00,16.40,1554.90,24137.22,25692.13,320.58,45.86
1056.00,1137.00,16.60,5540.99,59306.29,64847.28,509.30,48.23
1120.00,1132.00,16.70,6571.19,70568.95,77140.14,555.48,49.60
