ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
61.00,1311.00,59.70,10.35,466.26,476.61,43.66,71.58
92.00,1281.00,59.60,23.55,811.98,835.54,57.81,62.84
121.00,1261.00,60.10,40.74,1248.66,1289.40,71.82,59.35
125.00,1263.00,60.30,43.48,1220.13,1263.61,71.09,56.88
177.00,1230.00,61.70,87.17,2788.35,2875.52,107.25,60.59
317.00,1188.00,61.80,279.62,7172.00,7451.61,172.65,54.46
454.00,1156.00,62.70,573.53,17497.14,18070.67,268.85,59.22
698.00,1117.00,61.90,1548.59,42917.76,44466.35,421.74,60.42
755.00,1109.00,63.00,1949.14,62451.87,64401.02,507.55,67.22
921.00,1095.00,63.30,3633.19,96775.51,100408.69,633.75,68.81
