ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
216.00,1271.00,15.80,129.82,562.02,691.84,52.61,24.35
212.00,1269.00,15.80,125.06,576.87,701.93,52.99,24.99
223.00,1267.00,15.80,138.37,592.27,730.64,54.06,24.24
332.00,1231.00,16.10,306.71,860.43,1167.14,68.33,20.58
510.00,1195.00,16.30,724.02,1951.56,2675.58,103.45,20.28
550.00,1186.00,15.90,849.68,2312.75,3162.43,112.47,20.45
704.00,1164.00,16.40,1586.82,5061.13,6647.95,163.07,23.16
1080.00,1137.00,16.60,5919.71,15641.83,21561.54,293.68,27.19
1141.00,1132.00,16.70,6922.06,21183.55,28105.61,335.29,29.39
