ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
2059.00,1181.00,1.99,25626.94,35012.07,60639.01,492.50,23.92
900.00,1279.00,2.15,3376.88,6341.64,9718.52,197.17,21.91
748.00,1303.00,2.11,1895.32,3463.19,5358.51,146.40,19.57
460.00,1340.00,2.08,588.79,1625.90,2214.69,94.12,20.46
401.00,1363.00,2.01,447.44,920.80,1368.24,73.98,18.45
291.00,1402.00,2.00,235.63,504.54,740.17,54.41,18.70
267.00,1408.00,1.94,198.37,438.54,636.91,50.47,18.90
206.00,1432.00,1.91,118.08,319.90,437.98,41.86,20.32
146.00,1497.00,1.93,59.31,146.11,205.42,28.67,19.63
124.00,1524.00,1.82,42.78,122.44,165.23,25.71,20.73
66.00,1654.00,1.90,12.12,34.10,46.23,13.60,20.60
