ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
52.10,1381.20,1.08,7.55,6.63,14.18,7.53,14.46
57.10,1382.30,1.00,9.07,5.59,14.66,7.66,13.41
80.00,1329.30,1.09,17.81,14.11,31.92,11.30,14.13
80.70,1329.10,0.97,18.12,11.80,29.92,10.94,13.56
85.70,1303.50,0.93,20.44,18.94,39.38,12.55,14.65
85.70,1309.80,0.94,20.44,16.72,37.15,12.19,14.22
87.10,1324.70,0.96,21.11,12.78,33.88,11.64,13.37
94.30,1280.40,0.97,24.74,25.71,50.46,14.21,15.07
128.60,1258.90,1.05,46.02,39.61,85.63,18.51,14.39
214.30,1206.00,1.03,127.79,108.44,236.22,30.74,14.34
250.00,1181.40,0.89,173.91,216.98,390.89,39.54,15.82
268.60,1188.30,1.06,200.75,170.89,371.64,38.56,14.35
458.60,1136.90,1.03,585.21,559.23,1144.44,67.66,14.75
739.30,1105.70,1.11,1830.28,1611.20,3441.48,117.33,15.87
1003.70,1086.60,1.07,4753.11,2472.59,7225.69,170.01,16.94
