ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
26.18,1994.52,0.28,2.29,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
37.61,1877.63,0.28,4.16,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
43.02,1833.79,0.28,5.25,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
48.21,1800.91,0.28,6.48,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
51.30,1751.60,0.28,7.32,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
84.30,1614.61,0.28,19.78,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
89.70,1592.69,0.28,22.39,0.00,22.39,9.46,10.55
112.64,1512.33,0.28,35.30,0.00,35.30,11.88,10.55
114.99,1515.98,0.28,36.80,0.00,36.80,12.13,10.55
127.53,1470.32,0.28,45.26,0.00,45.26,13.45,10.55
192.93,1366.21,0.28,103.57,0.00,103.57,20.35,10.55
237.29,1280.37,0.28,156.68,0.00,156.68,25.03,10.55
