ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
449.00,1172.00,1.04,560.97,18689.43,19250.39,277.49,61.80
1261.00,1112.00,1.03,9012.42,125804.71,134817.13,734.35,58.24
237.00,1192.00,0.97,156.29,5460.14,5616.44,149.89,63.24
109.00,1247.00,1.00,33.06,1449.87,1482.93,77.02,70.66
217.00,1203.00,1.01,131.03,5561.50,5692.53,150.90,69.54
491.00,1166.00,1.06,670.82,27004.85,27675.67,332.72,67.76
494.00,1163.00,1.04,679.05,24855.57,25534.61,319.59,64.69
1042.00,1119.00,1.02,5324.80,90153.55,95478.34,617.99,59.31
1188.00,1127.00,1.06,7725.58,97657.09,105382.67,649.25,54.65
69.00,1307.00,1.00,13.25,302.87,316.12,35.56,51.54
