T5,T5_units,P5,P5_units,composition,phi,tau,tau_units,ignition_type,ignition_target,ignition_amount,ignition_units,filename
1147,K,3.75,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,590.0,us,max,OHEX;,,,x10001022.xml
1240,K,3.79,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,329.0,us,max,OHEX;,,,x10001022.xml
1254,K,3.46,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,314.0,us,max,OHEX;,,,x10001022.xml
1371,K,3.6,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,197.0,us,max,OHEX;,,,x10001022.xml
1456,K,3.44,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,167.0,us,max,OHEX;,,,x10001022.xml
1471,K,3.67,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,150.0,us,max,OHEX;,,,x10001022.xml
1649,K,4.13,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,89.0,us,max,OHEX;,,,x10001022.xml
1763,K,4.25,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,75.0,us,max,OHEX;,,,x10001022.xml
1934,K,4.18,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,56.0,us,max,OHEX;,,,x10001022.xml
957,K,0.92,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,6497.0,us,max,OHEX;,,,x10001023.xml
975,K,0.9,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,5699.0,us,max,OHEX;,,,x10001023.xml
993,K,0.92,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,5478.0,us,max,OHEX;,,,x10001023.xml
994,K,0.87,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,4495.0,us,max,OHEX;,,,x10001023.xml
996,K,0.93,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,4473.0,us,max,OHEX;,,,x10001023.xml
1028,K,0.92,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,3950.0,us,max,OHEX;,,,x10001023.xml
1048,K,0.96,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,2913.0,us,max,OHEX;,,,x10001023.xml
1081,K,1.01,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,2349.0,us,max,OHEX;,,,x10001023.xml
1120,K,1.07,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,1873.0,us,max,OHEX;,,,x10001023.xml
1214,K,1.0,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,1349.0,us,max,OHEX;,,,x10001023.xml
1237,K,1.04,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,1109.0,us,max,OHEX;,,,x10001023.xml
1268,K,0.97,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,1085.0,us,max,OHEX;,,,x10001023.xml
1351,K,0.88,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,920.0,us,max,OHEX;,,,x10001023.xml
1405,K,0.85,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,802.0,us,max,OHEX;,,,x10001023.xml
1510,K,0.96,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,615.0,us,max,OHEX;,,,x10001023.xml
1564,K,0.92,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,619.0,us,max,OHEX;,,,x10001023.xml
1669,K,0.88,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,477.0,us,max,OHEX;,,,x10001023.xml
1986,K,0.94,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,302.0,us,max,OHEX;,,,x10001023.xml
2147,K,1.14,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,254.0,us,max,OHEX;,,,x10001023.xml
2158,K,0.9,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,257.0,us,max,OHEX;,,,x10001023.xml
2161,K,1.13,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,230.0,us,max,OHEX;,,,x10001023.xml
2374,K,0.86,bar,"H2:0.003, CO:0.0562, O2:0.0296, Ar:0.9112",1.0,398.0,us,max,OHEX;,,,x10001023.xml
997,K,16.24,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,5424.0,us,max,OHEX;,,,x10001024_x.xml
1000,K,15.86,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,5209.0,us,max,OHEX;,,,x10001024_x.xml
1007,K,15.69,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,4840.0,us,max,OHEX;,,,x10001024_x.xml
1015,K,16.84,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,4626.0,us,max,OHEX;,,,x10001024_x.xml
1034,K,15.69,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,3212.0,us,max,OHEX;,,,x10001024_x.xml
1068,K,15.98,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,1861.0,us,max,OHEX;,,,x10001024_x.xml
1085,K,14.7,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,1246.0,us,max,OHEX;,,,x10001024_x.xml
1106,K,16.1,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,849.0,us,max,OHEX;,,,x10001024_x.xml
1116,K,15.98,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,594.0,us,max,OHEX;,,,x10001024_x.xml
1143,K,16.2,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,299.0,us,max,OHEX;,,,x10001024_x.xml
1145,K,15.62,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,262.0,us,max,OHEX;,,,x10001024_x.xml
1146,K,16.0,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,268.0,us,max,OHEX;,,,x10001024_x.xml
1174,K,16.31,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,80.0,us,max,OHEX;,,,x10001024_x.xml
1179,K,15.86,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,68.0,us,max,OHEX;,,,x10001024_x.xml
1205,K,16.1,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,30.0,us,max,OHEX;,,,x10001024_x.xml
1215,K,15.32,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,31.0,us,max,OHEX;,,,x10001024_x.xml
942,K,3.79,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,5731.0,us,max,OHEX;,,,x10001025.xml
963,K,3.89,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,4933.0,us,max,OHEX;,,,x10001025.xml
981,K,3.93,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,3412.0,us,max,OHEX;,,,x10001025.xml
995,K,4.07,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,2438.0,us,max,OHEX;,,,x10001025.xml
1003,K,3.71,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,1221.0,us,max,OHEX;,,,x10001025.xml
1005,K,4.03,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,2095.0,us,max,OHEX;,,,x10001025.xml
1009,K,3.91,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,1068.0,us,max,OHEX;,,,x10001025.xml
1022,K,3.98,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,998.0,us,max,OHEX;,,,x10001025.xml
1044,K,3.9,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,366.0,us,max,OHEX;,,,x10001025.xml
1052,K,3.84,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,371.0,us,max,OHEX;,,,x10001025.xml
1068,K,4.16,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,285.0,us,max,OHEX;,,,x10001025.xml
1071,K,3.96,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,280.0,us,max,OHEX;,,,x10001025.xml
1080,K,3.81,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,246.0,us,max,OHEX;,,,x10001025.xml
1107,K,3.88,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,177.0,us,max,OHEX;,,,x10001025.xml
1109,K,3.99,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,166.0,us,max,OHEX;,,,x10001025.xml
1132,K,3.9,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,141.0,us,max,OHEX;,,,x10001025.xml
1142,K,5.07,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,108.0,us,max,OHEX;,,,x10001025.xml
1145,K,3.86,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,128.0,us,max,OHEX;,,,x10001025.xml
1210,K,3.97,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,82.0,us,max,OHEX;,,,x10001025.xml
1227,K,3.93,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,73.0,us,max,OHEX;,,,x10001025.xml
1282,K,3.96,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,55.0,us,max,OHEX;,,,x10001025.xml
1301,K,4.03,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,51.0,us,max,OHEX;,,,x10001025.xml
1364,K,4.04,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,38.0,us,max,OHEX;,,,x10001025.xml
924,K,1.07,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,3188.0,us,max,OHEX;,,,x10001026.xml
938,K,1.07,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,3689.0,us,max,OHEX;,,,x10001026.xml
950,K,1.04,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,1631.0,us,max,OHEX;,,,x10001026.xml
982,K,1.07,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,1179.0,us,max,OHEX;,,,x10001026.xml
993,K,0.99,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,1218.0,us,max,OHEX;,,,x10001026.xml
1080,K,0.99,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,586.0,us,max,OHEX;,,,x10001026.xml
1169,K,1.09,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,297.0,us,max,OHEX;,,,x10001026.xml
1200,K,0.88,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,349.0,us,max,OHEX;,,,x10001026.xml
1245,K,1.05,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,246.0,us,max,OHEX;,,,x10001026.xml
1336,K,0.97,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,196.0,us,max,OHEX;,,,x10001026.xml
1475,K,0.84,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,161.0,us,max,OHEX;,,,x10001026.xml
1479,K,0.93,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,128.0,us,max,OHEX;,,,x10001026.xml
1527,K,0.91,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,117.0,us,max,OHEX;,,,x10001026.xml
1734,K,1.08,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,91.0,us,max,OHEX;,,,x10001026.xml
1754,K,1.08,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,91.0,us,max,OHEX;,,,x10001026.xml
1829,K,0.93,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,93.0,us,max,OHEX;,,,x10001026.xml
1972,K,1.15,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,62.0,us,max,OHEX;,,,x10001026.xml
2011,K,1.1,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,68.0,us,max,OHEX;,,,x10001026.xml
2145,K,1.13,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,54.0,us,max,OHEX;,,,x10001026.xml
2147,K,0.97,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,70.0,us,max,OHEX;,,,x10001026.xml
2202,K,0.92,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,69.0,us,max,OHEX;,,,x10001026.xml
2214,K,0.76,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,65.0,us,max,OHEX;,,,x10001026.xml
