m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,log_idt
0.41431652631361765,1.022205183192769,1.861446810027775,2.7462648311601363,2.856363981694872,2.411943953996604,0.4331765355688686,0.9206865526709331,0.8305695777592401,1.7801661741393973,1.4729382444965167,0.929214563099896,-4.155507063760296
2.851132988528181,1.0077569415606227,1.3208169188349927,0.8405333475945711,2.5537498778830474,0.7999878509037464,1.9907237393434116,2.5607355811742223,3.076609622413333,0.8432804344716006,1.9526805536700955,1.953103065828088,-2.3127114878910837
2.057997743140683,2.171374898256092,2.0866398619773006,2.4734730073208717,1.0390728842485228,2.6804552741809125,0.3464518242771972,2.1578713756810233,2.263268860247196,2.7783152065585766,1.2901791431212628,1.0572890513965385,-4.37271216001689
1.8724395418973871,0.47343454372011623,1.0468620944654732,0.38211832568596427,1.2822742641311706,0.6485931784096126,0.7668186889597808,1.7643732436607213,3.008982825342978,2.0956032128108113,0.9435714153977559,0.4445902139553019,-2.646477312866546
2.7865091139052445,1.1857659751768934,0.658770226395437,1.2175111753189958,1.3937235285470957,1.3100547126287578,0.7828489660020552,2.1804732318354896,2.6704235355364236,0.7228315716346152,0.6271204217649378,1.4548634689088284,-2.3160818450690464
1.0823452699309455,2.672094023197712,1.1206249988669053,2.3115015058237662,1.6900904232348082,3.02148891456735,1.6493114346241784,2.6133567058974068,1.0576734779276202,2.158642240267092,1.4034154051095642,0.8007859314026581,-2.3426589965291775
2.3526192899741125,2.3099929707120452,1.958274874154007,1.2638844510812837,2.0166145257141865,2.861463596008762,2.1868641214363906,1.2988582820431296,1.0897657079701906,0.7187264057507196,1.7290933240447994,0.9206279054583522,-4.117866280092456
2.672746336170426,0.5942995520717588,1.9510418075612823,1.165128151534446,1.2263181827182337,3.1379684871613196,2.5399676908570257,3.0666070048318823,0.6561284347810287,1.9963378146410822,0.7627449131718307,2.823894501971574,-3.296315099882657
2.9040136822719185,2.2315185158747566,0.7779295876217394,0.938379698307876,1.1090560358109471,3.1349302560965517,1.053769940603426,3.114151060505531,2.517810317397019,2.5355890387395323,1.77941586799462,2.063279898012398,-2.314851221075577
2.4589795664521317,3.145162891163794,1.688711955737981,1.7556224504915536,0.8700649346972598,0.8162336866144515,1.3762294697733688,3.036956618638063,0.6606659369820695,1.8388771304010956,1.2066572425402238,1.37594805326411,-2.3331620156239614
0.634663396097748,0.9074460949915373,2.2397185366380605,1.6376666823253707,1.899339785574623,2.519249125702427,2.9006439805536464,1.630059190125968,0.38795676019680153,0.4588013280064105,2.5853747835080596,1.316018367184144,-3.5463125077592443
1.5583446757218906,0.6620568979210293,0.561160574533211,2.5618737722614786,2.2068065529930383,2.878443773448572,2.321242276399186,1.5876422370013437,0.329163887698941,2.76702115210644,0.5660771935758088,2.6970027579747975,-2.3151540374416917
0.6016050983443036,2.982634900364356,0.5162056429034748,1.601243192314367,0.3170843222286148,0.9095819983229996,1.3915010149185072,0.3166563936454377,0.5521546285505843,0.8733741713014698,0.42555166757075596,2.586543620378895,-2.3417420234794446
2.3313056686850118,0.4809609423124023,1.2248941923791121,2.1906337285054223,2.1916094441663714,0.7374122008644288,0.9544194960137855,2.251543888498606,1.687610438267223,2.0054867120226727,1.116721812251893,1.9147588561401787,-4.219136161947566
1.0549833561407405,2.6038362725348603,0.8887624740698363,2.7789749518881917,1.2763406757807536,2.7941270524061905,0.5172753868094739,1.4932850558236437,2.5379877378235123,1.716140717088527,2.0781820734093213,2.262880925877737,-2.365359343383123
1.9194164698586054,3.034073986134575,0.8197627172982404,1.3071785290620623,0.8679549901734962,2.8723677116068695,2.4300092155515896,3.064346660688113,1.6744631133173402,0.8750613507749149,1.180357452213376,1.6603172261924377,-2.3130460032232216
1.7385261525984916,1.7869513967789075,0.4842813705405113,2.5501399986933553,2.5802985858267844,1.281530504403564,1.0089130469349223,3.013949292375997,1.9299048492855486,2.5053149230482203,0.9222973258138569,0.7598282093372692,-2.3137384495928868
0.8796454005122356,0.3824621113979374,2.137136665927635,1.8910416753191812,0.5231950106879484,0.9302217900860843,0.8953302898406972,2.2560528501763875,2.9192960832776533,2.919686956119955,1.3473667304512185,1.9795122960669236,-3.412540750479586
1.1426824235237192,0.5817964930854159,2.147009900079952,0.9686401310841288,2.2484073859104563,1.6581312053025579,1.8734399727553543,2.633710213914401,0.5654200108663282,1.2594411148876843,1.8991534957686715,2.2745893993207584,-3.745191677096905
2.761412740937923,1.2589071132466827,1.39036217536583,0.930109740448112,1.8612872418256747,2.8852583111841383,1.023101069681561,0.40118064450059243,1.01123237383472,1.586535382999563,1.1742407564879955,2.8890682403104915,-4.2451469253751615
1.4180744671156613,1.4090312372695388,1.7845121368706363,0.946361898753528,0.8276946206999964,0.35598874417597454,1.5008439559039757,2.756652054859594,2.753523247573069,0.6717684368764629,2.623868719768681,1.0084397966700687,-4.27988065546208
1.0357574492544952,2.0570480417228896,0.6184558911313228,0.6825333624362279,0.9389349494085402,2.5178560728202872,0.5908302222842519,0.7239438551474697,1.364609822899499,2.029829793033305,2.5190994625318646,2.010979665838061,-2.3665274938626886
2.644653203139117,0.9860956164959918,2.1494134460680177,0.531792174036801,2.000241602715443,1.9857274608550541,2.1737681460755938,3.134839035134733,1.2957029471907737,2.834414626790365,1.5063881577767073,1.2160889414427662,-2.694731566907496
2.3073337439138286,0.4176318743359309,2.0453991854332414,2.29171369085674,1.0210553969704177,2.009234111921794,1.4810494372011607,3.0234551810533725,1.3901459035351145,2.6950377450031864,1.5196213106321814,0.5342064114900338,-3.9596138296453165
3.019832084590154,0.345587924038865,1.8165691601914369,3.1204224681918182,2.156571905452565,2.277231924216024,0.7808906836997613,0.36363165213463755,2.7398071250106937,1.7832312673476967,0.3720103317479366,0.646926678901959,-4.776786259970256
0.9886083000935286,0.5961946060494876,1.1612511415554634,1.7237038003398406,2.083600673218515,0.9262186221231954,1.039925493783501,1.1058810089977673,0.7858800489506799,2.1858669696425244,1.6106919793288035,1.7050554343873268,-3.7831414953043323
2.986874228066787,1.735114826473685,1.5912510679309617,1.4406594900021614,1.1297117868463975,1.9160841264052677,1.3584602504557033,2.5258723583444405,0.9426442789051075,2.0017468466079134,0.7167515629341412,2.207550807270442,-4.170536625429841
1.1665431401062025,0.3711879368420498,1.9239168167399316,0.5058264075375908,2.919242202224332,0.7971447637028037,1.970239919978643,2.909733266920841,2.4064521018019542,2.429441719565019,1.6857881047575736,1.1585844631430455,-3.7673629511999196
2.4544674851230197,1.8037526290907722,2.194595405436734,1.543868363463598,2.5091796846692023,2.1734373574794743,0.38862537707445743,2.530864144964201,1.2792700038800353,0.530597516032655,0.600807731040766,2.566794122264355,-2.3725607684503403
2.6557106487510675,2.230051175676901,0.7047192323040088,0.7119368357073987,2.7709305576404932,0.3776333869611102,2.9515420477316123,1.594624675049011,1.05653111873439,1.0441902671573975,0.9195799414975185,2.416491050408108,-2.3457825670892105
1.2584554022990275,1.1307419006273156,1.5255333555851058,2.5479698844265264,1.9769833518570221,2.053833680535793,0.540838434459646,1.8994381557042617,2.363908375721644,1.3445388486020424,1.088719107261262,2.085783753544686,-3.228661375874369
2.7336988037349665,1.420285476331874,0.7424269214679078,3.0649374205568614,0.6920065285283663,1.2724438277498042,0.37487739599449926,1.0175050423925183,1.3209229043044126,2.702979081054149,1.1061078234870207,2.72208573408477,-2.3615653592976873
2.8596122879148322,2.836399120345647,1.1073399303619333,2.4754865550576444,0.7779891729089246,0.9488132279276236,0.5739599055036315,0.5251246111085147,1.1118391076680654,1.831994148308145,2.4124591811037828,1.3352975022834204,-2.35126762121166
2.3144564810659256,0.711365882317682,0.8639192083714646,1.822531757724018,0.4437952747651015,2.0006850659051443,0.8246415272395273,1.933174109171143,2.1869318724227105,2.6197612731270974,1.268906533110263,2.9849846567362137,-4.194590685729733
0.698539840687754,1.2198473916190513,2.17692797495678,2.9986240122172925,0.899291342061892,2.3251854142546717,0.7410041911911969,2.651021828371522,2.1708759833987714,1.2478004121320254,2.6815718988667583,0.371477687052394,-3.1340192971870366
1.1719017896281758,1.0953911779463095,1.188580405150639,2.7247895070477757,0.9524433300801107,0.7402434830046248,1.488261439787064,1.7679521117912411,1.16802797951936,1.8805854277769989,2.789069051050111,1.4698930705468185,-4.639379333995242
2.724708210222547,1.7379910950235133,0.4998373472027344,1.2735783949346366,1.3257112392742334,1.0479672964549902,2.9552968486145037,1.5585661417408878,1.7204393438253807,0.5550213932569865,2.3828620286922044,2.268534611391316,-2.3258342749339396
2.802942716303703,1.430065835519409,1.5303939708901066,2.2978996429476686,1.959077261089617,1.9778537463924344,1.6339104519246992,0.476224484264304,2.975947966483359,1.295518231807893,0.8700141877917624,2.9092951603444432,-4.781926799130952
0.8699847042305175,1.080749927077299,1.2393175707846267,0.8030694362239601,1.4804050388896604,1.583615300374772,3.0886203908822725,1.779367039751324,0.41510077691580993,0.5963000460766236,2.7521062441965847,2.819361103960308,-4.281954828864353
0.6855604807035822,0.7031149104055976,1.4729390224217618,0.9399587647891561,0.7686098105697863,2.2257192655894205,1.2244638774579224,3.084001011104539,1.0939193090303623,1.7105692204699063,2.272559041505779,1.4464911302524004,-2.533013832318459
2.9305498056010815,1.078587284066703,1.1560390113412338,1.1611596759845306,1.2345081623830774,2.9282941288174604,1.2630017912257498,2.7253429848733917,0.5772341334264048,1.9695791120441322,1.6202877377237805,0.985476740530687,-4.276583692194743
2.0690281499351793,2.5937814697853248,1.289444385111472,1.7819675537675952,0.8302201511401306,0.832472227573142,0.6299662668504955,1.256464755052675,1.433034137947021,2.1043834391595735,2.645551054210884,3.014949725098103,-2.3314627797624166
1.4287179296945847,0.6046166638266908,1.5607347278576724,2.592837164008299,0.8082401551525178,1.9588074167296678,0.6676312108923286,0.9312721482220274,2.022106996139415,1.9939258324728584,1.9865117171139435,2.7624020168168935,-3.579310798087797
1.7734114003831751,0.7622653360560679,2.0660048006106475,2.6606847980824053,1.49213737009766,2.7718754168220507,1.055899734910294,2.15072297843728,1.8124312402056844,2.5554741594797434,2.679113553326225,2.016765981145894,-3.9512842275620157
0.8352425126591847,0.32790470498835933,1.8792921505815974,2.824374730392128,2.8040108616064576,0.8316948311521875,1.0321992875318695,1.6800901702492084,1.0006910877094366,1.3632529063664502,1.1626493177283836,1.4212864926900586,-4.892803207568936
1.098967316806467,1.4872890886917152,1.366278815556078,2.4966088665517954,2.7762843982081487,1.4565477971764962,1.817017713635699,0.8037679352954692,1.6125182804023428,2.7471611272850067,2.472812912211211,2.0000474468112195,-2.313824694335942
0.47984630917592486,0.5114145129743495,2.1027954853445747,2.9606941506629547,0.8475640749401263,2.448274874348563,2.6415100761616697,2.03168538754758,1.8854844411782457,2.390700385818339,2.6733914043872073,2.7905852449756265,-3.81687191524983
1.589574669127246,0.968451377146442,1.3602027233988134,0.5825305955457925,3.0314962046662535,1.5730697785898817,1.905429104941243,1.1277618074861195,0.6798228662543926,0.9231641649138795,0.510188672711717,2.6154347786525074,-2.5183480626351327
3.151017893026745,0.5315652007110085,2.172978266591266,1.6865256173717889,2.385186306115904,1.4035537693320403,2.0071537231870797,1.7929691082027703,1.665898751263237,1.2103993283860506,2.120747740770276,1.6274233427013303,-4.220166496477557
2.1105349167374468,1.0519227852241733,1.9330753866707582,0.4284127321691714,2.614149539764087,2.3338892017070076,3.1018460179060225,0.4867295312508826,1.1040298751171078,0.8933806644335907,1.2050559808574426,2.186046259845463,-2.52611507677551
3.1212473603114286,0.6639527206902791,1.1987068511002774,2.0811172157700417,0.36630427690016576,1.5118759644203086,2.0210220180801644,1.7861238554685708,1.2056849196344377,0.7472449028264854,2.4077556025402593,1.6017658356592128,-2.355617409342452
0.5162827005662537,2.598905957531688,0.9273167751103563,2.1937234510083194,1.5766786563751645,1.0331930547431236,3.019680583426043,2.8853687547942375,2.4210228163090757,0.751043597508793,1.1107897465887422,1.204111974381505,-2.3226470850782954
1.9973334338719495,2.395418991119161,0.5426878724042749,2.3302227011272794,1.196371570568469,2.2070550248843213,3.1101776120116464,2.3161831103804236,2.207078312730362,2.808520352441369,2.2443548170075482,1.348365064519019,-2.3242104346853973
1.7838904973403271,1.8510282206340989,2.1548316574466613,2.6344052989753557,0.8957628193035001,3.0752461684252537,2.757123460375627,1.8185120669696957,3.0829535701367208,2.5313507062102243,0.44478953930463433,1.1700337196618047,-4.803503103664841
0.320031211641333,0.6852533719550067,2.0313035156110155,3.019679258054585,2.114226002855399,2.7225717014308968,2.0652728980724984,2.797808157335932,1.0240723988503881,0.44181450301976793,1.7176594708814172,2.427538240342602,-4.323226716255375
1.882094576636122,1.7780850248877904,1.6426000395865585,2.7275626010626772,0.3767324689292595,1.6001972622179705,1.5467029893703528,0.5788550317167789,0.9753851825165172,1.814755872193316,2.6369337208924764,2.301764463787969,-4.089578325105218
2.566255147676863,0.9455676729764073,1.5118639090234027,1.6708811235976573,1.76815037106376,2.1291063235397734,0.6740745010123494,1.0455261025732012,0.5753782924146756,2.294522940676584,1.0117509615396252,1.8977860103674276,-3.27657463685274
