m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,log_idt
1.0561097039981027,0.43351306081358915,2.6278283708271637,0.6594499524029731,1.3041012762232527,1.4863616319969581,3.0798162451724793,1.0832292144433333,0.7631273051873884,3.05746001586151,0.48060936792342945,2.1374316775484568,1.2313448124554338,-5.693061931636894
2.765571386332335,2.247282025174739,1.4483542416444017,0.5168816696945333,2.047336499498026,2.724821850479428,2.7668386126662248,1.0095061194051838,0.5449331177270387,0.41086837024121337,1.2922244646107772,0.6692223316833932,2.635787244127149,-2.3134414617337518
0.5740623107656224,0.432621535444703,2.4674725374756337,0.5572821103840115,2.1961105643353003,2.0677781497414913,0.7709705879053765,1.7065854236181264,1.2502618981705322,1.3158729402193194,2.2239655960983544,1.4082372502571239,0.5593652768515484,-6.097258124348751
3.062877348605776,2.565421652909783,2.4143300203492273,1.5305609757959278,3.1213338570812104,1.3336794679338668,0.6687932974608675,1.6106644460643345,1.720402130675051,1.8815554901996554,0.9047505935510436,1.2622898031896475,1.9533973771199686,-3.1961748292531547
1.6200766067317538,2.7204224338594356,2.888884372356396,1.2055240253560842,1.1078166717844942,1.9746650473687193,0.5710911848851874,2.9023657164173735,2.9432066997141364,1.840951595376429,1.679717601892792,1.444766899758462,0.5712242679510274,-2.672006153679469
1.5162684165652618,1.6510551599244019,2.543078162541151,1.858730849762627,0.8256964180122663,2.4230310912494404,2.393534177349965,1.1049132802584756,1.824040009525489,1.405814950958554,2.85140461711583,1.7626132615552519,2.181260242303654,-3.3719908355483756
1.74991568975337,1.1352360393247698,3.134991658231324,1.3238040958132973,2.0741913180585874,1.8775814117717713,2.016912712352176,1.8740772399112595,3.017964835853571,1.1405302314108512,2.1058252204169583,0.7679929705039921,1.4023662458590342,-5.731326942728651
2.069542296081685,1.5484141975769121,2.639390642755411,0.5298945036428371,2.9215216089236518,2.0010476045565198,1.2328460998957953,3.013171874115935,2.3101837493662534,2.53322303116637,0.5783461316342025,2.369738445395472,1.6018219725603196,-4.273840562465345
0.5615011414185,0.6215837233601351,1.5874771620528396,2.0717533320928134,2.874466900809553,2.8075240512115407,2.0189453244430373,1.4826531544047268,1.0861292201291373,2.764032027386836,0.7435301210759696,1.3010907646656504,1.397056828695249,-6.328334205514126
0.6167130455430319,1.9732520572220054,2.591130690851781,2.0289280936486938,1.0686811896729118,1.3762857899980898,2.8842825517888366,2.8273156507873325,2.042305175116785,2.933167872860065,2.801864022926213,0.631480960649821,2.370853681981775,-3.009046654013283
2.4588968314187594,0.9484734199971332,3.012718478907138,0.7033505178513619,2.988633663070838,2.23602155820534,1.9151988572212073,0.7759458910558948,0.8288595668710788,1.4804727795042167,2.1517259013744123,0.4979494872579012,3.0351125622724164,-5.758013293585377
1.7421971800352873,1.8339441258864997,3.1410407388840422,1.7769601857489317,0.49695045539008403,0.31624395659509086,2.786107952988704,1.8978575574017615,2.9334481243477706,1.5308743483257625,2.1237186860961383,0.9541692377542943,1.2139826149930728,-3.298274335499704
1.8658506387378635,1.1598304234583134,0.9597855540489117,1.8808527981363374,2.670612022966202,0.5464224044925575,0.4775685266966763,2.8168795823934833,1.5049991237576121,0.740190807276375,1.9030638487437868,0.3632815702676769,0.8483468016763764,-2.3303449951089568
0.4468105488411882,0.3571653443542336,2.754118001044061,1.4432339453582026,2.7104022226163544,1.5533947428310844,3.0299337455169457,1.7107050424252574,2.065021764445757,1.9208659052480734,2.7922716544503094,2.6292744919289053,1.8981119680768122,-6.854680054615153
1.0677121971884385,0.5535633119504684,2.4423940591223605,2.103097224259307,2.3932312756099785,0.7274681997509793,2.2076566412836613,3.09217552101989,1.8325911885645096,2.139096976112463,2.605422418116964,2.696610957992608,1.7617604833284735,-6.71187525208496
2.183366580298293,0.9272070220130137,0.826629639412656,1.7136217651806818,1.6191423719964066,1.9351804315312744,0.4276272869315614,3.0258251731769286,2.0177889924947436,2.63420857397049,1.784103433659395,1.6353631701863094,2.283373677838407,-2.5213507971115945
2.015529189204968,2.254203722628078,2.436995807016506,1.5670495518316965,1.8612925984268736,2.4491186052004483,1.6729747467042255,0.8708153915667296,2.6005695667026503,2.0733281328287023,2.1950090524265997,0.7040917536443254,2.8286587893880895,-2.9434344797260596
1.1202971881140784,1.4125808481741606,2.407595431368309,2.1135863387209084,1.4405691891172254,2.186638137024873,3.0751002523962123,1.5011276423861313,3.151917666780772,1.3587187828667704,2.3533569209103957,1.3590547444210217,1.9515390696574964,-4.210039116200482
0.620248389261266,0.8481474531263014,0.9350639875785627,1.758812126349551,3.1437842796741315,1.776714691354589,1.2872776978087492,2.6931221067791493,2.0227034090719416,3.09886020947131,0.9579444866956769,1.3379545948473643,1.2212857902941685,-2.898327507285559
1.191713643951541,1.925403564499627,2.63104009992073,0.7070096661741969,2.2682637434995163,2.649519450603656,1.385295238526602,1.3707342211903237,3.0763092990882916,2.281410288431169,2.130015459140642,1.8471847437333329,0.9184057172356639,-3.473740268596264
0.530960202445983,0.8071348080996774,0.9487786411269339,0.6534302409699554,1.792031265188251,2.245506711929924,0.8399618137253402,2.034238795531656,0.8079785722777548,0.5641433804645877,0.8013691243403368,0.9378425683404954,2.33527023792102,-2.365695392455794
0.34977065693699405,1.2177101237853998,1.8405878064705024,0.7993266094155729,1.8677708948127918,1.2764771775238173,0.3988444601982421,1.887076902901329,0.6515554120888716,1.2507373244893552,2.628490304437097,1.0977386128597348,0.8984605034046627,-3.9542451433024888
3.1011189957089536,0.3326628474038121,2.808858777892568,1.3775349241534458,1.490218108201154,1.8479590023462793,0.7416491632456433,0.7141374602628261,3.019605765386611,1.9675090448365942,0.6060318463028895,1.436919180019029,0.9989608703343291,-6.5413867730639605
1.6726364222390246,0.7051125112362464,2.6436044494232296,1.493902983241833,1.7238684108760534,1.0953453658024117,2.0390710727105446,2.3935083473194414,2.8110157352168907,1.7735670654218418,2.128189170686153,2.149168699465006,1.4204616723714647,-6.111324065289215
1.8622812200435892,0.7949527709598112,1.6157456026111172,1.4174786845720158,1.8085661589124382,1.5662047080728239,0.6494017523955078,2.4985375483095384,1.0997271246831992,3.031462733526592,1.552442299275527,0.5819502469044685,0.7873636454271126,-5.440966429937592
1.5514652695201963,0.6937204893111686,1.182055254066879,1.6675011244165538,2.605406369173333,2.1094923274299346,3.082841677535613,0.7547054659850628,3.054803317949255,1.0961411564436696,0.7081544482832193,0.6611573538709095,2.385242722230746,-4.083182778796602
2.410875687761523,1.9632614886699356,2.367490332046565,2.0511328498595245,2.0647137758621876,1.0903067829884685,0.9629970363282538,2.3095166127881486,1.7781103964746778,2.406962373916065,0.7251417480557518,0.847964756738266,1.2466531834497303,-3.7085492549336396
1.8954375090218727,2.2620613309815134,1.7380954343842423,1.9006191287925391,1.968624104753106,1.6451745023492117,0.35354917812446934,3.104966820474946,0.4903818962994223,2.8541758776330943,0.6190083867466762,2.277449388951274,0.4228497838549278,-2.6103067118311944
2.434598605679716,1.069150175149096,1.2574395946124268,1.4930763544362469,3.077581000956141,2.9242764387461335,3.0905814688955786,0.7881927797788192,1.8921217396702021,2.824032640802956,2.8377961319732377,2.7886844090478924,1.586442314719904,-2.448007422385462
2.900727845467295,1.4560776143147376,2.0270494359054507,1.8962255187400803,1.3222346128998572,0.3870021250937417,0.7551279106924425,0.8854122920276544,1.369827974833642,0.3341152037836867,1.113923281047208,2.303067471093174,0.7315306707139182,-3.3075037628544934
1.4127012174383038,0.3538230726708264,1.8792076765898822,0.4534883236990776,1.8958028791612627,0.6569558733712677,3.0527185118720386,2.6744856839833613,2.0199034263478275,1.254204129464393,2.3845273842701085,2.6341476993024133,2.6011238567909913,-5.73797261596494
0.6834763820538379,1.0368111302948864,0.9227734270031385,0.6997911719127134,1.7965752550767529,3.000594385835051,2.164061690903065,2.5991502628539433,2.9876238718916373,2.7177984906741917,1.6942639729562927,2.7504357003284627,3.0348436304221718,-2.3132857160731866
2.9976994818782954,1.2800941210530659,2.0577419341608914,1.8979046148848933,2.2707064207141308,1.8362904240642792,1.5507043831153267,1.5668705999685137,1.5932681252683873,1.6837773281984116,2.2973055911360265,2.077449313370356,1.5306607434623798,-4.477005240464622
3.0904031503921785,1.529471695609488,2.1951898646159353,2.0646033896295,2.2089029631548898,1.0194294923038696,0.6361285226479563,1.369484063305948,2.490101198806967,1.8546791764378547,1.6823486011587763,1.900899371381011,1.3617534167831322,-4.407445222101946
3.122796836635112,2.2985800816065365,2.9286313912765096,0.9934697842580444,1.8693929975406687,1.1651166551915015,2.066890775820754,2.3007432032608706,0.8467907448933423,2.958318110863072,1.5580553883532635,0.9054375542604369,3.0407216295475963,-3.190582282599422
2.6719099152820993,0.7071539905309268,2.2455870444825248,1.3531835219937927,1.9517698205272658,1.971393462458707,2.333572349796791,0.7374638509749758,0.7683240693011999,2.1224933634387924,2.7956214734241254,2.583108508460515,1.099132160225393,-5.986522708271866
1.5621100202024119,1.506115392514916,2.85075742098498,0.9689905197014796,2.0149925591741416,2.1692077953485924,2.948306916295862,1.3534047318221314,1.7678998780601332,2.4892586693675307,1.8407704149688493,2.614934767534332,0.6792115128245915,-4.523520631695735
2.6563367734677468,2.5070990717405013,1.437375613303723,1.9702604252245672,1.3532490606937122,0.4641164652018672,2.4548437121879205,2.6015829668706205,1.7565433907634989,2.7416208661221955,2.2074303418125982,2.720519652314428,2.983178752429539,-2.316208515004876
0.38066685393390376,0.9016125989730197,2.776894488292623,1.230008656726007,0.701080354875172,1.7648288568562414,0.6328406068337654,1.4444381005951756,0.5697176354455646,0.5559760818996923,1.1958256547731456,0.40605923296581203,1.0425242148585883,-5.1670263331373825
2.46939020355455,0.9877563321722427,2.513893880473832,1.6335074772707812,2.0875633179039745,1.5381663299017967,0.9941672187468953,2.1813868713544213,2.9602092875320203,1.7942598209523701,2.824602381081748,0.6645587994305798,3.0678596669468385,-5.933153856551844
1.2189219373069313,1.9868736298308136,2.4442354324587576,1.330780162567122,1.727247966059331,2.759582275137973,2.760158652127219,2.0497255865324995,1.4367601454378156,2.3354912592059733,0.3836294258370124,1.1016639436537505,1.1226559015493496,-2.933694798525151
1.5885259088956267,1.4923430027527829,0.9254393978611217,0.5871744943855477,2.7778162141494893,2.2206749730656554,0.6907835888024968,2.8660793806918794,1.3876812315907767,2.079300227280295,0.46608990631831726,0.5769183985209878,2.7366891421468376,-2.3188655286906874
1.7604965959595484,0.8873518530894613,1.1383822923773812,0.4839465933161635,1.788907445204287,1.8130667325700929,1.5032215240421452,2.197044205468821,2.4525125225944,2.6219162249443784,0.9520137888205784,1.5426944362110897,0.5042658418699653,-2.5474648905086146
1.5825310809124,1.0248545721606237,2.1536301050968425,1.1940458030020182,1.3755743184447293,2.932361134575512,1.2630650304521744,1.9454156650683792,1.065337694936352,0.5866698269744344,1.2778764826273803,2.0282570692950164,0.9377186289130623,-5.011236524501093
