m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,log_idt
1.0230802573551292,0.6925801584257677,1.7147380698358143,2.33425034827821,0.33271793310486275,2.0812301585363464,2.4316676627869356,1.7458271061437554,3.1594645986239827,-3.8648356919370754
0.5176973001132265,0.8146200442719866,1.0323541817024502,3.0086507498500796,1.613048918115907,0.6467054057111641,2.3758426908683457,2.2539978127312996,1.4426930625040018,-2.5684284424022574
0.44474764874108913,3.1318017033910053,2.035843552952601,1.2095883636650104,1.5707068966796958,0.34043538987930233,0.4318621314214594,2.627541566886205,1.8200204059861063,-2.327296298791357
1.5479229978690057,1.5000439913180592,1.290873731281468,1.8009135983109883,0.8397320249534967,1.0573024272952143,0.8436076697423661,1.196555064285182,1.7544735533347844,-2.3581294331256544
2.0984338939805776,2.6078139482864446,1.904178559908357,0.695030154311479,2.555651738622518,3.141309924177481,1.3174682284591146,0.42904252900233003,2.5253277971201653,-2.3079872847454506
2.221728925693716,3.0434960059049967,2.3058799599237756,1.62321031390338,2.657128572600817,2.8052531381580152,1.443983061938225,1.4212193404321003,2.6719408889861427,-2.3100230190590865
1.9562856945930642,2.802488766506639,2.8404300174889574,2.032061281693463,0.6798262489132272,1.704524990406175,2.319576648925305,1.2160197252415372,0.5711871865819056,-2.322526933193503
1.6626749448372653,1.9257055855530187,1.9636828460031055,2.2056755814205395,2.634562079533419,1.1961373368705672,0.4892108853596535,2.8105440364578653,0.5237827563187527,-2.3095836039691906
1.473085630269008,1.555656684228879,1.8717266483056636,1.7816749983856641,1.0876442591245357,1.4946676857136807,2.8006178548501426,2.782238134868196,0.5856658072103476,-2.327349899165752
1.4190832779517748,2.884234077358019,1.554089940996527,0.4402722536809436,3.0343646914084483,1.7857416872512377,1.5416306861732512,0.5153852368565557,0.37351562376331693,-2.3154052980087436
2.6838343981472828,2.5401525275119723,2.0253619953278488,2.617448855429518,2.869465060970095,2.9317264518816004,0.49538121297342436,1.16714247512797,2.627797659687631,-2.305582512550938
2.2086190570908895,2.5676604300960215,1.6381683337427004,3.0234799140418915,3.0514608393087883,1.5434972410415646,1.4022301247425233,0.9145965808221661,2.4632948952239966,-2.3145526779497145
0.7136214592551677,1.9706942713448572,1.5297426160671006,1.1703335414312148,0.8951307848250296,2.221193600136527,2.5079166626273146,1.1111513875340437,1.9440142355375818,-2.312038738049986
2.6369807388743673,0.6423516437217645,1.9887514414515426,0.480217899013882,2.990118359328718,0.43077806492540593,0.9696730139025229,1.8970237140428867,2.8862403379525725,-3.930773421753528
1.1187348824750136,2.2602560734843435,0.5273842015096062,0.9222806466439315,1.662604266561824,0.3438194983675252,0.7435267958324578,2.51583253880604,0.788422379995603,-2.3185005446706723
0.36036162888668005,0.4394144831805643,1.1190792949998585,1.4829869564309304,1.4334889694117903,1.4392172551572016,1.035612769044556,2.6758286964409734,1.3212836408935413,-4.016092335586796
1.6222561028760332,3.1545158465392817,2.0463224063291765,2.8560570421667255,0.9300013662406823,1.1904158176257291,1.3897151965756407,2.690931601709085,2.8911521234217745,-2.345969541694339
1.2838642849112947,1.964367126776414,1.5418922064459257,1.5598287578557315,1.0545551142180263,1.20258664280677,1.0868121961815458,1.4571963879524794,1.336719495049061,-2.305752926395653
