T,P,phi,exp_idt,exp_unc,exp_id
918.0,103351.5,0.9956396335256192,0.00362,0.15960000000000002,g00000012_918
1199.0,94000.0,3.993630573248408,0.000414,0.2441,x10001017_1199
1142.0,507000.0,0.5014409221902016,0.000108,0.23440000000000003,x10001025_1142
1017.0,419000.00000000006,3.993630573248408,0.000928,0.33770000000000006,x10001016_1017
1068.0,1598000.0,0.5014409221902016,0.001861,0.19329999999999997,x10001024_x_1068
1204.0,1470000.0,3.993630573248408,4.6e-05,0.4102,x10001015_1204
1929.0,33842.55,0.1666666666666666,3.4299999999999993e-05,0.8,x10000027_x_1929
1698.0,120000.0,3.993630573248408,7.9e-05,0.2441,x10001017_1698
1649.0,413000.0,1.0,8.9e-05,0.18230000000000002,x10001022_1649
1611.0,130000.0,3.993630573248408,8.2e-05,0.2441,x10001017_1611
2070.0,141855.0,6.11,0.000108,0.8,x10001052_2070
2246.0,101000.0,0.5,0.000326,0.1809,x10001029_2246
2620.0,176305.5,1.6480198019801982,5.7e-05,0.8,x10001050_2620
2565.0,190491.0,6.11,4.2e-05,0.8,x10001052_2565
