equation,if,low_impact,rank
H + O2 <=> O + OH,0.6484639305353018,False,1
H + O2 (+M) <=> HO2 (+M),0.5624294068097676,False,2
H + HO2 <=> 2 OH,0.10384661832781675,False,3
H + HO2 <=> H2 + O2,0.049125269760518536,True,4
H + H2O2 <=> H2 + HO2,0.04461838388469808,True,5
N2 + OH* <=> N2 + OH,0.028745364126082307,True,6
H + HCO <=> CO + H2,0.02857598484619216,True,7
H2 + O <=> H + OH,0.025396490475222345,True,8
H2O2 + OH <=> H2O + HO2,0.023565188823831868,True,9
H2O2 (+M) <=> 2 OH (+M),0.023120822521259667,True,10
HCO + OH <=> CO + H2O,0.02258230888416118,True,11
HO2 + O <=> O2 + OH,0.022085426408281084,True,12
H2 + OH* <=> H2 + OH,0.021353414934573173,True,13
HO2 + OH <=> H2O + O2,0.01978247465096649,True,14
2 H + M <=> H2 + M,0.019625646849242263,True,15
HCO + O <=> CO + OH,0.018336602293113704,True,16
CO + OH <=> CO2 + H,0.013598286067902865,True,17
H2 + OH <=> H + H2O,0.013124843195281111,True,18
H + O + M <=> OH + M,0.012358462954215768,True,19
O2 + OH* <=> O2 + OH,0.012352174643647788,True,20
CO + HO2 <=> CO2 + OH,0.01234146503380277,True,21
2 OH <=> H2O + O,0.011113802653558519,True,22
OH* <=> OH,0.011099678768243935,True,23
2 HCO => 2 CO + H2,0.011096054654580483,True,24
C + OH <=> CO + H,0.010887967248256601,True,25
H + OH (+M) <=> H2O (+M),0.010432902905726247,True,26
OH + OH* <=> 2 OH,0.009177536464238328,True,27
C + O2 <=> CO + O,0.00799467517706958,True,28
2 O + M <=> O2 + M,0.007092383174637067,True,29
HCO + O <=> CO2 + H,0.005995217019850639,True,30
H + H2O2 <=> H2O + OH,0.004892912104992,True,31
H2O + OH* <=> H2O + OH,0.004438790581013309,True,32
HCO + O2 <=> CO + HO2,0.00428545710787426,True,33
CO + O (+M) <=> CO2 (+M),0.0041274487912258675,True,34
HCO + M <=> CO + H + M,0.0015312036981282723,True,35
CO + O2 <=> CO2 + O,0.0015079947353900279,True,36
AR + OH* <=> AR + OH,0.0011859013292046972,True,37
HCO + HO2 => CO2 + H + OH,0.0011074971341514348,True,38
2 HO2 <=> H2O2 + O2,0.0009430034985831098,True,39
H + OH* <=> H + OH,0.0004925589844977882,True,40
H2O2 + O <=> HO2 + OH,0.0001557804962774425,True,41
