equation,if,low_impact,rank
CO + O2 <=> CO2 + O,0.22562938816374611,False,1
H2O2 + OH <=> H2O + HO2,0.04010347226310025,False,2
C + O2 <=> CO + O,0.03106245324049203,False,3
HO2 + O <=> O2 + OH,0.02566521225459476,False,4
H + O2 (+M) <=> HO2 (+M),0.025027027365775046,False,5
CO + OH <=> CO2 + H,0.02463376729526834,False,6
H + O + M <=> OH + M,0.02373262858528251,False,7
O2 + OH* <=> O2 + OH,0.02218099190441447,True,8
OH + OH* <=> 2 OH,0.021773485771260925,True,9
H + OH* <=> H + OH,0.020701395380375978,True,10
H + H2O2 <=> H2O + OH,0.020270262648577782,True,11
C + OH <=> CO + H,0.01888593251492262,True,12
HCO + M <=> CO + H + M,0.017968574099394754,True,13
H + HO2 <=> H2 + O2,0.016407061018197885,True,14
H2O + OH* <=> H2O + OH,0.015937159013678186,True,15
H2 + O <=> H + OH,0.015135867422235778,True,16
HCO + O2 <=> CO + HO2,0.014778147037880402,True,17
H + HO2 <=> 2 OH,0.012789166191807675,True,18
AR + OH* <=> AR + OH,0.012455478927054231,True,19
2 HCO => 2 CO + H2,0.011921465583174199,True,20
HCO + O <=> CO2 + H,0.01077887293523134,True,21
CO + HO2 <=> CO2 + OH,0.010457336064617092,True,22
H2 + OH <=> H + H2O,0.010017442351164939,True,23
2 HO2 <=> H2O2 + O2,0.009871366097428311,True,24
H + O2 <=> O + OH,0.00828833761912774,True,25
H2O2 (+M) <=> 2 OH (+M),0.007432827580190442,True,26
H2O2 + O <=> HO2 + OH,0.0065318481062515065,True,27
HCO + OH <=> CO + H2O,0.006291696026771852,True,28
N2 + OH* <=> N2 + OH,0.00607048284604756,True,29
H2 + OH* <=> H2 + OH,0.005631626826882904,True,30
2 OH <=> H2O + O,0.004906078183300324,True,31
HCO + HO2 => CO2 + H + OH,0.003949451338701822,True,32
H + OH (+M) <=> H2O (+M),0.003660748968018018,True,33
H + HCO <=> CO + H2,0.003389183576585245,True,34
2 O + M <=> O2 + M,0.003378278406394147,True,35
H + H2O2 <=> H2 + HO2,0.003252170474224792,True,36
HO2 + OH <=> H2O + O2,0.0028899652423734837,True,37
2 H + M <=> H2 + M,0.0017902859595356425,True,38
HCO + O <=> CO + OH,0.0010799023612930788,True,39
OH* <=> OH,0.000308528623189593,True,40
CO + O (+M) <=> CO2 (+M),7.114961883945932e-05,True,41
