equation,if,low_impact,rank
H + O2 <=> O + OH,0.5952246722171928,False,1
H + O2 (+M) <=> HO2 (+M),0.480490890761193,False,2
H2 + O <=> H + OH,0.07322161980582174,False,3
H + HO2 <=> 2 OH,0.06760126433908098,False,4
H + HCO <=> CO + H2,0.053203022753298426,True,5
C + OH <=> CO + H,0.05146093301630144,True,6
2 H + M <=> H2 + M,0.04803386526375147,True,7
HCO + O <=> CO + OH,0.04548081442232805,True,8
HCO + O <=> CO2 + H,0.038736439260188056,True,9
HO2 + O <=> O2 + OH,0.038426612109975236,True,10
N2 + OH* <=> N2 + OH,0.03791760887808166,True,11
H2O2 (+M) <=> 2 OH (+M),0.03701381839701775,True,12
O2 + OH* <=> O2 + OH,0.03420314044624726,True,13
H2O + OH* <=> H2O + OH,0.029951102915713103,True,14
H + OH (+M) <=> H2O (+M),0.026055199267005592,True,15
H + HO2 <=> H2 + O2,0.024356531015963016,True,16
CO + O (+M) <=> CO2 (+M),0.02327923529346998,True,17
2 OH <=> H2O + O,0.022176263106953684,True,18
CO + HO2 <=> CO2 + OH,0.021805424856642802,True,19
H + OH* <=> H + OH,0.021540691187171987,True,20
H2 + OH* <=> H2 + OH,0.021400737462876466,True,21
OH + OH* <=> 2 OH,0.01835041805218398,True,22
H + O + M <=> OH + M,0.017598104731035066,True,23
CO + O2 <=> CO2 + O,0.016125321310386742,True,24
H + H2O2 <=> H2O + OH,0.015385549673592902,True,25
HO2 + OH <=> H2O + O2,0.014161919786010222,True,26
H + H2O2 <=> H2 + HO2,0.014047006442674651,True,27
C + O2 <=> CO + O,0.013268206391767562,True,28
2 HCO => 2 CO + H2,0.011847498522434483,True,29
2 HO2 <=> H2O2 + O2,0.011305751497334166,True,30
H2 + OH <=> H + H2O,0.01069339521287735,True,31
CO + OH <=> CO2 + H,0.010224596722820641,True,32
OH* <=> OH,0.008875590880789177,True,33
HCO + O2 <=> CO + HO2,0.008369615067936651,True,34
HCO + M <=> CO + H + M,0.008183713168917436,True,35
AR + OH* <=> AR + OH,0.007270754381745858,True,36
2 O + M <=> O2 + M,0.006336835562020988,True,37
H2O2 + OH <=> H2O + HO2,0.005422974121933414,True,38
HCO + OH <=> CO + H2O,0.002147217469666085,True,39
HCO + HO2 => CO2 + H + OH,0.0015925576734510444,True,40
H2O2 + O <=> HO2 + OH,0.0007025792240496864,True,41
