equation,if,low_impact,rank
H + O2 <=> O + OH,0.8260728775873862,False,1
H + O2 (+M) <=> HO2 (+M),0.7236511879691191,False,2
H + HO2 <=> 2 OH,0.0860871141385475,False,3
H + HCO <=> CO + H2,0.06923302511562979,False,4
H2 + O <=> H + OH,0.06536833914732826,False,5
2 H + M <=> H2 + M,0.05697993044857266,True,6
C + OH <=> CO + H,0.0510403578699848,True,7
HCO + O <=> CO2 + H,0.04678597496726383,True,8
HCO + O <=> CO + OH,0.04376932486771995,True,9
O2 + OH* <=> O2 + OH,0.03822554206442786,True,10
HO2 + O <=> O2 + OH,0.03713227684929918,True,11
N2 + OH* <=> N2 + OH,0.03525900277511652,True,12
H2O2 (+M) <=> 2 OH (+M),0.03470258133766282,True,13
H + HO2 <=> H2 + O2,0.028882460858876115,True,14
H2O + OH* <=> H2O + OH,0.02521595614442044,True,15
CO + O2 <=> CO2 + O,0.02371453259191459,True,16
H + H2O2 <=> H2 + HO2,0.023428124719028835,True,17
H2O2 + OH <=> H2O + HO2,0.018763945583913408,True,18
OH* <=> OH,0.017287670182303733,True,19
H + OH* <=> H + OH,0.01666078457013887,True,20
CO + O (+M) <=> CO2 (+M),0.016382131454285423,True,21
H + O + M <=> OH + M,0.015683355488304927,True,22
HO2 + OH <=> H2O + O2,0.01554594696265385,True,23
AR + OH* <=> AR + OH,0.014207785327316525,True,24
H + OH (+M) <=> H2O (+M),0.012728579773343142,True,25
2 HCO => 2 CO + H2,0.011614905347740644,True,26
HCO + O2 <=> CO + HO2,0.011468222985823152,True,27
2 O + M <=> O2 + M,0.011220175248193978,True,28
OH + OH* <=> 2 OH,0.009204226060841177,True,29
HCO + HO2 => CO2 + H + OH,0.00864538261635198,True,30
CO + HO2 <=> CO2 + OH,0.006685101894800673,True,31
2 OH <=> H2O + O,0.005944007625796075,True,32
C + O2 <=> CO + O,0.005171390505320967,True,33
HCO + OH <=> CO + H2O,0.003883642503942403,True,34
H2 + OH* <=> H2 + OH,0.0037113190630083167,True,35
2 HO2 <=> H2O2 + O2,0.0036261545598760474,True,36
H2 + OH <=> H + H2O,0.0029132569346543382,True,37
CO + OH <=> CO2 + H,0.0017962465506593207,True,38
H2O2 + O <=> HO2 + OH,0.0014938405675989825,True,39
HCO + M <=> CO + H + M,0.0008950085165951666,True,40
H + H2O2 <=> H2O + OH,0.00044271496321486505,True,41
