equation,if,low_impact,rank
H + O2 <=> O + OH,0.16325367144980218,False,1
H + HO2 <=> H2 + O2,0.018398922741872693,False,2
H2 + O <=> H + OH,0.012290046162589824,True,3
H2 + OH <=> H + H2O,0.00946359720143055,True,4
2 H + M <=> H2 + M,0.005096412104939174,True,5
H + H2O2 <=> H2 + HO2,0.0021393519639766974,True,6
H + HO2 <=> 2 OH,0.0009606806244227012,True,7
HCO + HO2 => CO2 + H + OH,0.0008327378630126914,True,8
H + O + M <=> OH + M,0.0008283688980018056,True,9
H2O + OH* <=> H2O + OH,0.0006030744581123551,True,10
2 HO2 <=> H2O2 + O2,0.0005409843719100945,True,11
CO + OH <=> CO2 + H,0.0005103039080181945,True,12
H + O2 (+M) <=> HO2 (+M),0.0005070862459096037,True,13
H2 + OH* <=> H2 + OH,0.0004883876621562484,True,14
C + OH <=> CO + H,0.0004703606142767599,True,15
CO + O (+M) <=> CO2 (+M),0.00044206156861900816,True,16
HO2 + OH <=> H2O + O2,0.00038314247997473666,True,17
H + OH (+M) <=> H2O (+M),0.00029753080870432915,True,18
HCO + O <=> CO + OH,0.00028536950585358184,True,19
H2O2 + O <=> HO2 + OH,0.00028154538504334,True,20
2 OH <=> H2O + O,0.0002445959714550293,True,21
H2O2 (+M) <=> 2 OH (+M),0.00023240278863568577,True,22
CO + HO2 <=> CO2 + OH,0.00019348367049335896,True,23
H + HCO <=> CO + H2,0.00017126082817435183,True,24
AR + OH* <=> AR + OH,0.00016873100020504275,True,25
HO2 + O <=> O2 + OH,0.00015441488621515136,True,26
H + H2O2 <=> H2O + OH,0.00015124525554418647,True,27
OH + OH* <=> 2 OH,0.00013457672577933186,True,28
2 O + M <=> O2 + M,9.491377866674988e-05,True,29
C + O2 <=> CO + O,8.381709663463495e-05,True,30
O2 + OH* <=> O2 + OH,8.061128243428306e-05,True,31
N2 + OH* <=> N2 + OH,5.470080749047195e-05,True,32
HCO + OH <=> CO + H2O,5.46391610594027e-05,True,33
OH* <=> OH,4.805232868841303e-05,True,34
CO + O2 <=> CO2 + O,4.662920026147797e-05,True,35
H2O2 + OH <=> H2O + HO2,3.3883585373888306e-05,True,36
HCO + O <=> CO2 + H,3.204607071532542e-05,True,37
2 HCO => 2 CO + H2,2.5772215431953875e-05,True,38
HCO + M <=> CO + H + M,5.1076817170897515e-06,True,39
HCO + O2 <=> CO + HO2,1.9570230888668433e-06,True,40
H + OH* <=> H + OH,8.523134607723393e-07,True,41
