equation,if,low_impact,rank
H + O2 <=> O + OH,0.39606082044169694,False,1
H + O2 (+M) <=> HO2 (+M),0.2886547994655867,False,2
H2 + O <=> H + OH,0.06568031662175688,False,3
H + HO2 <=> 2 OH,0.04827864439131338,False,4
H + HCO <=> CO + H2,0.028809003144417596,True,5
HCO + O <=> CO + OH,0.02568355019579175,True,6
2 H + M <=> H2 + M,0.02523152401682942,True,7
C + OH <=> CO + H,0.024607344978587575,True,8
N2 + OH* <=> N2 + OH,0.02242258424171156,True,9
H2 + OH <=> H + H2O,0.02223313870209373,True,10
HO2 + O <=> O2 + OH,0.02130525967941277,True,11
H2O2 (+M) <=> 2 OH (+M),0.02102452813884043,True,12
H2 + OH* <=> H2 + OH,0.01960051172315641,True,13
HCO + O <=> CO2 + H,0.019423426080682635,True,14
H + OH (+M) <=> H2O (+M),0.01747374996657336,True,15
H2O + OH* <=> H2O + OH,0.017461381507372097,True,16
CO + HO2 <=> CO2 + OH,0.017179822729024085,True,17
O2 + OH* <=> O2 + OH,0.01619549987039238,True,18
H + HO2 <=> H2 + O2,0.01396982903178131,True,19
CO + O (+M) <=> CO2 (+M),0.013329361164050903,True,20
C + O2 <=> CO + O,0.011573758779763285,True,21
HO2 + OH <=> H2O + O2,0.011558278707095108,True,22
H + O + M <=> OH + M,0.011334190387081227,True,23
OH + OH* <=> 2 OH,0.011297087271621813,True,24
2 OH <=> H2O + O,0.009518153614799933,True,25
H + OH* <=> H + OH,0.00922889110333759,True,26
H + H2O2 <=> H2O + OH,0.008658336004392352,True,27
2 HO2 <=> H2O2 + O2,0.007147609190561899,True,28
H + H2O2 <=> H2 + HO2,0.006544888929008615,True,29
2 O + M <=> O2 + M,0.006337627472714042,True,30
HCO + O2 <=> CO + HO2,0.005249626837069097,True,31
H2O2 + OH <=> H2O + HO2,0.0051693473987713436,True,32
OH* <=> OH,0.005090791826648065,True,33
2 HCO => 2 CO + H2,0.004841153106223887,True,34
CO + O2 <=> CO2 + O,0.004496376673352692,True,35
HCO + M <=> CO + H + M,0.0040738348299120776,True,36
CO + OH <=> CO2 + H,0.0024568417143041015,True,37
H2O2 + O <=> HO2 + OH,0.001257690172544782,True,38
HCO + HO2 => CO2 + H + OH,0.0009043806553091172,True,39
AR + OH* <=> AR + OH,0.0008414910393313951,True,40
HCO + OH <=> CO + H2O,0.00023973960170990406,True,41
