equation,if,low_impact,rank
H + O2 <=> O + OH,0.38442303144668766,False,1
H + O2 (+M) <=> HO2 (+M),0.21923937482102349,False,2
H + HO2 <=> 2 OH,0.04547320718637323,False,3
H + HCO <=> CO + H2,0.018464375321379293,True,4
2 H + M <=> H2 + M,0.018323393255156972,True,5
HO2 + O <=> O2 + OH,0.016076490821412163,True,6
N2 + OH* <=> N2 + OH,0.015781925168748653,True,7
HCO + O <=> CO + OH,0.01534589996053919,True,8
C + OH <=> CO + H,0.014386722688393758,True,9
H2O2 (+M) <=> 2 OH (+M),0.013214311501580353,True,10
H2 + O <=> H + OH,0.012258001285536438,True,11
H + H2O2 <=> H2 + HO2,0.01211068274391959,True,12
H + HO2 <=> H2 + O2,0.011492927307692535,True,13
HCO + O <=> CO2 + H,0.01085530477586323,True,14
O2 + OH* <=> O2 + OH,0.010555328080966389,True,15
H2 + OH* <=> H2 + OH,0.00965598552505638,True,16
H2O + OH* <=> H2O + OH,0.009539088121197442,True,17
CO + HO2 <=> CO2 + OH,0.00878107247464498,True,18
H + O + M <=> OH + M,0.007187057534780318,True,19
OH + OH* <=> 2 OH,0.006863488767329175,True,20
H + OH* <=> H + OH,0.006253732177244349,True,21
CO + O (+M) <=> CO2 (+M),0.006194654949497783,True,22
H + OH (+M) <=> H2O (+M),0.0061466178553813595,True,23
H2O2 + OH <=> H2O + HO2,0.005641381694818178,True,24
H + H2O2 <=> H2O + OH,0.00471947853833433,True,25
HO2 + OH <=> H2O + O2,0.004418345317325499,True,26
2 OH <=> H2O + O,0.004392091715737057,True,27
C + O2 <=> CO + O,0.004364190995405285,True,28
2 HO2 <=> H2O2 + O2,0.003949272712162681,True,29
2 O + M <=> O2 + M,0.0035969882585488743,True,30
CO + O2 <=> CO2 + O,0.0034530161242071152,True,31
HCO + OH <=> CO + H2O,0.0031893369465461536,True,32
HCO + M <=> CO + H + M,0.0023476794868817195,True,33
OH* <=> OH,0.001944317049697757,True,34
HCO + O2 <=> CO + HO2,0.0017772425431654736,True,35
H2 + OH <=> H + H2O,0.0014149222443644509,True,36
2 HCO => 2 CO + H2,0.001330296094936446,True,37
CO + OH <=> CO2 + H,0.0004383013157268495,True,38
AR + OH* <=> AR + OH,0.00043617647752310643,True,39
H2O2 + O <=> HO2 + OH,0.0003477870259570501,True,40
HCO + HO2 => CO2 + H + OH,3.5113628575561204e-05,True,41
