equation,if,low_impact,rank
H + O2 <=> O + OH,0.12778267073832436,False,1
H + O2 (+M) <=> HO2 (+M),0.12245773877071223,False,2
H2O2 (+M) <=> 2 OH (+M),0.08435911760937331,False,3
H + H2O2 <=> H2 + HO2,0.0689839819044377,False,4
CO + HO2 <=> CO2 + OH,0.044135222852621114,False,5
2 HO2 <=> H2O2 + O2,0.021158689161226707,False,6
H2 + OH <=> H + H2O,0.01195130985456667,True,7
H + HO2 <=> 2 OH,0.011032344840809533,True,8
HO2 + OH <=> H2O + O2,0.00778370188325217,True,9
HO2 + O <=> O2 + OH,0.00699762977558895,True,10
H + HCO <=> CO + H2,0.005355125273261519,True,11
C + OH <=> CO + H,0.005010420630642061,True,12
HCO + O <=> CO + OH,0.004351736295322491,True,13
H2 + O <=> H + OH,0.00382836258175467,True,14
HCO + O <=> CO2 + H,0.0037412221863071544,True,15
H + HO2 <=> H2 + O2,0.0035811853634961383,True,16
CO + O (+M) <=> CO2 (+M),0.003188878401970089,True,17
H2O2 + OH <=> H2O + HO2,0.003145373222596288,True,18
CO + OH <=> CO2 + H,0.0028048584530531114,True,19
HCO + OH <=> CO + H2O,0.0025013367081838517,True,20
O2 + OH* <=> O2 + OH,0.002405224194681797,True,21
2 HCO => 2 CO + H2,0.0019496896257845588,True,22
OH + OH* <=> 2 OH,0.0018407422953777793,True,23
HCO + M <=> CO + H + M,0.001799230491633834,True,24
OH* <=> OH,0.0017971279365006075,True,25
H2O + OH* <=> H2O + OH,0.0017691558122710342,True,26
2 O + M <=> O2 + M,0.0016055058854953796,True,27
H + OH (+M) <=> H2O (+M),0.0016046471594212562,True,28
CO + O2 <=> CO2 + O,0.0015064617760898226,True,29
H + H2O2 <=> H2O + OH,0.00121981341411839,True,30
H2 + OH* <=> H2 + OH,0.001144993343890746,True,31
AR + OH* <=> AR + OH,0.0010914838108012567,True,32
N2 + OH* <=> N2 + OH,0.0006582454809244276,True,33
H + OH* <=> H + OH,0.0006377418268469981,True,34
HCO + O2 <=> CO + HO2,0.0005190109835215461,True,35
H2O2 + O <=> HO2 + OH,0.00040637205599748687,True,36
2 H + M <=> H2 + M,0.0003657391280584843,True,37
H + O + M <=> OH + M,0.0002133699430463194,True,38
C + O2 <=> CO + O,0.0001440671865859177,True,39
HCO + HO2 => CO2 + H + OH,8.236395532984992e-05,True,40
2 OH <=> H2O + O,6.116596146912091e-05,True,41
