equation,if,low_impact,rank
H + O2 (+M) <=> HO2 (+M),0.9124754462400002,False,1
H + O2 <=> O + OH,0.865816211350571,False,2
H + HO2 <=> 2 OH,0.09525799082905521,False,3
H + H2O2 <=> H2 + HO2,0.060425610237547445,True,4
H + HCO <=> CO + H2,0.04867523487581089,True,5
HCO + OH <=> CO + H2O,0.04570879644540894,True,6
OH* <=> OH,0.04407370853137563,True,7
H2 + OH <=> H + H2O,0.042354210036024874,True,8
C + OH <=> CO + H,0.04171009177173771,True,9
2 H + M <=> H2 + M,0.04155930869556095,True,10
H + HO2 <=> H2 + O2,0.0395794888950477,True,11
H2O + OH* <=> H2O + OH,0.03940590725405674,True,12
HCO + O <=> CO2 + H,0.037925124629568735,True,13
H2 + O <=> H + OH,0.034925589602329325,True,14
2 HO2 <=> H2O2 + O2,0.03216866351686786,True,15
HCO + O <=> CO + OH,0.02843124089916777,True,16
H2O2 + OH <=> H2O + HO2,0.024081009463390163,True,17
CO + O2 <=> CO2 + O,0.023981165071661936,True,18
O2 + OH* <=> O2 + OH,0.022457288442872054,True,19
2 O + M <=> O2 + M,0.022122301092143522,True,20
HO2 + OH <=> H2O + O2,0.021358270993612833,True,21
2 OH <=> H2O + O,0.01996361467462959,True,22
OH + OH* <=> 2 OH,0.01932234195567792,True,23
HO2 + O <=> O2 + OH,0.019012843453957387,True,24
C + O2 <=> CO + O,0.016833930300367922,True,25
CO + O (+M) <=> CO2 (+M),0.01675538817085317,True,26
H + OH* <=> H + OH,0.01593236089504475,True,27
CO + OH <=> CO2 + H,0.015899091834006642,True,28
HCO + M <=> CO + H + M,0.012035144833499368,True,29
HCO + HO2 => CO2 + H + OH,0.011985032804407294,True,30
H + O + M <=> OH + M,0.010996201235493715,True,31
H + H2O2 <=> H2O + OH,0.010590148035449174,True,32
H + OH (+M) <=> H2O (+M),0.009864292930315209,True,33
CO + HO2 <=> CO2 + OH,0.008949527460699552,True,34
H2O2 + O <=> HO2 + OH,0.006596036796364062,True,35
AR + OH* <=> AR + OH,0.005289664969201354,True,36
N2 + OH* <=> N2 + OH,0.0035092763881807033,True,37
HCO + O2 <=> CO + HO2,0.003479470659919372,True,38
H2 + OH* <=> H2 + OH,0.003065811763034396,True,39
2 HCO => 2 CO + H2,0.0027539460778159518,True,40
H2O2 (+M) <=> 2 OH (+M),0.0003532214190575201,True,41
