equation,if,low_impact,rank
CO + OH <=> CO2 + H,0.10777074630443295,False,1
H + O2 <=> O + OH,0.03297015977060052,False,2
H2 + O <=> H + OH,0.031125489644627198,False,3
H + O2 (+M) <=> HO2 (+M),0.009113237106457702,True,4
CO + O (+M) <=> CO2 (+M),0.006345879579747725,True,5
H + HO2 <=> H2 + O2,0.0049071407543658,True,6
2 OH <=> H2O + O,0.0034241807272191514,True,7
H + O + M <=> OH + M,0.0025292822425134224,True,8
2 HCO => 2 CO + H2,0.0017889512754423196,True,9
2 O + M <=> O2 + M,0.0015295901251227478,True,10
HCO + O2 <=> CO + HO2,0.001437895186409461,True,11
H2 + OH <=> H + H2O,0.0013902144440325302,True,12
O2 + OH* <=> O2 + OH,0.00132189401551566,True,13
H2O + OH* <=> H2O + OH,0.0012455517952341454,True,14
2 HO2 <=> H2O2 + O2,0.0011929925115208772,True,15
N2 + OH* <=> N2 + OH,0.001148701810121938,True,16
C + OH <=> CO + H,0.001147601569607578,True,17
H + HO2 <=> 2 OH,0.0011457532012320558,True,18
H2O2 + O <=> HO2 + OH,0.0010187341865367106,True,19
HCO + M <=> CO + H + M,0.0010154384872206434,True,20
AR + OH* <=> AR + OH,0.0009733509843269377,True,21
HCO + O <=> CO2 + H,0.0008786136709412785,True,22
H + OH (+M) <=> H2O (+M),0.0007287652602677134,True,23
H2 + OH* <=> H2 + OH,0.0006461350893489793,True,24
OH* <=> OH,0.0005461708355240778,True,25
C + O2 <=> CO + O,0.0005067729429573568,True,26
HO2 + O <=> O2 + OH,0.0004701010263092595,True,27
OH + OH* <=> 2 OH,0.0004316413558078617,True,28
H + OH* <=> H + OH,0.0004178508401608068,True,29
HCO + O <=> CO + OH,0.00040919051691587754,True,30
H + H2O2 <=> H2 + HO2,0.00035019101862172636,True,31
H2O2 (+M) <=> 2 OH (+M),0.0003072287732231928,True,32
CO + O2 <=> CO2 + O,0.00028109500169778816,True,33
CO + HO2 <=> CO2 + OH,0.0002321468765061879,True,34
H2O2 + OH <=> H2O + HO2,0.00016952163788339265,True,35
HO2 + OH <=> H2O + O2,0.00015381997623358055,True,36
HCO + OH <=> CO + H2O,0.00010689390661375309,True,37
2 H + M <=> H2 + M,8.66211909697462e-05,True,38
HCO + HO2 => CO2 + H + OH,2.824892490200701e-05,True,39
H + HCO <=> CO + H2,2.2795614039225476e-05,True,40
H + H2O2 <=> H2O + OH,1.4685573894497582e-05,True,41
