equation,if,low_impact,rank
CO + OH <=> CO2 + H,0.18896710027726918,False,1
H2 + O <=> H + OH,0.024655359569005577,False,2
H + O + M <=> OH + M,0.024183990710534786,False,3
H + O2 <=> O + OH,0.019758170288153246,False,4
H + O2 (+M) <=> HO2 (+M),0.0139146705886794,True,5
H + HO2 <=> H2 + O2,0.009489288020718826,True,6
CO + O (+M) <=> CO2 (+M),0.005653622589891139,True,7
HCO + OH <=> CO + H2O,0.004418682764480341,True,8
2 O + M <=> O2 + M,0.0044087716041009955,True,9
H2 + OH <=> H + H2O,0.004264862708878969,True,10
2 HCO => 2 CO + H2,0.004104054010962081,True,11
CO + O2 <=> CO2 + O,0.003386054389971898,True,12
H + OH (+M) <=> H2O (+M),0.003014260090346891,True,13
2 OH <=> H2O + O,0.0029351338960967185,True,14
H + HO2 <=> 2 OH,0.0026843910561657035,True,15
OH + OH* <=> 2 OH,0.0025564100103745335,True,16
H + H2O2 <=> H2O + OH,0.0024929048036125678,True,17
O2 + OH* <=> O2 + OH,0.002469824236671781,True,18
HCO + O2 <=> CO + HO2,0.0023751753966503447,True,19
H2 + OH* <=> H2 + OH,0.0022681284491862684,True,20
HO2 + O <=> O2 + OH,0.002252279430014831,True,21
2 HO2 <=> H2O2 + O2,0.0021793099036524917,True,22
HCO + M <=> CO + H + M,0.0019418084224146683,True,23
C + O2 <=> CO + O,0.0018271189243652276,True,24
H2O + OH* <=> H2O + OH,0.0017625011122017111,True,25
HCO + O <=> CO2 + H,0.00168796109737657,True,26
HO2 + OH <=> H2O + O2,0.0014021595869925115,True,27
H2O2 + O <=> HO2 + OH,0.000986413507580078,True,28
N2 + OH* <=> N2 + OH,0.0008641100460103675,True,29
HCO + HO2 => CO2 + H + OH,0.0008532476202404442,True,30
CO + HO2 <=> CO2 + OH,0.0007616083806953814,True,31
OH* <=> OH,0.0007199460738092369,True,32
AR + OH* <=> AR + OH,0.000646906839426059,True,33
H2O2 (+M) <=> 2 OH (+M),0.0004719961086971879,True,34
H + OH* <=> H + OH,0.00043936351062262607,True,35
H2O2 + OH <=> H2O + HO2,0.00038860821720644004,True,36
HCO + O <=> CO + OH,0.00037778026953414097,True,37
C + OH <=> CO + H,0.0003563456925799277,True,38
2 H + M <=> H2 + M,0.00022403041406910407,True,39
H + HCO <=> CO + H2,0.000209429884785969,True,40
H + H2O2 <=> H2 + HO2,3.1302644623453425e-05,True,41
