equation,if,low_impact,rank
H + O2 <=> O + OH,0.9667329290097153,False,1
H + O2 (+M) <=> HO2 (+M),0.9658388978060574,False,2
H + HO2 <=> 2 OH,0.09599854518418438,False,3
C + O2 <=> CO + O,0.05395913185865502,True,4
HCO + OH <=> CO + H2O,0.053443585383730334,True,5
H + HO2 <=> H2 + O2,0.049960297732240186,True,6
H + H2O2 <=> H2 + HO2,0.04887079085669377,True,7
2 OH <=> H2O + O,0.04685421185228952,True,8
H + OH (+M) <=> H2O (+M),0.044452074890322296,True,9
H2 + O <=> H + OH,0.04077827909076789,True,10
CO + O (+M) <=> CO2 (+M),0.040230985534587434,True,11
OH* <=> OH,0.039205378838862874,True,12
HO2 + OH <=> H2O + O2,0.03875665360307278,True,13
H2O2 + OH <=> H2O + HO2,0.03861562451368667,True,14
H + H2O2 <=> H2O + OH,0.03473627144994956,True,15
H2 + OH <=> H + H2O,0.031375642026139454,True,16
2 HCO => 2 CO + H2,0.030907748462723955,True,17
H + OH* <=> H + OH,0.02900699406830944,True,18
H2O + OH* <=> H2O + OH,0.02680321795458339,True,19
CO + OH <=> CO2 + H,0.026789021587352982,True,20
HCO + O <=> CO2 + H,0.020705878421327487,True,21
HCO + O2 <=> CO + HO2,0.01746388195128385,True,22
H2 + OH* <=> H2 + OH,0.017373076087466518,True,23
2 H + M <=> H2 + M,0.016654669085462825,True,24
H + HCO <=> CO + H2,0.013518401992288579,True,25
AR + OH* <=> AR + OH,0.013369874613819575,True,26
HCO + M <=> CO + H + M,0.012377292440100267,True,27
H2O2 (+M) <=> 2 OH (+M),0.010794037096936717,True,28
2 HO2 <=> H2O2 + O2,0.00944231673805744,True,29
H2O2 + O <=> HO2 + OH,0.007257748642007346,True,30
HCO + O <=> CO + OH,0.006238680438886462,True,31
HO2 + O <=> O2 + OH,0.005273941085473559,True,32
H + O + M <=> OH + M,0.005243033687605129,True,33
N2 + OH* <=> N2 + OH,0.004875521529212044,True,34
C + OH <=> CO + H,0.004271753695793258,True,35
HCO + HO2 => CO2 + H + OH,0.00399254850785072,True,36
OH + OH* <=> 2 OH,0.003853704560451668,True,37
O2 + OH* <=> O2 + OH,0.0032573470904104494,True,38
2 O + M <=> O2 + M,0.003125911052094608,True,39
CO + O2 <=> CO2 + O,0.0007932386759946118,True,40
CO + HO2 <=> CO2 + OH,0.000522305509806392,True,41
