equation,if,low_impact,rank
H + O2 <=> O + OH,0.8067434320225373,False,1
H + O2 (+M) <=> HO2 (+M),0.6814271329281811,False,2
H + HO2 <=> 2 OH,0.07653587558260899,True,3
H + H2O2 <=> H2 + HO2,0.05437389842249403,True,4
H + HCO <=> CO + H2,0.043351821879729295,True,5
H + OH (+M) <=> H2O (+M),0.02829184288250577,True,6
HO2 + O <=> O2 + OH,0.027129310089794093,True,7
H2O2 + OH <=> H2O + HO2,0.025784868660342432,True,8
C + OH <=> CO + H,0.025211086711663944,True,9
N2 + OH* <=> N2 + OH,0.024054233912417778,True,10
2 H + M <=> H2 + M,0.023769605252936123,True,11
HCO + O <=> CO + OH,0.023726961356497815,True,12
H + HO2 <=> H2 + O2,0.02348224314680286,True,13
H2O2 (+M) <=> 2 OH (+M),0.022216985958223003,True,14
2 HCO => 2 CO + H2,0.021835819443450734,True,15
HCO + OH <=> CO + H2O,0.020571556687810987,True,16
C + O2 <=> CO + O,0.01967413831905351,True,17
O2 + OH* <=> O2 + OH,0.018993263592043022,True,18
H2 + OH <=> H + H2O,0.01819638662353455,True,19
HCO + O2 <=> CO + HO2,0.014519890707686167,True,20
OH + OH* <=> 2 OH,0.014373284970139425,True,21
HCO + O <=> CO2 + H,0.014287147736026781,True,22
HO2 + OH <=> H2O + O2,0.013431748553544573,True,23
2 OH <=> H2O + O,0.011618263308610592,True,24
2 HO2 <=> H2O2 + O2,0.010959566897060277,True,25
CO + OH <=> CO2 + H,0.01003383136811238,True,26
H + O + M <=> OH + M,0.009757819603675187,True,27
CO + O2 <=> CO2 + O,0.009328224688104977,True,28
AR + OH* <=> AR + OH,0.009007594826534395,True,29
CO + HO2 <=> CO2 + OH,0.00880682141908844,True,30
CO + O (+M) <=> CO2 (+M),0.0087711887621016,True,31
H2O + OH* <=> H2O + OH,0.008142692431502056,True,32
H + H2O2 <=> H2O + OH,0.00777242521583415,True,33
HCO + HO2 => CO2 + H + OH,0.0071258461978713555,True,34
H2 + O <=> H + OH,0.0068792205367409105,True,35
H2 + OH* <=> H2 + OH,0.00501107828889857,True,36
HCO + M <=> CO + H + M,0.004032475304398053,True,37
OH* <=> OH,0.003765127182649342,True,38
2 O + M <=> O2 + M,0.003274879177140374,True,39
H + OH* <=> H + OH,0.0017351442902839118,True,40
H2O2 + O <=> HO2 + OH,0.00019443605027692128,True,41
