equation,if,low_impact,rank
H + O2 <=> O + OH,0.1322621387208683,False,1
H2 + OH <=> H + H2O,0.06117976186223476,False,2
H + O + M <=> OH + M,0.05600486081684467,False,3
H2 + O <=> H + OH,0.054494443262699754,False,4
H + HO2 <=> H2 + O2,0.02637409473798783,False,5
2 H + M <=> H2 + M,0.02567579885341971,False,6
HCO + O <=> CO2 + H,0.016046527721636138,False,7
C + O2 <=> CO + O,0.014609444248355969,False,8
H2O + OH* <=> H2O + OH,0.009369940356745819,True,9
OH + OH* <=> 2 OH,0.009078717787553276,True,10
H + H2O2 <=> H2O + OH,0.007924209039416761,True,11
2 HO2 <=> H2O2 + O2,0.007640982306105629,True,12
AR + OH* <=> AR + OH,0.00644766710574231,True,13
H2O2 + OH <=> H2O + HO2,0.0059693108730839856,True,14
CO + O2 <=> CO2 + O,0.005520326671413625,True,15
C + OH <=> CO + H,0.00493935675873054,True,16
2 OH <=> H2O + O,0.004878800992716583,True,17
N2 + OH* <=> N2 + OH,0.004798151069433151,True,18
HCO + OH <=> CO + H2O,0.004715443758475582,True,19
CO + O (+M) <=> CO2 (+M),0.004695107977279582,True,20
H2 + OH* <=> H2 + OH,0.004691461065904638,True,21
H + HCO <=> CO + H2,0.00463073927111026,True,22
H + O2 (+M) <=> HO2 (+M),0.004629840513912137,True,23
H + H2O2 <=> H2 + HO2,0.004481068617691689,True,24
2 O + M <=> O2 + M,0.004464056404051806,True,25
HCO + O <=> CO + OH,0.004102484785286118,True,26
H + HO2 <=> 2 OH,0.003998791190320022,True,27
O2 + OH* <=> O2 + OH,0.0038825849885424377,True,28
HO2 + O <=> O2 + OH,0.0036168429695264217,True,29
2 HCO => 2 CO + H2,0.002350027489463006,True,30
HCO + O2 <=> CO + HO2,0.002331698991334469,True,31
HCO + M <=> CO + H + M,0.002161981290558597,True,32
HO2 + OH <=> H2O + O2,0.0019679320551676516,True,33
H + OH (+M) <=> H2O (+M),0.001169276757153717,True,34
HCO + HO2 => CO2 + H + OH,0.001149745451878398,True,35
OH* <=> OH,0.0009345124480091418,True,36
CO + OH <=> CO2 + H,0.0009196856781780908,True,37
CO + HO2 <=> CO2 + OH,0.0006749140906395488,True,38
H2O2 + O <=> HO2 + OH,0.0006017184976899793,True,39
H2O2 (+M) <=> 2 OH (+M),0.0005975823079397661,True,40
H + OH* <=> H + OH,0.00016294178616322685,True,41
