equation,if,low_impact,rank
H + O2 <=> O + OH,0.20219577760187846,False,1
H + O2 (+M) <=> HO2 (+M),0.013492948544700331,True,2
H2 + O <=> H + OH,0.011210043488983197,True,3
H2 + OH <=> H + H2O,0.008362270651553316,True,4
H + HO2 <=> H2 + O2,0.007518985640858223,True,5
H + HO2 <=> 2 OH,0.005518827845724115,True,6
HCO + O <=> CO + OH,0.003380794100277686,True,7
OH* <=> OH,0.0030827472915361896,True,8
H + H2O2 <=> H2 + HO2,0.00299972549089804,True,9
H + OH (+M) <=> H2O (+M),0.0028134293275788027,True,10
2 HO2 <=> H2O2 + O2,0.0027196524144947787,True,11
OH + OH* <=> 2 OH,0.002431098109528784,True,12
HCO + O2 <=> CO + HO2,0.0023724695283805705,True,13
H2O2 + OH <=> H2O + HO2,0.0018378236133110325,True,14
HO2 + O <=> O2 + OH,0.0017656525648424804,True,15
H + HCO <=> CO + H2,0.0016930872070129886,True,16
HCO + O <=> CO2 + H,0.0015533934100971328,True,17
H + O + M <=> OH + M,0.0015385400311165687,True,18
HCO + M <=> CO + H + M,0.0014321889722254174,True,19
CO + HO2 <=> CO2 + OH,0.0013807798416069154,True,20
CO + OH <=> CO2 + H,0.0013793599189708967,True,21
H2O + OH* <=> H2O + OH,0.001327290167592548,True,22
O2 + OH* <=> O2 + OH,0.0013150209691127894,True,23
2 H + M <=> H2 + M,0.0013018399634857738,True,24
CO + O2 <=> CO2 + O,0.001188748075147575,True,25
C + O2 <=> CO + O,0.0010175790081001848,True,26
HCO + OH <=> CO + H2O,0.0009808515575815788,True,27
H2O2 (+M) <=> 2 OH (+M),0.0008482235973173814,True,28
N2 + OH* <=> N2 + OH,0.0007142787771555236,True,29
HCO + HO2 => CO2 + H + OH,0.0006158601708008387,True,30
2 OH <=> H2O + O,0.0004678450000543685,True,31
H2O2 + O <=> HO2 + OH,0.0004069939567189863,True,32
H + H2O2 <=> H2O + OH,0.00039182372031758137,True,33
AR + OH* <=> AR + OH,0.00038316199245011154,True,34
H + OH* <=> H + OH,0.0003762861297497356,True,35
C + OH <=> CO + H,0.00022373517080891887,True,36
HO2 + OH <=> H2O + O2,0.0002107414616281563,True,37
2 O + M <=> O2 + M,0.00016012372735614927,True,38
2 HCO => 2 CO + H2,7.742401236048836e-05,True,39
CO + O (+M) <=> CO2 (+M),7.677128102037174e-05,True,40
H2 + OH* <=> H2 + OH,9.755916568380048e-06,True,41
