equation,if,low_impact,rank
CO + O2 <=> CO2 + O,0.1890013382741058,False,1
HO2 + O <=> O2 + OH,0.02154722688525966,False,2
2 HO2 <=> H2O2 + O2,0.01761482117267806,True,3
H2 + OH <=> H + H2O,0.01744264852475794,True,4
HCO + OH <=> CO + H2O,0.015173176613249385,True,5
2 OH <=> H2O + O,0.014365345963982527,True,6
H2 + O <=> H + OH,0.013902544948341672,True,7
N2 + OH* <=> N2 + OH,0.013012655528261084,True,8
O2 + OH* <=> O2 + OH,0.012633459579652055,True,9
H + OH* <=> H + OH,0.011627239740969294,True,10
C + OH <=> CO + H,0.011399993947829052,True,11
HCO + HO2 => CO2 + H + OH,0.010737518114835795,True,12
HCO + O <=> CO + OH,0.009863949156556443,True,13
2 HCO => 2 CO + H2,0.009208330702050608,True,14
H + HCO <=> CO + H2,0.00897883111584921,True,15
CO + OH <=> CO2 + H,0.008511289003554273,True,16
H + H2O2 <=> H2 + HO2,0.008088171563741508,True,17
CO + O (+M) <=> CO2 (+M),0.007644593543163419,True,18
H + OH (+M) <=> H2O (+M),0.007265002095934614,True,19
HCO + M <=> CO + H + M,0.006636522907281697,True,20
OH* <=> OH,0.0065131095577434135,True,21
H + O2 (+M) <=> HO2 (+M),0.006467323857957636,True,22
H + HO2 <=> 2 OH,0.006464060178575051,True,23
H + H2O2 <=> H2O + OH,0.006273225472320346,True,24
OH + OH* <=> 2 OH,0.005213563225885007,True,25
H2O + OH* <=> H2O + OH,0.004735283484512319,True,26
H + O + M <=> OH + M,0.004723474531977301,True,27
AR + OH* <=> AR + OH,0.004490082035665868,True,28
CO + HO2 <=> CO2 + OH,0.0043698150847166885,True,29
2 O + M <=> O2 + M,0.0037848091477430293,True,30
H2O2 + OH <=> H2O + HO2,0.003343078605296002,True,31
HCO + O <=> CO2 + H,0.0029511608583515547,True,32
2 H + M <=> H2 + M,0.0020711026651958897,True,33
C + O2 <=> CO + O,0.001856465226215646,True,34
H + O2 <=> O + OH,0.0018313405561263413,True,35
H2 + OH* <=> H2 + OH,0.0015744083109844509,True,36
H2O2 (+M) <=> 2 OH (+M),0.001323821282618479,True,37
H2O2 + O <=> HO2 + OH,0.0010454443535945367,True,38
HCO + O2 <=> CO + HO2,0.0008682058913331843,True,39
HO2 + OH <=> H2O + O2,0.0006137828322748091,True,40
H + HO2 <=> H2 + O2,0.000321919699822953,True,41
