equation,if,low_impact,rank
H + O2 <=> O + OH,0.8710221649176145,False,1
H + O2 (+M) <=> HO2 (+M),0.787371771750804,False,2
H + HO2 <=> 2 OH,0.08809522157136238,False,3
H + HCO <=> CO + H2,0.050914040928060324,True,4
H + OH (+M) <=> H2O (+M),0.03963524656569299,True,5
H + H2O2 <=> H2 + HO2,0.038110560467470654,True,6
H2 + O <=> H + OH,0.03621725139731798,True,7
H + HO2 <=> H2 + O2,0.03325708008996746,True,8
H2O2 + OH <=> H2O + HO2,0.030267508995842803,True,9
2 HCO => 2 CO + H2,0.0298762911113981,True,10
C + O2 <=> CO + O,0.028449043769615885,True,11
C + OH <=> CO + H,0.027858591575983877,True,12
H2O2 (+M) <=> 2 OH (+M),0.02722671493697376,True,13
HO2 + OH <=> H2O + O2,0.026487884624419086,True,14
2 H + M <=> H2 + M,0.02481998375130037,True,15
HCO + OH <=> CO + H2O,0.024009206836182993,True,16
HCO + O <=> CO + OH,0.02329622682692857,True,17
2 OH <=> H2O + O,0.022714681125901415,True,18
HO2 + O <=> O2 + OH,0.021992639711417794,True,19
HCO + O2 <=> CO + HO2,0.02167452496127091,True,20
O2 + OH* <=> O2 + OH,0.021510472831200816,True,21
N2 + OH* <=> N2 + OH,0.01975333099953977,True,22
H + H2O2 <=> H2O + OH,0.019439502419473342,True,23
HCO + O <=> CO2 + H,0.017824196944814085,True,24
CO + OH <=> CO2 + H,0.014996897246071075,True,25
H + O + M <=> OH + M,0.014567234879954925,True,26
CO + O2 <=> CO2 + O,0.01164272779929159,True,27
2 O + M <=> O2 + M,0.010549717680992443,True,28
CO + O (+M) <=> CO2 (+M),0.009827520853593574,True,29
OH + OH* <=> 2 OH,0.009800329089312478,True,30
AR + OH* <=> AR + OH,0.00937843842579525,True,31
H2 + OH* <=> H2 + OH,0.0087227266920266,True,32
H2O + OH* <=> H2O + OH,0.007113314970802561,True,33
CO + HO2 <=> CO2 + OH,0.0058870425291641095,True,34
H + OH* <=> H + OH,0.005381333362184636,True,35
HCO + HO2 => CO2 + H + OH,0.005342348371977733,True,36
2 HO2 <=> H2O2 + O2,0.004029825233593765,True,37
H2 + OH <=> H + H2O,0.0037287807902855958,True,38
H2O2 + O <=> HO2 + OH,0.003256278228450351,True,39
OH* <=> OH,0.003007784998123368,True,40
HCO + M <=> CO + H + M,0.0008066717482505565,True,41
