equation,if,low_impact,rank
H + O2 <=> O + OH,0.10833830215878869,False,1
H2 + O <=> H + OH,0.03913094935269838,False,2
H2 + OH <=> H + H2O,0.030384852054642305,False,3
2 OH <=> H2O + O,0.019750794221118775,False,4
H + O2 (+M) <=> HO2 (+M),0.010032868372224946,True,5
H + HO2 <=> H2 + O2,0.008556684954291518,True,6
H + O + M <=> OH + M,0.007725430967215215,True,7
H2O + OH* <=> H2O + OH,0.006783915641504702,True,8
H + OH (+M) <=> H2O (+M),0.0060325529278323735,True,9
H + H2O2 <=> H2 + HO2,0.005582758241555224,True,10
H + HO2 <=> 2 OH,0.004738730454226104,True,11
AR + OH* <=> AR + OH,0.004518313356471588,True,12
OH* <=> OH,0.003660407328465169,True,13
2 HCO => 2 CO + H2,0.0034729030429241667,True,14
HCO + OH <=> CO + H2O,0.0034093514862774915,True,15
H2O2 + OH <=> H2O + HO2,0.0032196804939984857,True,16
CO + O2 <=> CO2 + O,0.003135209886999469,True,17
HCO + O <=> CO + OH,0.0028391342823488198,True,18
H + HCO <=> CO + H2,0.002793009427831543,True,19
H2O2 + O <=> HO2 + OH,0.0025144223105456574,True,20
CO + HO2 <=> CO2 + OH,0.002446090199938092,True,21
2 H + M <=> H2 + M,0.0022201331287801497,True,22
H + H2O2 <=> H2O + OH,0.002113623135252998,True,23
OH + OH* <=> 2 OH,0.001870062524897815,True,24
2 O + M <=> O2 + M,0.001697398726071375,True,25
CO + OH <=> CO2 + H,0.0016608421938069122,True,26
HCO + O2 <=> CO + HO2,0.001314148518842864,True,27
CO + O (+M) <=> CO2 (+M),0.0012417019511031674,True,28
O2 + OH* <=> O2 + OH,0.001174122692747152,True,29
N2 + OH* <=> N2 + OH,0.0011184415163130153,True,30
H + OH* <=> H + OH,0.0010196399111276977,True,31
H2O2 (+M) <=> 2 OH (+M),0.0009210065161426531,True,32
C + O2 <=> CO + O,0.0008550233279515766,True,33
HO2 + OH <=> H2O + O2,0.0007299659402484431,True,34
H2 + OH* <=> H2 + OH,0.0006285823101502852,True,35
C + OH <=> CO + H,0.00045822084491489804,True,36
HCO + HO2 => CO2 + H + OH,0.0002946154061004865,True,37
HO2 + O <=> O2 + OH,0.0002497897259010931,True,38
HCO + O <=> CO2 + H,0.00019463138925339548,True,39
HCO + M <=> CO + H + M,0.00017774169052660362,True,40
2 HO2 <=> H2O2 + O2,0.0001511639330985987,True,41
