,mu,mu_star,sigma,mu_star_conf
C2H + i-C4H5 <=> A1,5.2874913393994395e-08,2.912111801257651e-07,4.517215092531842e-07,2.246571494382508e-07
C2H + i-C4H5 <=> A1- + H,-1.349991920997483e-07,4.052589835154266e-07,5.049969522516546e-07,2.0715636982614596e-07
C5H5 + CH3 <=> A1 + 2 H,-2.766528146868775e-07,4.6195493659929073e-07,5.754881899672301e-07,2.2309002194191558e-07
C2H3 + C5H6 <=> A1 + CH3,-2.9368231120212848e-08,3.669348401334277e-07,4.7479010590814176e-07,1.6649214906941474e-07
A1 <=> A1- + H,-2.666950517759392e-08,3.2665035049409986e-07,4.2688475265979097e-07,1.49058432568484e-07
A1 + O2 <=> A1- + HO2,1.9923681723640073e-07,3.299030519388237e-07,3.766807615785056e-07,1.4567525560743105e-07
A1 + O <=> A1- + OH,-1.7493965736695921e-07,2.4305964571136875e-07,2.7286858152064476e-07,1.2346640726864502e-07
A1 + O <=> C6H5OH,9.28029649719317e-08,4.164087794336735e-07,5.206891407442704e-07,1.804967182297024e-07
A1 + O <=> C6H5O + H,-1.0260713874486394e-07,2.5292671667017313e-07,3.4457949398087225e-07,1.3665058359590154e-07
A1 + H <=> A1- + H2,5.14887025707462e-08,3.582316647414402e-07,5.386086474464071e-07,2.4374137982473534e-07
A1 + OH <=> C6H5OH + H,-1.4161792062418307e-08,5.506737231371342e-07,8.126082027340495e-07,3.4905708908755844e-07
A1 + OH <=> A1- + H2O,2.875402158581458e-07,4.61295505008375e-07,7.103283400712428e-07,3.190530634055606e-07
A1- + O2 <=> C6H5O + O,1.1024974470730733e-07,2.9071960236386575e-07,3.2426834634219677e-07,8.115440857746013e-08
A1- + O <=> C5H5 + CO,-1.1510936423831574e-08,2.817655263118888e-07,3.3954569315405315e-07,9.568980051475895e-08
A1- + OH <=> C6H5O + H,-1.7163050884718928e-07,3.335754438866588e-07,5.01529293531087e-07,2.341849595827759e-07
A1- + C6H5OH <=> A1 + C6H5O,-6.477993493003139e-08,4.3576376064175685e-07,5.782436291668563e-07,2.17951492305668e-07
C3H4 + i-C4H5 <=> C7H8 + H,1.2712903332546168e-07,4.102797566920125e-07,5.029129265584155e-07,1.8235391928703227e-07
H2CCCH + i-C4H5 <=> C7H7 + H,-8.631870374168468e-08,3.9041680936353875e-07,4.84758229662621e-07,1.4989678842226285e-07
A1 + CH2 <=> C7H8,1.710428806024272e-07,3.195575668012798e-07,4.143274433838143e-07,1.7727494606177223e-07
A1 + CH2(S) <=> C7H8,-1.4507058894746477e-07,3.012429291303675e-07,4.970094608633483e-07,2.3783162967917806e-07
C7H8 <=> A1- + CH3,5.14804495273493e-08,5.004222483407308e-07,6.752550250303078e-07,2.389074405845983e-07
H2CCCH + i-C4H5 <=> C7H8,7.437616844352435e-08,4.3576704800552337e-07,4.975977823456007e-07,1.1116713820537419e-07
C7H8 + O2 <=> C7H7 + HO2,2.951779888669494e-07,4.937377183232254e-07,5.165366596618262e-07,1.7894116461195462e-07
C7H8 + O <=> C7H7 + OH,9.961506907727909e-08,2.510793697741766e-07,2.9832793211998895e-07,1.0656338867062358e-07
C7H8 + H <=> A1 + CH3,1.335436792209996e-08,3.5491229366009436e-07,4.96592555122036e-07,1.7339007106909334e-07
C7H8 + H <=> C7H7 + H2,3.1361954354414762e-09,3.0489293376800586e-07,3.596582775056003e-07,9.296028420028171e-08
C7H8 + OH <=> C7H7 + H2O,1.6084402054774968e-07,2.9141043481217937e-07,4.444325075541174e-07,2.3195161346257362e-07
C7H8 + HO2 <=> C7H7 + H2O2,4.93979703496687e-07,5.950228141389727e-07,7.241087365527824e-07,3.324068463221043e-07
C7H8 + CH3 <=> C7H7 + CH4,2.7108685202409213e-08,1.6499768401847678e-07,2.3472216269039068e-07,9.147566997700435e-08
C2H3 + C7H8 <=> C2H4 + C7H7,-1.8451797234681736e-07,2.890406852071162e-07,3.351207232410801e-07,1.422282649339013e-07
C7H8 + H2CCCH <=> C3H4 + C7H7,-6.561909277095608e-08,4.335919884923362e-07,5.459196823175213e-07,1.744374332023872e-07
C3H5 + C7H8 <=> C3H6 + C7H7,-4.3029410640538014e-08,2.4374500357714175e-07,3.382264962985155e-07,1.44396172282424e-07
C5H5 + C7H8 <=> C5H6 + C7H7,-4.7971820303508233e-08,2.0495674615263365e-07,2.558646284177289e-07,8.809730824381555e-08
A1- + C7H8 <=> A1 + C7H7,2.441022129338732e-08,3.628095613727137e-07,5.143916928618798e-07,1.8428622490888028e-07
C6H5O + C7H8 <=> C6H5OH + C7H7,-2.2202710967814207e-07,2.824937467674307e-07,3.385565565954687e-07,1.5392406985896987e-07
C7H8 + HCO <=> C7H7 + CH2O,-1.1969087831782833e-07,1.7854260610018842e-07,2.0058191756712544e-07,9.227667515805725e-08
C7H8 + i-C4H5 <=> C4H6 + C7H7,-5.11387125893112e-08,2.978374035539504e-07,4.6479943238560967e-07,1.907155673658317e-07
C7H7 + H2CCCH <=> C3H2 + C7H8,1.2448019439481614e-07,2.1834768169789355e-07,2.2835454264593752e-07,7.208315231993176e-08
C7H7 + HO2 <=> A1- + CH2O + OH,-6.113235001663552e-08,3.6484249164495245e-07,6.006448465374484e-07,2.662328563432345e-07
C7H7 + O2 <=> A1- + HCO + OH,9.149082265447848e-09,2.347166301048385e-07,3.3414998152168224e-07,1.3170724067081735e-07
C7H7 + HO2 <=> A1 + HCO + OH,-2.126444717654615e-07,4.165682492738233e-07,6.75137064164093e-07,3.20414631795722e-07
C7H7 + OH <=> A1- + CH2OH,1.479043337220816e-07,5.060888717291638e-07,6.416571461481049e-07,2.0852966656913698e-07
A1- + CH3 <=> C7H7 + H,-1.150999124739527e-08,3.6553937915874377e-07,4.800396769812793e-07,1.654434326457436e-07
C7H7 <=> C4H4 + H2CCCH,6.33691851308711e-08,2.482316557799499e-07,4.3730289242994263e-07,1.9102251067580656e-07
C7H7 <=> C2H2 + C5H5,3.892930939965818e-09,2.0402593672661092e-07,2.4493954838478846e-07,6.516033661037778e-08
C7H7 + O <=> A1 + HCO,-2.7411309460951666e-07,2.923129527610892e-07,2.388122566476472e-07,1.1849383249023087e-07
C7H7 + O <=> A1- + CH2O,-2.1082891712945374e-07,4.1984231938058157e-07,5.69518632294412e-07,2.26045461832234e-07
C7H7 + H <=> C7H8,9.533567678261541e-08,3.619484870112126e-07,4.150340000650878e-07,1.0435711613343427e-07
C7H7 + H + OH <=> A1 + CH2OH,-1.3663773282907307e-08,2.829275000756087e-07,4.308578906015079e-07,1.8438026926448682e-07
C4H2 + i-C4H5 <=> A1C2H + H,7.565092178936115e-08,6.386123511429555e-07,8.191431617760919e-07,2.7851092443734597e-07
A1C2H- + H (+M) <=> A1C2H (+M),2.6466457510334238e-08,4.5768911265069174e-07,6.150084318494652e-07,2.2873112589530593e-07
C4H2 + H2CCCCH <=> A1C2H-,1.3584627045430963e-07,3.0701664212317077e-07,3.861048768381181e-07,1.432188398124016e-07
A1- + C4H2 <=> A1C2H + C2H,2.138286721229916e-07,3.527681099152413e-07,3.7639123087086614e-07,1.2184842530785585e-07
A1- + C2H3 <=> A1C2H + H2,1.370272459877851e-07,2.5764829495054216e-07,3.1512730476036094e-07,1.1514462328291387e-07
A1- + C4H4 <=> A1C2H + C2H3,2.163931055392285e-07,2.739403909835163e-07,2.440572835860813e-07,1.0139906630489836e-07
A1 + C2H <=> A1C2H + H,-1.105128434620944e-07,4.600444111868652e-07,6.899809686865851e-07,3.2780538950202094e-07
A1- + C2H <=> A1C2H,7.529129538457741e-08,3.4195045850533724e-07,4.993084523134993e-07,1.815800188961821e-07
A1C2H + O <=> A1C2H- + OH,-1.0631190314812741e-07,3.380820977719804e-07,4.2632156881688217e-07,1.4782104692713134e-07
A1C2H + O <=> A1- + HCCO,-1.1231863867423567e-07,4.010747555568718e-07,5.883205705050457e-07,2.2235868709862692e-07
A1C2H + O <=> C2H + C6H5O,-1.2604892697879413e-07,2.0261459934183237e-07,2.336265001443485e-07,9.49103754907113e-08
A1C2H + H <=> A1C2H- + H2,1.4884474457578643e-07,5.479329063732826e-07,7.657307916884052e-07,3.306643269058177e-07
A1C2H + H <=> A1- + C2H2,9.232420230208781e-09,3.9287104028909866e-07,4.95239189389199e-07,1.6958917409900083e-07
A1C2H + H <=> n-C8H7,-1.4955224269800284e-07,4.2143717675328765e-07,5.926178480622442e-07,2.4379582921352627e-07
A1C2H + OH <=> A1C2H- + H2O,-2.50862213270516e-07,2.598073472684174e-07,3.014331845068609e-07,1.7779823225728656e-07
A1C2H + OH <=> A1- + CH2CO,-1.42201572715385e-07,3.2416642711730626e-07,4.1387952726633154e-07,1.49497108920632e-07
A1C2H + OH <=> A1 + HCCO,-2.449685062548633e-07,3.527270715180089e-07,3.959851433162636e-07,1.4645188501179112e-07
A1C2H + C2H <=> A1C2H- + C2H2,1.7561885454964286e-07,3.7788818123455096e-07,5.39919682906924e-07,2.556710263781476e-07
2 C4H4 <=> A1C2H3,1.6340945528571159e-07,3.9121739438788206e-07,4.583337979106224e-07,1.4986574929097516e-07
C4H4 + i-C4H5 <=> A1C2H3 + H,-3.6243056675574255e-08,3.6834024241250855e-07,4.724481420812242e-07,1.69250900116103e-07
C5H5 + H2CCCH <=> A1C2H3* + H,-6.217076799089662e-08,3.588424947602711e-07,4.751875813079867e-07,1.7949924572493688e-07
A1 + C2H3 <=> A1C2H3 + H,-8.301292872877446e-08,2.7510566752662303e-07,3.4727913891085817e-07,1.2223211115981827e-07
A1- + C2H3 <=> A1C2H3,-2.419972263594482e-07,4.352465247123814e-07,5.429095851737346e-07,2.2398139341153246e-07
A1- + C2H4 <=> A1C2H3 + H,7.090338620126502e-09,4.4647537889363906e-07,6.648360470335811e-07,2.690215202088356e-07
A1- + C4H4 <=> A1C2H3 + C2H,-2.1962677088334819e-07,2.6011517081153907e-07,3.372392072882307e-07,1.7266007144073216e-07
A1- + C4H6 <=> A1C2H3 + C2H3,2.289137135876881e-07,3.817855542772414e-07,4.833948748970978e-07,1.965932796451134e-07
C7H7 + CH2 <=> A1C2H3 + H,-1.0402231969150349e-07,2.345260929968386e-07,4.0056941553314423e-07,2.115881039489787e-07
A1C2H3 + H <=> H2 + n-C8H7,-2.847153141497176e-08,4.993207930192215e-07,7.576911574311675e-07,3.2626695350121447e-07
A1C2H3 + H <=> A1C2H3* + H2,-3.1093854240554e-08,3.009066462587444e-07,3.701801160461394e-07,1.1651550425789286e-07
A1C2H3 + O <=> A1- + CH2CHO,8.66761257104979e-08,2.571685148650457e-07,3.463578592438005e-07,1.4564132651203601e-07
A1C2H3 + O <=> A1- + CH3 + CO,1.0659622727821197e-07,5.087091302692182e-07,6.683895992386742e-07,2.5916051985467194e-07
A1C2H3 + O <=> C2H3 + C6H5O,-1.727700320747581e-07,3.4439615605623263e-07,4.56435773902855e-07,1.94537111800001e-07
A1C2H3 + O <=> OH + n-C8H7,1.4205479277726763e-07,2.2795018555416374e-07,2.7720345163344617e-07,1.1156106591461804e-07
A1C2H3 + OH <=> H2O + n-C8H7,-1.8121595277206324e-08,3.042620910161088e-07,3.419363004998958e-07,7.547686370047146e-08
A1C2H3 + OH => C2H4 + C6H5O,-2.451890138466743e-07,4.669413446867519e-07,6.948726812120813e-07,3.375659176576006e-07
A1C2H3 + OH <=> A1C2H3* + H2O,1.8502716821315098e-07,3.355704483428159e-07,6.908269970456173e-07,3.360908799309048e-07
A1C2H3 + OH <=> C7H7 + CH2O,-2.0972309484765078e-07,3.845956536253992e-07,5.063477442615966e-07,2.1306072393402257e-07
A1C2H3 + O2 <=> C6H5O + CH2CHO,2.053160776236612e-08,2.996894924927024e-07,4.208705589229114e-07,1.7271797441975587e-07
A1C2H3* + O2 <=> C6H5O + CH2CO,-2.2078013422693262e-08,3.4543315034212167e-07,5.1334422016376e-07,1.8295490476867664e-07
A1C2H3* + H (+M) <=> A1C2H3 (+M),1.5771269523368438e-07,2.5402362519209136e-07,4.2585875009486536e-07,1.9733191138132516e-07
C5H5 + H2CCCH <=> H + n-C8H7,-1.5017677815689517e-07,3.2629045610963725e-07,3.9322577405721883e-07,1.5759692176371242e-07
A1 + C2H <=> n-C8H7,-1.6950555614027754e-07,5.122607640347726e-07,7.155558679476047e-07,2.521727443737122e-07
A1- + C2H2 <=> n-C8H7,5.527796371236801e-08,1.8457688718796263e-07,2.8201828461336006e-07,1.3111723785488884e-07
A1- + C2H3 <=> H + n-C8H7,5.1086648849905494e-08,3.636643545161073e-07,5.319935847598347e-07,2.3087168936061812e-07
H + n-C8H7 <=> A1C2H3,9.61086592503277e-08,3.8725185898441e-07,4.691664839454774e-07,1.3060683313849412e-07
H + n-C8H7 <=> A1C2H + H2,1.076575999326011e-07,3.6643142816324863e-07,4.628181103108455e-07,1.7455334948266178e-07
OH + n-C8H7 <=> A1C2H + H2O,8.39973057923589e-08,4.4794982163192514e-07,6.679529636337449e-07,2.982658937262357e-07
C4H4 + C5H5 <=> H + INDENE,1.2450359835788747e-07,3.277463198981327e-07,4.2941529836966046e-07,1.5480346609221458e-07
A1- + H2CCCH <=> INDENE,5.531265968679354e-08,3.701637382136063e-07,5.199283387637164e-07,1.9935868466022703e-07
A1- + C4H6 <=> CH3 + INDENE,-1.8626083748560435e-08,3.483085250474337e-07,4.2909119065169107e-07,1.3094560320209436e-07
A1 + i-C4H5 <=> CH3 + INDENE,4.638437016545597e-08,1.7796530256534473e-07,2.324097769357494e-07,8.686071918606667e-08
A1- + C3H4 <=> H + INDENE,-4.334909262318961e-08,3.22653432291999e-07,4.3640554723783766e-07,1.6634306767724459e-07
C2H + C4H2 <=> C6H2 + H,-2.3953015263715253e-07,3.5987741922669373e-07,4.6507716180950484e-07,1.9748395133511014e-07
C2H2 + C4H <=> C6H2 + H,-2.2535356125143733e-07,2.9916414869503024e-07,3.8858314089105617e-07,2.177925227260927e-07
2 C3H2 => C6H2 + H2,2.7268732227346407e-08,1.9610108700906861e-07,2.547201519190838e-07,8.643286475036294e-08
C2H2 + C6H <=> C8H2 + H,-1.3363505283845136e-07,5.166281247742888e-07,6.748974748974603e-07,2.452590099230456e-07
C2H + C6H2 <=> C8H2 + H,4.1907139453672664e-07,5.543697509278823e-07,6.848478473972083e-07,3.4189454009242803e-07
C2H + C6H <=> C8H2,-8.298020587764486e-08,3.5609311795797837e-07,4.5835912226778584e-07,1.7737483127693677e-07
C2H + C4H2 <=> C2H2 + C4H,-1.7211041023640608e-07,4.775034155137836e-07,5.336179769250316e-07,1.6398337326700985e-07
C6H2 + H <=> C6H + H2,4.21548640588911e-08,3.913784414193767e-07,5.996729301105306e-07,2.6352381893278503e-07
C6H2 + OH <=> C6H + H2O,2.2728023456406933e-08,4.493464519564113e-07,5.602515343144503e-07,1.800666639068732e-07
C6H2 + M <=> C6H + H + M,9.312689255220168e-09,2.6317888368384054e-07,4.432594406212535e-07,2.1499030241660615e-07
2 C4H2 <=> C8H2 + H2,8.330928327272455e-08,4.386441347195847e-07,6.268085443649646e-07,2.692594189849878e-07
C8H2 + M <=> C8H + H + M,2.9672247087548186e-08,3.475506284287643e-07,4.109257028553641e-07,1.1038301258319454e-07
C8H2 + H <=> C8H + H2,-1.6860071574155925e-07,3.654935398516474e-07,5.847187132969955e-07,2.916741438980634e-07
C8H2 + OH <=> C8H + H2O,-1.2173033298195093e-07,3.8317412545556554e-07,4.5096835188506115e-07,1.5213284130247865e-07
A1 + CH3 <=> A1- + CH4,-6.865337150067548e-08,2.8192754917842277e-07,3.508611598583922e-07,1.1515058095595701e-07
A1 + C2H <=> A1- + C2H2,1.5907534833311586e-08,3.2528335579022325e-07,4.2217939222858545e-07,1.220730940731822e-07
A1 + C4H <=> A1- + C4H2,1.3420251136268762e-07,3.708870233708493e-07,5.217540831306648e-07,2.151604388216541e-07
A1 + C6H <=> A1- + C6H2,-1.11606482912894e-07,4.295859775099855e-07,5.388971835997718e-07,1.792377580010866e-07
A1 + C8H <=> A1- + C8H2,1.1633880144926052e-07,4.429853883444689e-07,6.304242823654495e-07,2.711716418545396e-07
INDENE + O2 <=> HO2 + INDENYL,-2.6652260972423274e-08,2.0263171018059499e-07,2.9416340956336385e-07,1.356690420833506e-07
HO2 + INDENE <=> H2O2 + INDENYL,-1.7733775245532346e-07,3.4752435230517214e-07,4.130412929233059e-07,1.6111790728439976e-07
INDENE <=> H + INDENYL,3.058959578384359e-08,3.578432578283292e-07,5.022560948864893e-07,2.1088285107298744e-07
INDENE + O <=> INDENYL + OH,1.5614598490622887e-07,3.1233935655748516e-07,3.81779161209685e-07,1.512477993030507e-07
INDENE + O <=> C7H7 + HCCO,-1.743214608466557e-08,4.5026349564207976e-07,7.054643964758071e-07,2.9115315279546697e-07
H + INDENE <=> H2 + INDENYL,-4.662512165652558e-09,4.110893210319415e-07,6.341226441504447e-07,2.932696492742602e-07
C2H2 + C7H7 <=> H + INDENE,-2.5842624758811426e-07,4.321518784094166e-07,6.330314635082693e-07,3.147546249721304e-07
H + INDENE <=> A1C2H + CH3,4.046240291882795e-09,4.2685364139456686e-07,6.009240327196162e-07,2.218503011815178e-07
H + INDENE <=> A1 + H2CCCH,-2.532918649967154e-07,3.773653848992181e-07,5.421946772839975e-07,2.6181355537416623e-07
INDENE + OH <=> C7H7 + CH2CO,-1.5251434864942975e-07,4.14145962456318e-07,4.892210588694285e-07,1.7627487240945866e-07
INDENE + OH <=> H2O + INDENYL,-2.783723904439321e-07,4.1448338519921795e-07,5.160633189626723e-07,2.197669935346936e-07
CH3 + INDENE <=> CH4 + INDENYL,1.1444319131641267e-07,4.026413313806881e-07,5.617349258714316e-07,2.161291163859361e-07
H2CCCH + INDENE <=> C3H4 + INDENYL,-3.310745984308572e-07,6.07684923597119e-07,6.768917458783081e-07,2.5853173181884645e-07
A1- + INDENE <=> A1 + INDENYL,6.56866490214571e-08,4.097311182240471e-07,5.280843003677492e-07,1.8723106676218054e-07
C7H7 + INDENE <=> C7H8 + INDENYL,-7.847095786035585e-08,3.3868572960012934e-07,4.3986136150308107e-07,1.6957042950372758e-07
C4H2 + C5H5 <=> INDENYL,-7.035396490571978e-08,3.4898854183705766e-07,5.375817587951915e-07,2.6714995946847144e-07
INDENYL => C2H2 + C4H2 + H2CCCH,1.2048110614363677e-07,3.459766671715632e-07,4.388709803403514e-07,1.5555882151797304e-07
INDENYL + O <=> CO + n-C8H7,1.745333963003842e-07,2.4289189478730555e-07,3.071849821506629e-07,1.5590705577127129e-07
INDENYL + O <=> A1C2H3* + CO,-1.7247696973869668e-07,2.56663386320331e-07,3.737548842875721e-07,1.923114037044096e-07
HO2 + INDENYL => CO + OH + n-C8H7,-2.1302155498170598e-07,2.4169980910248034e-07,2.7482104381442577e-07,1.425365899040938e-07
HO2 + INDENYL => A1C2H + CO + H2O,2.821593539482329e-08,4.388771366607369e-07,5.235745505715412e-07,1.4729451443077796e-07
HO2 + INDENYL => A1C2H3* + CO + OH,6.745000953845259e-08,3.2997674871739233e-07,4.171871350404568e-07,1.4762993829638328e-07
A1 + A1- <=> H + P2,1.2303478317204155e-07,2.8651330665270307e-07,3.6629445401548746e-07,1.3173771762064575e-07
H2CCCH + INDENYL => P2,-2.1788210089071692e-08,3.9507595035730257e-07,5.456643706620449e-07,1.9248856107631422e-07
H2CCCH + INDENE => H + P2,5.013310184402592e-08,3.2779443951772026e-07,4.472458630959313e-07,1.7079403126775362e-07
2 A1- <=> P2,-6.158493913159207e-08,2.3649721770459122e-07,3.353989724617733e-07,1.4126077633696733e-07
2 A1- <=> H + P2-,-2.079984050071963e-07,3.834729074579223e-07,5.044180118762792e-07,2.2434870305547936e-07
P2 <=> H + P2-,2.9801068546485513e-08,2.917470001255264e-07,3.623394893859426e-07,1.2224089238217298e-07
P2 <=> C3H2 + INDENE,-4.153378240035279e-08,2.3299317148194162e-07,3.1325368538334943e-07,1.0954451184784102e-07
O2 + P2- <=> A2 + CO + HCO,1.1707335705857903e-07,2.918228556363141e-07,3.1953512792170035e-07,8.887612129177445e-08
H + P2 <=> H2 + P2-,-2.620175598508072e-07,3.116649635380216e-07,3.9962186968651314e-07,2.152455515724326e-07
OH + P2 <=> H2O + P2-,4.724190821384868e-08,3.867137583096031e-07,5.228488372038175e-07,1.8433928619019717e-07
A1 + i-C4H5 => A2 + H + H2,-1.879730441630885e-07,2.781602739263828e-07,2.731658872519547e-07,8.739076142888367e-08
A1- + C4H6 => A2 + H + H2,-8.635896749525098e-08,2.6236529187660536e-07,3.3767550618976703e-07,1.2656794414685514e-07
A1- + H2CCCCH <=> A2,1.9201184794114338e-07,4.270665253691227e-07,6.458822090611154e-07,2.9880372556541425e-07
A1- + H2CCCCH <=> A2- + H,-2.445663457458583e-07,3.954424758903089e-07,5.6109231121233e-07,2.4254551126287057e-07
A1- + C4H4 <=> A2 + H,-2.0386916270796548e-07,2.5573112172114163e-07,3.078118001333647e-07,1.5182735792759978e-07
C7H7 + H2CCCH => A2 + 2 H,-3.0216236279011475e-08,3.269899123433088e-07,4.173320603127684e-07,1.3524100598456897e-07
A1C2H- + C2H2 <=> A2-,1.1441727039359076e-07,3.192392207185853e-07,4.3135781765088843e-07,1.7531050313069985e-07
A1C2H3* + C2H2 <=> A2 + H,1.7694314808189965e-07,5.341777400625371e-07,6.37654711465418e-07,2.005251108104099e-07
C2H2 + n-C8H7 <=> A2 + H,-6.737181646107644e-08,4.5017807939892826e-07,7.505237814660346e-07,3.6123742947757847e-07
CH3 + INDENYL <=> A2 + 2 H,-8.459572433488141e-08,2.872948877008929e-07,4.0637940952246436e-07,1.5341245307909247e-07
CH2 + INDENE => A2 + 2 H,1.0714035377927001e-07,3.2763901403906025e-07,4.459152789557771e-07,1.9645583086319856e-07
CH2(S) + INDENE <=> A2 + 2 H,-2.2010154280840706e-09,3.178563576839189e-07,4.0183257569757913e-07,1.208135468252827e-07
A2 + O <=> A1C2H + CH2CO,-6.929020921855402e-08,3.029697494787782e-07,3.5424829668953723e-07,9.349600766721069e-08
A2 + O => CO + H + INDENYL,2.465597762472798e-07,4.682772601616371e-07,6.26260532170966e-07,2.451771189648784e-07
A2 + O <=> HCCO + n-C8H7,3.084081429995399e-08,3.8668662551270223e-07,4.957413093154186e-07,1.7875907008564634e-07
A2 + O <=> A1C2H3* + HCCO,-1.97854384405611e-08,4.5796417174809245e-07,5.718683923549327e-07,1.927655555892673e-07
A2 + O <=> A2- + OH,7.320580244880506e-08,4.0254123934871446e-07,5.224771353147332e-07,1.711488189896669e-07
A2 + H <=> A2- + H2,7.02582098022691e-08,3.265487826671599e-07,4.357387627156408e-07,1.6941765333659821e-07
A2 + OH <=> A2- + H2O,-1.3011072017306433e-07,3.9993551181366555e-07,5.193181627970685e-07,1.8730950148444429e-07
A2 + OH => A1C2H + CH2CO + H,3.08864343965729e-08,5.271225021939772e-07,6.629667606042296e-07,2.1869693213371607e-07
A2 + CH3 <=> A2- + CH4,2.1880801172988527e-07,4.3026362391835005e-07,6.572260029262808e-07,3.2099609280166707e-07
A2 + C2H <=> A2- + C2H2,4.435755256109491e-08,5.555258671904375e-07,6.62068815672319e-07,1.940415128250539e-07
A2 + C2H <=> A2C2H + H,-5.7742813415386135e-08,2.7417444773916786e-07,3.13953410768938e-07,7.427057378409186e-08
A2- + O2 => A1C2H + CO + HCO,8.603715175694452e-08,3.1086593656266123e-07,5.260280229150652e-07,2.441073459718407e-07
A2- + O => CO + INDENYL,-4.2640367017278266e-08,2.885658186219281e-07,4.211007782477839e-07,1.8149532000152164e-07
A2- + H <=> A2,1.5562558044602574e-07,2.9928175570594656e-07,4.0373027650163787e-07,1.695209639723572e-07
A2- + HO2 => CO + INDENYL + OH,-9.62728038390901e-08,3.1207071275909695e-07,3.8009655062615667e-07,1.1981471930199412e-07
A2- + C2H2 <=> A2C2H + H,-3.391431781668007e-07,4.831789524157535e-07,7.099036931143293e-07,3.273051103106092e-07
A2C2H + H <=> A2C2H* + H2,-1.802385602671454e-08,4.261299844828346e-07,5.495730385498236e-07,1.8802448767664053e-07
A2C2H + OH <=> A2- + CH2CO,1.6950856980541286e-07,3.9198707445006363e-07,4.4902386584818213e-07,1.4644231289791483e-07
A2C2H + OH <=> A2C2H* + H2O,1.597509097698858e-07,5.607186572198381e-07,7.480794439481175e-07,2.757098846712902e-07
H2CCCH + INDENYL => A2C2H + 2 H,1.827159125665364e-08,2.1254171637617194e-07,2.6837669709450427e-07,8.502907828631633e-08
A2- + CH3 <=> A2CH3,3.277558188909634e-07,3.3095325867908293e-07,2.477760696600722e-07,1.2027813385206683e-07
A2 + CH2 <=> A2CH3,2.0777575272224694e-07,3.5845149658528495e-07,4.3627905223268534e-07,1.9344801937453988e-07
A2 + CH2(S) <=> A2CH3,1.7010634799416192e-07,3.8318271945241553e-07,5.681168726179965e-07,2.5996584295187495e-07
A2CH2 + H <=> A2CH3,1.2595756246189858e-07,3.1463814725880575e-07,4.204982120254902e-07,1.7309051816501975e-07
A2- + CH3 <=> A2CH2 + H,-2.6404081144031526e-07,3.113195082112909e-07,2.4867034897643206e-07,9.590237608725728e-08
A2CH3 + O2 <=> A2CH2 + HO2,6.304848026458472e-08,3.57197849473165e-07,5.904799922093665e-07,2.961530989369722e-07
A2CH3 + O <=> A2CH2 + OH,1.1402003651932218e-07,4.6483516171067197e-07,8.151114033042587e-07,3.800895220963011e-07
A2CH3 + H <=> A2CH2 + H2,3.2794893193463067e-07,4.373302487094987e-07,6.055924706557657e-07,2.783453136985485e-07
A2CH3 + H <=> A2 + CH3,-2.4138605772235934e-07,4.343204188276576e-07,6.53644814300314e-07,3.3498550589871504e-07
A2CH3 + OH <=> A2CH2 + H2O,6.964798766294729e-08,2.6702057453093696e-07,3.057333887492936e-07,9.164163578629163e-08
A2CH3 + HO2 <=> A2CH2 + H2O2,-1.0456712832154099e-07,3.487303706978341e-07,6.509814307034372e-07,3.029457532017336e-07
A2CH3 + CH3 <=> A2CH2 + CH4,-4.564593776122779e-09,4.207355823786116e-07,5.753196280945692e-07,2.0189296789674227e-07
A2- + A2CH3 <=> A2 + A2CH2,5.086321398535747e-07,5.974893632607922e-07,7.233393365645434e-07,3.5343906252967983e-07
A2CH2 + CH2 <=> A2C2H + H + H2,-7.145007904410275e-08,2.8110571127832265e-07,3.7053668584280114e-07,1.502138806186335e-07
A2CH2 + H2CCCH <=> A3 + 2 H,-2.898413733886884e-08,3.775734725980011e-07,5.679181996254196e-07,2.536443092279154e-07
A1C2H- + C4H4 <=> A2R5 + H,-2.013796185219873e-07,2.8048139433173316e-07,3.866493756052274e-07,1.8969484410636682e-07
A1C2H3* + C4H2 <=> A2R5 + H,8.50518765459772e-08,4.819625492969071e-07,6.339007053907665e-07,2.4119198216919625e-07
C4H2 + n-C8H7 <=> A2R5 + H,-4.9687716180929755e-08,2.823960002761078e-07,3.607974209586259e-07,1.1162823848046951e-07
H2CCCH + INDENYL => A2R5 + 2 H,6.213123355998829e-08,2.828804074087968e-07,3.502457083840814e-07,1.2000561573843636e-07
H2CCCH + INDENE => A2R5 + H + H2,2.9157185255954557e-08,2.500442236405417e-07,3.1217959236823395e-07,1.158647578252634e-07
H2CCCH + INDENYL <=> A2R5 + H2,1.0627932512653699e-07,3.592522520964224e-07,4.5926451053989006e-07,1.5124209989402037e-07
A2- + C2H2 <=> A2R5 + H,-9.748469668852942e-08,4.092750606470871e-07,6.107784546681995e-07,2.949758106239229e-07
A2C2H* + H <=> A2R5,-1.401966707510781e-07,2.408091396282947e-07,2.8163021720986343e-07,9.54095703898629e-08
A2C2H + H <=> A2R5 + H,-2.0656824634920296e-07,3.1242939574528457e-07,4.225301955537667e-07,2.117365279149157e-07
A2R5- + H (+M) <=> A2R5 (+M),-8.309202140897073e-08,3.3829433832999155e-07,4.337267509150816e-07,1.6157469929929418e-07
