,mu,mu_star,sigma,mu_star_conf
C3H6 + H (+M) <=> nC3H7 (+M),-5.220362872464327e-08,2.827932420800486e-07,3.366705990341294e-07,1.0519083673509657e-07
O2 + nC3H7 <=> C3H6 + HO2,-2.0705167774228213e-09,2.729181312597791e-07,3.478909998898952e-07,1.1278009752951591e-07
nC3H7 <=> C2H4 + CH3,-2.913450837798982e-08,2.5224828471711415e-07,3.240451093975919e-07,1.0784036341077535e-07
CH3 + iC3H7 <=> C3H6 + CH4,3.9203960198130183e-08,3.3101213503369906e-07,4.088168149052375e-07,1.210932886957984e-07
C3H6 + H (+M) <=> iC3H7 (+M),1.9847075791442738e-07,3.8126178799048675e-07,5.317640019714377e-07,2.0206969887300414e-07
O2 + iC3H7 <=> C3H6 + HO2,9.094132507094254e-08,3.393831369143851e-07,4.66125404906293e-07,1.9729780947051435e-07
H + iC3H7 <=> C3H8,-2.6193892085653197e-07,3.8534259977615226e-07,6.323350127113332e-07,3.0041315292630335e-07
2 iC3H7 <=> C3H6 + C3H8,2.0585137847623033e-07,2.2979590587012757e-07,2.3166612199994941e-07,1.0823286663521648e-07
C3H8 + iC3H7 <=> C3H8 + nC3H7,8.455661477104566e-08,2.5923749329501924e-07,3.337762981156713e-07,1.0754424178048435e-07
C3H5 + C3H8 <=> C3H6 + iC3H7,-3.291778849364661e-08,2.0584405500691622e-07,2.5372256633346693e-07,8.390996468564884e-08
C3H5 + C3H8 <=> C3H6 + nC3H7,-1.8615623073410043e-07,3.291236243869915e-07,4.042491086095699e-07,1.6034155153066903e-07
C3H8 + O2 <=> HO2 + iC3H7,-9.683890821470787e-08,3.7713274349455616e-07,6.130832375386582e-07,2.6247605513472677e-07
C3H8 + O2 <=> HO2 + nC3H7,-7.292289772845135e-08,2.8468771740369783e-07,4.175436302195943e-07,1.611133188563576e-07
C3H8 + CH3 <=> CH4 + iC3H7,5.739698137360687e-08,3.1376127270202523e-07,3.5239161990016276e-07,7.635541768877214e-08
C3H8 + CH3 <=> CH4 + nC3H7,5.4298874595746305e-08,3.3321656203656253e-07,4.6558421377477707e-07,1.7125909268769025e-07
C3H8 + HO2 <=> H2O2 + iC3H7,-2.7480249493596742e-08,3.907339481407771e-07,5.588440331136514e-07,2.4006540648324714e-07
C3H8 + HO2 <=> H2O2 + nC3H7,2.470336386871044e-07,3.8320875050928795e-07,5.189979594683981e-07,2.2350725143084786e-07
C3H8 + OH <=> H2O + iC3H7,-3.552609918930305e-08,2.8680243566998204e-07,4.030222123724428e-07,1.546539601526328e-07
C3H8 + OH <=> H2O + nC3H7,1.8491143077640028e-07,4.122125466664978e-07,4.6373400710455787e-07,1.6230379046875444e-07
C3H8 + O <=> OH + iC3H7,-1.289213735141992e-07,3.3672167600155595e-07,4.0247951953694556e-07,1.4190757713988204e-07
C3H8 + O <=> OH + nC3H7,-1.8752382937476032e-07,2.2924571198225998e-07,2.4357709190010644e-07,1.190476351295583e-07
C3H8 + H <=> H2 + iC3H7,-3.50998003960865e-08,3.101975172855445e-07,4.1619182825269045e-07,1.6673361041772796e-07
C3H8 + H <=> H2 + nC3H7,9.0254429148922e-08,2.1609255597441778e-07,2.876095727973003e-07,1.212489691028788e-07
C3H8 <=> H + nC3H7,-2.6029232258559767e-08,2.541073263932718e-07,3.298594451812817e-07,1.1609473496234781e-07
C3H8 (+M) <=> C2H5 + CH3 (+M),-2.57214487168067e-07,3.9299997435100696e-07,6.436915602670478e-07,3.191444727518166e-07
C2H5O2 + C3H8 <=> C2H5O2H + iC3H7,1.5449691223875702e-07,3.885499973429902e-07,5.004818775993579e-07,1.8197624237047934e-07
C2H5O2 + C3H8 <=> C2H5O2H + nC3H7,5.275216980385715e-08,3.970397000637767e-07,6.166932710014169e-07,2.7368147720186056e-07
C4H2 + OH <=> C3H2 + HCO,1.1827979713130806e-07,2.5929977550058454e-07,3.8725778906703277e-07,1.8330567519182784e-07
C4H2 + OH <=> C4H + H2O,-1.2969292431255782e-07,3.350696506963704e-07,5.494666390328636e-07,3.0261976489541386e-07
C4H2 + O <=> C3H2 + CO,-9.798425918092641e-08,4.126206488936302e-07,5.709099997912542e-07,2.2413271238388616e-07
C2H + C2H2 <=> C4H2 + H,-2.0958635089526452e-07,2.8638952717244166e-07,3.776577119638608e-07,1.8382822123679767e-07
