,mu,mu_star,sigma,mu_star_conf
CH2O + H (+M) <=> CH3O (+M),-3.9562687854777966e-07,5.908583495683904e-07,9.458664410583549e-07,6.345074787344349e-07
CH3 + OH <=> CH3O + H,-2.788579815397288e-07,2.788579815397288e-07,2.193041819537952e-07,1.7742913002197602e-07
CH3 + O2 <=> CH3O + O,6.417538859019095e-08,1.9864170593056133e-07,2.391481638998463e-07,8.168184514417972e-08
CH3O + OH <=> CH2O + H2O,-6.829326844233778e-08,3.1318294229069777e-07,3.4929203638052336e-07,5.911676337535136e-08
CH3O + O <=> CH2O + OH,4.78138310820348e-08,3.251579767763271e-07,3.987619143017413e-07,1.395931736280147e-07
CH3 + HO2 <=> CH3O + OH,-1.1917819650331197e-07,1.9546331113090605e-07,2.963128338304834e-07,2.197137094934234e-07
CH3O + H <=> CH2O + H2,3.0036737584719857e-09,4.846378192708162e-07,5.791508513600173e-07,1.4600370292557703e-07
CH3O + O2 <=> CH2O + HO2,-5.8423012413294503e-08,3.2138250422179464e-07,5.007646359910334e-07,2.548812805731743e-07
CH2OH + HCO <=> 2 CH2O,1.8270476160520327e-07,3.189416884570199e-07,3.6300467722294255e-07,1.736318903667841e-07
CH2 + CH2OH <=> CH2O + CH3,-1.7216788671130496e-07,2.6543980333231644e-07,2.881585170482506e-07,1.4024839558359154e-07
CH2OH + H <=> CH2(S) + H2O,-1.6444153063252454e-08,4.775533617581743e-07,6.620496884115475e-07,3.0782228683348994e-07
CH3O + H <=> CH2OH + H,1.0443895924470403e-07,1.490632157355306e-07,1.5001552365416254e-07,7.123457568638669e-08
CH2O + H (+M) <=> CH2OH (+M),-7.733561788890902e-07,8.273981368658198e-07,6.594334584733637e-07,4.5363109990752855e-07
CH2OH + OH <=> CH2O + H2O,2.823184845913976e-07,2.823184845913976e-07,9.791492856532225e-08,7.144625788246188e-08
CH2OH + O <=> CH2O + OH,-2.4050408600676776e-07,4.369429407829795e-07,4.795886996912197e-07,2.0472316638988852e-07
CH2OH + H <=> CH2O + H2,2.2809513428497313e-07,2.4371877704425024e-07,2.554861043048657e-07,2.0818441881213936e-07
CH2OH + H <=> CH3 + OH,-9.623320728691773e-08,1.7706587450294704e-07,2.1323241143304622e-07,1.1008168976472112e-07
CH2OH + O2 <=> CH2O + HO2,1.0449293276383546e-07,3.284999331979619e-07,4.1162301894409717e-07,1.476486860553558e-07
CH3 + CH3O <=> CH2O + CH4,-6.515476801334676e-09,2.2150316061980852e-07,2.6478310086558275e-07,7.034406033781133e-08
CH2OH + CH3 <=> CH2O + CH4,-1.3850114489126876e-10,1.866375972507466e-07,2.32568576782519e-07,7.518642070859545e-08
CH4 + HO2 <=> CH3 + H2O2,1.892973284057191e-08,3.067507535313313e-07,3.8321470724891305e-07,1.3328500194511375e-07
CH3 + H (+M) <=> CH4 (+M),-2.334133279726199e-08,2.9778068645156127e-07,4.4154197669524516e-07,1.946712012340141e-07
CH3 + HCO <=> CH4 + CO,1.4913234300866806e-06,1.4913234300866806e-06,1.7832929064279285e-06,1.5851806150946354e-06
CH4 + OH <=> CH3 + H2O,8.026228360067523e-07,8.026228360067523e-07,5.374263137865292e-07,3.9540971921325897e-07
CH4 + O <=> CH3 + OH,2.1397735599294854e-07,2.407486950233892e-07,2.729842856365053e-07,1.8039819539121598e-07
CH2(S) + CH4 <=> 2 CH3,1.7077900581878194e-08,1.8054320560983302e-07,2.2894629083184145e-07,8.728690024831944e-08
CH2 + CH4 <=> 2 CH3,-2.3921390761796095e-07,2.3921390761796095e-07,1.6509916404307763e-07,1.3081993198284567e-07
CH4 + H <=> CH3 + H2,1.7163778924878135e-06,1.9566630765844084e-06,2.612582305506143e-06,1.6924907279570016e-06
C + CH4 <=> CH + CH3,-3.053576548904003e-07,5.253927930542984e-07,6.001267030489151e-07,2.8005495004552313e-07
CH4 + O2 <=> CH3 + HO2,-2.7783471181969717e-07,2.7783471181969717e-07,2.5940272681826596e-07,1.9561288228780077e-07
CH3OH + O2 <=> CH2OH + HO2,2.213749990814035e-07,4.4352871968414503e-07,5.565204355234934e-07,2.865825446738307e-07
CH3OH + O <=> CH3O + OH,4.823763647692246e-08,1.8176545873606338e-07,2.156025295820805e-07,6.908059236392696e-08
CH3OH + O <=> CH2OH + OH,-1.3753486472707686e-07,2.433938800529146e-07,3.3806520101164545e-07,1.7755948317007428e-07
CH3OH + M <=> CH2(S) + H2O + M,-1.3492252145750879e-09,2.630462410948291e-07,3.7662329661316714e-07,1.9224465910279226e-07
CH2OH + CH3O <=> CH2O + CH3OH,2.509125896133659e-07,4.103505631160284e-07,5.409621541671524e-07,3.0467158548713243e-07
CH2O + CH2OH <=> CH3OH + HCO,4.366197256039463e-07,4.366197256039463e-07,6.691828871068157e-07,5.305143970096698e-07
CH2OH + HCO <=> CH3OH + CO,6.738174942725848e-08,2.9586068277505255e-07,3.4922241951187544e-07,1.0390224533302813e-07
2 CH2OH <=> CH2O + CH3OH,-1.9523227570551225e-07,2.72452363555083e-07,3.153535482180806e-07,1.9507684134132842e-07
CH2O + CH3O <=> CH3OH + HCO,-2.425996717504543e-07,2.521055264369414e-07,3.746518961578665e-07,2.7037610691157106e-07
2 CH3O <=> CH2O + CH3OH,-5.40019497925435e-07,5.40019497925435e-07,3.116624789841895e-07,2.224226528154296e-07
CH3O + HCO <=> CH3OH + CO,6.7857346746592e-08,2.21725621842691e-07,2.79823456978969e-07,1.0532128975164533e-07
CH3 + CH3OH <=> CH3O + CH4,2.416510956811155e-07,3.811203741895955e-07,3.7266765776221095e-07,1.336324267055025e-07
CH3 + CH3OH <=> CH2OH + CH4,-6.80190674638073e-08,2.752996732490404e-07,3.5575274285557844e-07,1.625805445220994e-07
CH2 + CH3OH <=> CH3 + CH3O,8.136809644684824e-08,2.0769398681141612e-07,2.993528158505247e-07,1.703703474375245e-07
CH2 + CH3OH <=> CH2OH + CH3,-9.675936399704797e-08,2.86666689442618e-07,3.5232446851497796e-07,1.427761913018951e-07
CH2(S) + CH3OH <=> CH2OH + CH3,-1.299888344631785e-07,4.53791616032748e-07,7.48689055132131e-07,4.614461721653304e-07
CH3OH + OH <=> CH3O + H2O,4.9767774713312663e-08,2.5320275239893155e-07,3.195757630867983e-07,1.1961407457009654e-07
CH3OH + OH <=> CH2OH + H2O,1.6085221522378992e-07,2.5874909449188136e-07,2.7473803753403157e-07,1.1854815297667791e-07
CH3OH + H <=> CH3O + H2,-1.2973304958652922e-07,1.4899319145331848e-07,1.9481566344241045e-07,1.2576441660868268e-07
CH3OH + H <=> CH2OH + H2,-5.197217044628335e-08,2.756508743735885e-07,3.606452580640461e-07,1.4550674402069358e-07
CH3O + H (+M) <=> CH3OH (+M),-1.8074967245237142e-07,2.1318607071244254e-07,2.15106723832425e-07,1.6087302185656954e-07
CH2OH + H (+M) <=> CH3OH (+M),-1.2392863864151653e-07,1.439590196532235e-07,1.8722905022165683e-07,1.2953664984393924e-07
CH3 + OH (+M) <=> CH3OH (+M),7.555492033567574e-07,7.567164552353579e-07,6.784595120636333e-07,5.332681921569858e-07
CH3O2 + CH3OH <=> CH3O + CH3O2H,-1.6473814053265244e-07,3.546105185303287e-07,5.500029489425805e-07,3.3340017752573515e-07
CH3 + O2 (+M) <=> CH3O2 (+M),-2.8475780822151754e-07,2.8475780822151754e-07,1.9572515422272145e-07,1.4116877105951608e-07
CH3 + CH3O2 <=> 2 CH3O,4.1709883180711766e-08,1.290704486494412e-07,1.768814097530311e-07,8.795649254765999e-08
2 CH3O2 <=> CH2O + CH3OH + O2,2.6756508196029936e-07,2.7279017324205675e-07,2.89275475262052e-07,2.1275897771310314e-07
2 CH3O2 <=> 2 CH3O + O2,-1.7945095437927287e-08,4.2940023854367814e-07,5.138633300719786e-07,1.426919559329286e-07
CH3O2 + H <=> CH3O + OH,5.340194721694945e-08,2.2684969561787155e-07,3.2828245487497824e-07,1.73671756703269e-07
CH3O2 + O <=> CH3O + O2,2.480331524463735e-07,4.668228536233527e-07,7.364795718846464e-07,4.488179912122689e-07
CH3O2 + OH <=> CH3OH + O2,-1.2566277532300636e-07,1.54799810025255e-07,2.4276882216099133e-07,1.6873121430434888e-07
CH2O + CH3O2 <=> CH3O + HCO + OH,1.2098996566997114e-07,2.8122926003373573e-07,2.981401926345934e-07,7.316848425338445e-08
C2H + H <=> C2 + H2,-8.123644343204609e-08,7.591347203602534e-07,8.632706504643514e-07,1.5466186710325936e-07
C2H + OH <=> CH2 + CO,1.7718611061782454e-08,2.8034312957554645e-07,4.03036100395265e-07,1.872833510619274e-07
C2H + O <=> CH + CO,-2.9608172179138287e-07,5.323406761869003e-07,5.712833590657568e-07,1.9514685152720266e-07
C + CH2 <=> C2H + H,-2.0277187591865608e-07,2.9897450845921974e-07,3.934846112481889e-07,2.3007583649476427e-07
C2H + O2 <=> CH + CO2,-4.2311952242334136e-07,7.358984518119386e-07,9.554673756611189e-07,5.59323485621562e-07
C2H + O2 <=> CO + HCO,-8.020734658634079e-08,2.593531166787387e-07,3.145771297955582e-07,1.10778628606248e-07
C2H + OH <=> H + HCCO,-2.8297339924010207e-07,2.8297339924010207e-07,3.7657716223985356e-07,2.95671775163316e-07
CH2 + HCCO <=> C2H + CH2O,-3.2840674727411846e-07,4.273611024277376e-07,5.145429998941824e-07,3.0563442941600164e-07
H + HCCO <=> CH2 + CO,2.8345268989485804e-06,2.959020027299083e-06,6.081096486541217e-06,4.656154408839894e-06
C2H + O2 <=> HCCO + O,-1.7363732204224757e-06,1.7363732204224757e-06,2.3846166360222852e-06,2.0503785287942708e-06
CH + CO <=> HCCO,-1.4593486761571074e-06,1.4593486761571074e-06,2.2211549086804867e-06,1.6780731619701844e-06
HCCO + O <=> 2 CO + H,3.4558256968369874e-07,6.950125690149748e-07,8.250323061123842e-07,3.716160746295278e-07
HCCO + OH <=> CH2O + CO,4.0713137739481305e-07,5.048112087675252e-07,6.747043533716122e-07,4.789112898358119e-07
HCCO + OH <=> 2 HCO,-3.7260059847672246e-07,3.7260059847672246e-07,3.612733623333693e-07,2.815324435905407e-07
HCCO + O2 <=> CO + CO2 + H,-6.1031170683447455e-06,6.1031170683447455e-06,4.920488762376357e-06,3.6222763376590595e-06
HCCO + O2 <=> CO + HCO + O,-3.2719412961988804e-07,4.131014849457918e-07,4.4429947458587154e-07,2.6850383643316497e-07
HCCO + O2 <=> 2 CO + OH,-2.3771116170209114e-07,3.3549607191352836e-07,4.444742304774579e-07,2.586407127562308e-07
C2H + H (+M) <=> C2H2 (+M),7.894363811652343e-08,3.003327191039356e-07,4.518325847106863e-07,2.4241687988389474e-07
C2H2 + O2 <=> 2 HCO,0.0,5.686905446801486e-07,,2.98163335502529e-07
C2H2 + OH <=> CH3 + CO,-1.537661246210513e-07,1.8408841935271409e-07,2.467786327495333e-07,1.689453880478331e-07
C2H2 + OH <=> CH2CO + H,4.6101804695635334e-07,5.070603365459358e-07,3.6352749323294633e-07,2.3794450766974047e-07
C2H2 + OH <=> C2H + H2O,4.219688895319067e-09,2.1038713665437563e-07,3.0572018891245667e-07,1.4995583706647378e-07
C2H2 + O <=> CH2 + CO,-6.164414198221637e-07,7.725759465613876e-07,8.473093224087103e-07,5.692616610991769e-07
C2H2 + O <=> H + HCCO,-1.7052398066974967e-05,1.7052398066974967e-05,1.1775297600051625e-05,9.349673456310271e-06
C2H2 + HO2 <=> CH2CO + OH,1.058405316034969e-07,2.9275443455234845e-07,5.148037787133075e-07,3.4717583425283684e-07
C2H2 + O <=> C2H + OH,-1.9137611208803178e-07,1.9137611208803178e-07,9.456795364828301e-08,7.081938980365932e-08
C2H + CH2OH <=> C2H2 + CH2O,2.0755623196682424e-07,2.0755623196682424e-07,2.4236746816014894e-07,1.9451530011374334e-07
C2H + CH3OH <=> C2H2 + CH3O,-2.0058793649049952e-08,2.0745373941563497e-07,2.7502977217370445e-07,1.1713928105407951e-07
C2H + CH3OH <=> C2H2 + CH2OH,-4.922180866460946e-08,3.7031304450027287e-07,4.497385956001936e-07,1.494757574855944e-07
C2H2 + HO2 => CH2 + CO + OH,2.1992546493634081e-07,3.0968116750710873e-07,2.62816916489965e-07,6.9205769934365e-08
2 HCCO <=> C2H2 + 2 CO,9.73124480939146e-08,5.606744250905771e-07,6.909096869222866e-07,2.629294133018081e-07
2 CH2 <=> C2H2 + 2 H,-4.8733700716943505e-08,2.519731297823378e-07,3.065488840940573e-07,1.0768107986746082e-07
2 CH2 <=> C2H2 + H2,-9.246107792611859e-08,6.530523874345075e-07,8.808387234867267e-07,4.06797822976672e-07
CH + HCCO <=> C2H2 + CO,4.385196223777847e-08,3.206983459378343e-07,4.856352228156062e-07,2.67478822032487e-07
CH + CH2 <=> C2H2 + H,-1.682528803503395e-07,4.1764749515578074e-07,4.873827717926231e-07,1.8027652751534646e-07
C + CH3 <=> C2H2 + H,1.402471561293619e-07,3.686361725569655e-07,4.3789386927193195e-07,1.6684869396793908e-07
C2H2 + CH <=> C2H + CH2,6.083815686200716e-07,7.650312789228298e-07,9.838966043188884e-07,6.308082648571483e-07
C2H2 + CH <=> H2CCCH,3.3569184686633475e-07,3.9152372417359465e-07,6.022749647305939e-07,4.4691717139148173e-07
C2H2 + CH <=> C3H2 + H,-5.875151306560068e-07,6.613489203496688e-07,9.294978190612728e-07,6.383270611298672e-07
C2H2 + H <=> C2H + H2,1.1189984204852969e-08,3.4550741492928796e-07,4.966287241582976e-07,2.5924420063386146e-07
C2H + CH4 <=> C2H2 + CH3,-3.842311933945967e-08,3.678891757064833e-07,4.4799763521499886e-07,1.433027576306226e-07
C2H3 + H <=> H2 + H2CC,4.210945249712823e-06,4.210945249712823e-06,4.41560131287301e-06,3.195674485075695e-06
H2CC + OH <=> CH2CO + H,5.078062728480567e-07,5.078062728480567e-07,4.923883010405933e-07,4.2334166751793597e-07
H2CC + O2 <=> 2 HCO,-2.3017571742800397e-06,2.3017571742800397e-06,1.3174889406866153e-06,1.1157183172384377e-06
H + H2CC <=> C2H2 + H,5.464990686541233e-07,6.215554013830607e-07,8.349327408519214e-07,6.38015743871006e-07
C2H2 + H2CC (+M) <=> C4H4 (+M),-3.042694880132197e-08,1.5393880890300693e-07,1.9156500357110677e-07,7.326119903039542e-08
C2H4 (+M) <=> H2 + H2CC (+M),-6.740370827887918e-06,6.740370827887918e-06,7.74104489542826e-06,6.4604743921928055e-06
C2H2 (+M) <=> H2CC (+M),2.3347030008845452e-06,2.3347030008845452e-06,1.5293707131442244e-06,1.141348827748444e-06
CH2CO + O2 <=> CH2O + CO2,6.945410904474897e-09,1.6292095148569959e-07,2.557640986838277e-07,1.3726584979033665e-07
CH2CO + OH <=> CH2OH + CO,-2.2147695786813761e-07,2.7271275715884076e-07,2.9035665421726093e-07,1.6948313671365813e-07
CH2CO + OH <=> CH3 + CO2,-1.5374400380233286e-07,5.578803724726353e-07,6.575725926078784e-07,2.3513340611829324e-07
CH2CO + O <=> 2 HCO,-3.118752105089762e-08,3.555724897642776e-07,4.3687673334978314e-07,1.4719877913952307e-07
CH2CO + O <=> CO + H + HCO,6.279634524783327e-08,2.956778525864784e-07,4.137191685806536e-07,1.8966139344646563e-07
CH2CO + O <=> CH2O + CO,-8.9687967338745e-08,1.2855010079578297e-07,1.2367070811218834e-07,5.214681683306676e-08
CH2CO + O <=> CH2 + CO2,1.109662361075119e-07,2.833389034588308e-07,4.1024228698157876e-07,2.132302482908423e-07
CH2CO (+M) <=> CH2 + CO (+M),-2.8062602619079653e-07,2.8733657758450557e-07,2.923679539756052e-07,2.371285738705228e-07
CH2CO + H <=> CH3 + CO,2.6674205379404932e-06,2.6674205379404932e-06,3.2048749524646956e-06,2.789279630771105e-06
CH2CO + H <=> CH2CHO,-1.0678697719132872e-08,2.439705883815248e-07,3.4794077862954924e-07,1.5439288577787467e-07
CH2CO + H <=> CH3CO,2.472221099579535e-07,2.619447453928005e-07,2.4399139643354644e-07,1.993540381112584e-07
CH2CO + H <=> H2 + HCCO,-2.2711804592846686e-06,2.90332573776941e-06,3.325954255827666e-06,2.021539390142725e-06
CH2CO + O <=> HCCO + OH,-3.289965503259572e-07,3.289965503259572e-07,1.7026868150428298e-07,1.2514271826774818e-07
C2H2 + CH2OH <=> C2H3 + CH2O,-1.074703243291559e-08,1.7123640528933134e-07,2.1232336486412143e-07,7.43097067901983e-08
C2H3 + CH3 <=> C2H2 + CH4,2.5215251340882247e-06,2.5215251340882247e-06,2.260058032336128e-06,1.7556003815220315e-06
C2H3 + HO2 => CH3 + CO + OH,1.713747910502629e-07,2.5407518968961037e-07,2.5474788291783693e-07,1.1303258916880258e-07
C2H3 + OH <=> C2H2 + H2O,5.442517637409112e-07,5.850180562767354e-07,7.419139867380448e-07,4.811477826801565e-07
C2H3 + O <=> CH3 + CO,6.585986421170418e-07,6.940038418880434e-07,6.137513240424695e-07,4.426529179134867e-07
C2H + C2H3 <=> 2 C2H2,1.1072035639668793e-07,2.570183600180067e-07,3.2543740570909447e-07,1.6940714149735354e-07
CH2 + HCCO <=> C2H3 + CO,3.545758959348988e-07,4.464351362304232e-07,5.424435960684955e-07,3.503261400338136e-07
C2H3 + CH2 <=> C2H2 + CH3,3.049683483821783e-07,3.2348815071900334e-07,2.396898613899689e-07,1.7184606816331483e-07
C2H3 + CH <=> C2H2 + CH2,-6.523584318632168e-08,3.5277135757242344e-07,4.5699693234979143e-07,1.9278505841795903e-07
CH + CH3 <=> C2H3 + H,-1.770259845721334e-07,3.5694462282080495e-07,4.4515876425317207e-07,2.0861713818162056e-07
C2H3 + H <=> C2H2 + H2,3.3201905144111397e-06,3.3217493978879203e-06,5.7039906901164355e-06,4.892214888320093e-06
C2H2 + H (+M) <=> C2H3 (+M),-7.208271189130294e-06,7.208271189130294e-06,5.162089861310847e-06,3.938417764483123e-06
C2H3 + O2 <=> CH2CO + OH,-2.268016939030107e-07,4.830676993561328e-07,,3.6571769401225516e-07
C2H3 + O2 => CH2O + CO + H,-5.851430491696553e-07,3.258894908909906e-06,,3.79034171227874e-06
C2H3 + O2 <=> CH3O + CO,-3.653719734104551e-08,6.812588284874972e-07,,4.6279305962466653e-07
C2H3 + O2 <=> CH3 + CO2,6.801847429237654e-08,2.996960203130023e-07,,1.1102830120820606e-07
C2H3 + O2 <=> CH2CHO + O,-7.572185889263751e-06,9.543869154778344e-06,,5.711697479286607e-06
C2H3 + O2 <=> C2H2 + HO2,6.165945319203245e-07,9.95340200438926e-07,,9.984625501136788e-07
C2H3 + O2 <=> CH2O + HCO,2.48360200900622e-07,5.434181643890747e-07,,3.648255148508647e-07
CH2CHO + O2 <=> CH2O + CO + OH,2.0021325453118425e-07,3.920324628632017e-07,4.61686526822407e-07,1.891896758576408e-07
CH + CH2CHO <=> C2H3 + HCO,1.1757853449036664e-08,3.4212441915856127e-07,3.924384218246001e-07,7.040841627647047e-08
CH2CHO + OH <=> CH2OH + HCO,4.825866313835619e-07,5.402408857643719e-07,4.3389460174369015e-07,2.559790325970233e-07
CH2CHO + OH <=> CH2CO + H2O,6.737940924797522e-08,2.501183280983098e-07,2.9842639084851556e-07,1.0790794574669421e-07
CH2CHO + O <=> CH2O + HCO,5.907883482874813e-08,3.504757321901478e-07,5.603365920833167e-07,3.3054280695767187e-07
CH2CHO + CH3 <=> C2H5 + HCO,-1.6346255206409657e-07,2.6136889607234904e-07,2.760092267649983e-07,1.219981447725662e-07
CH2CHO + H <=> CH3 + HCO,-3.341271882603718e-08,9.298549625140178e-08,,4.340109981063861e-08
CH2CHO + H <=> CH3CO + H,-1.0397455691804714e-07,2.95419437136291e-07,3.693558431273736e-07,1.7139199520359873e-07
CH2CHO <=> CH3CO,-1.7826037211057452e-07,3.3667079846280577e-07,4.128309507094231e-07,1.878907378855854e-07
CH2CHO <=> CH3 + CO,-4.6805584707115865e-08,6.503788178730848e-07,7.705268510248646e-07,2.0968106155959787e-07
CH3CO <=> CH3 + CO,1.98184398972423e-06,1.995721996513342e-06,2.4666528696806444e-06,1.8647982175977386e-06
CH3CO + OH <=> CH2CO + H2O,1.612079398428625e-08,2.774548499574235e-07,3.666589117495877e-07,1.503600650840512e-07
CH3CO + O <=> CH2CO + OH,2.3792584376438765e-07,2.3792584376438765e-07,1.5249166582548426e-07,1.2548820593132386e-07
CH3CO + O <=> CH3 + CO2,-1.2755833435351085e-07,2.6771577587408394e-07,2.963630474937995e-07,1.0284556985142572e-07
CH3CO + H <=> CH2CO + H2,1.2318702890062207e-07,2.1944309447385052e-07,2.814114115441285e-07,1.3133226031825203e-07
CH3CO + H <=> CH3 + HCO,-6.049225899659136e-08,1.052861768145887e-07,1.1258004738648339e-07,4.737823427036724e-08
C2H3 + CH3O <=> C2H4 + CH2O,3.648163021657137e-07,4.0290782442335527e-07,3.7035081242391803e-07,2.439762204122248e-07
C2H3 + CH2OH <=> C2H4 + CH2O,1.7031105132538153e-07,2.1712267088236333e-07,3.2042658446293613e-07,1.9858347213661807e-07
CH2 + CH2OH <=> C2H4 + OH,4.03346664643656e-08,3.579177510834625e-07,5.678424739640508e-07,3.646018744190818e-07
C2H3 + CH3OH <=> C2H4 + CH3O,3.2978444769690786e-07,3.2978444769690786e-07,3.20143189149348e-07,2.6737459742229843e-07
C2H3 + CH3OH <=> C2H4 + CH2OH,-1.3353716602039555e-07,2.698390283749553e-07,3.0250680098826443e-07,1.354694178585133e-07
C2H3 + HCO <=> C2H4 + CO,9.366165818708053e-08,3.0922029661325183e-07,3.3853153807413023e-07,6.522403101140703e-08
C2H3 + H2O2 <=> C2H4 + HO2,-3.0748089968027056e-07,4.0628699441178647e-07,3.9923755605777384e-07,1.9791202420651768e-07
C2H3 + CH2O <=> C2H4 + HCO,6.066331693725307e-08,1.37572489913391e-07,1.5505060895316563e-07,4.93509209136968e-08
2 C2H3 <=> C2H2 + C2H4,3.563722986713777e-07,3.713756875379377e-07,4.4805291669197714e-07,3.494492635698468e-07
CH2 + CH2CHO <=> C2H4 + HCO,3.343206504291218e-08,2.7381785708974553e-07,3.749462561354975e-07,1.735265516384022e-07
CH2 + CH3 <=> C2H4 + H,3.189727373310955e-07,3.189727373310955e-07,3.6704695841367313e-07,2.863888852030838e-07
C2H4 + CH3 <=> C2H3 + CH4,-5.196166922412344e-07,6.004661558960194e-07,8.16708983972157e-07,5.842070484310091e-07
CH + CH4 <=> C2H4 + H,1.8734260384700876e-08,4.006406424814317e-07,4.831203333534907e-07,1.3859141212009245e-07
C2H4 + CH2 <=> C3H6,1.492767873763098e-06,1.555595596549351e-06,2.0778910587270948e-06,1.494080714866221e-06
C2H4 + CH2(S) <=> C3H6,1.4407574465736353e-06,1.4407574465736353e-06,5.875275922116867e-07,4.6984851880734174e-07
C2H4 + O2 <=> C2H3 + HO2,-1.2375751653292725e-07,2.0318647620131788e-07,2.50868168377522e-07,1.3228856247665284e-07
C2H3 + H (+M) <=> C2H4 (+M),4.762188233172586e-06,1.2213667056880246e-05,2.124447772302166e-05,1.2525181661375422e-05
C2H4 + H (+M) <=> C2H5 (+M),5.213497204219778e-08,3.607870493146012e-07,4.4044754170727535e-07,1.583180555581473e-07
C2H4 + H <=> C2H3 + H2,9.454930823063284e-06,9.454930823063284e-06,1.0837048355984989e-05,9.709719246587947e-06
C2H4 + OH <=> C2H3 + H2O,-1.1985598482979983e-05,1.1985598482979983e-05,2.797404282589108e-06,2.15660589563199e-06
C2H4 + OH <=> CH2O + CH3,3.899959470614319e-07,4.093725419102564e-07,3.12691315647468e-07,2.659941682072891e-07
C2H4 + OH <=> C2H3OH + H,-2.1476413293077646e-06,2.4427897254534663e-06,2.3443756448855773e-06,1.6303309975144285e-06
C2H4 + OH <=> CH3CHO + H,-4.4580926378284354e-07,4.4580926378284354e-07,3.6494531311680996e-07,2.7795054847959905e-07
C2H4 + OH <=> CH2CH2OH,2.2362313332408155e-07,3.088348722565291e-07,,2.0416229703353868e-07
C2H4 + O <=> CH2 + CH2O,-4.953814878256164e-06,4.953814878256164e-06,3.396920674527374e-06,2.8094465061857434e-06
C2H4 + O <=> CH3 + HCO,-7.9400381090251e-07,2.101509846374535e-06,2.676304208627633e-06,1.2987686524893336e-06
C2H4 + O <=> CH2CO + H2,4.772720419533524e-06,4.772720419533524e-06,2.1195303336676623e-06,1.694858852397629e-06
C2H4 + O <=> CH2CHO + H,-1.7480941470732055e-05,1.7480941470732055e-05,1.0059569135052273e-05,8.034204206381047e-06
C2H4 + HO2 <=> CH2OCH2 + OH,1.4825721886699365e-07,2.259888421793279e-07,2.7140880595865005e-07,1.4113308175888472e-07
CH2CH2O2H <=> C2H4 + HO2,-1.554215333197595e-08,2.9442647792880244e-07,4.2418203905871136e-07,1.9633893360580394e-07
CH3CHO (+M) <=> CH3 + HCO (+M),-1.2432164050869669e-07,2.2048741720110993e-07,2.602781182407329e-07,1.2583680698505533e-07
CH3CHO (+M) <=> CH4 + CO (+M),1.876833664151777e-07,3.061142808331997e-07,5.328153282913982e-07,3.391076489633881e-07
CH3CHO + O2 <=> CH3CO + HO2,1.0987048039861173e-07,3.654848746889281e-07,4.5023430102870167e-07,1.813747388840588e-07
CH3CHO + HO2 <=> CH2CHO + H2O2,-9.398647639461666e-08,2.7941976598635414e-07,3.80016743574736e-07,2.0098081550931044e-07
CH3CHO + HO2 <=> CH3CO + H2O2,9.469601238148651e-08,1.9553523632093273e-07,3.2275446192384776e-07,2.14304125649293e-07
CH3 + CH3CHO <=> CH2CHO + CH4,1.2969357484567437e-07,1.989624875033198e-07,2.5961467367116825e-07,1.5697737094937656e-07
CH3 + CH3CHO <=> CH3CO + CH4,2.1427436057318816e-07,3.143416029729587e-07,3.521367212294026e-07,1.8554827430055223e-07
CH3CHO + H <=> CH2CHO + H2,-2.44431961058441e-09,4.105443447178733e-07,4.771259996003069e-07,1.0473603599783456e-07
CH3CHO + H <=> CH3CO + H2,3.795233789461044e-07,4.202480269197565e-07,4.3246526563492164e-07,3.3868147672423384e-07
CH3CHO + O <=> CH2CHO + OH,2.389604024322415e-07,2.710409899358196e-07,2.239934768661408e-07,1.2871582094368193e-07
CH3CHO + O <=> CH3CO + OH,-5.310514304749905e-07,5.708287024862916e-07,5.063993816879897e-07,3.2357880709007836e-07
CH3CHO + OH <=> CH2CHO + H2O,-2.023857205761923e-07,3.835458022094508e-07,4.939005788630234e-07,2.3812673117429246e-07
CH3CHO + OH <=> CH3CO + H2O,2.410242211271831e-07,2.794120763496602e-07,2.9215750280668446e-07,1.976037385101835e-07
CH2OCH2 <=> CH3CHO,-2.2163103162058983e-08,2.0239540155885374e-07,2.261616505806077e-07,1.8721976349754068e-08
CH2OCH2 <=> CH3 + HCO,3.4330429799573676e-08,2.1313684059618415e-07,2.7233474508056555e-07,1.0914216484116122e-07
CH2OCH2 <=> CH4 + CO,9.267461527450973e-08,1.6906411502619161e-07,2.4669703064718233e-07,1.450145028873717e-07
CH2OCH2 <=> CH3CO + H,-1.473093344849182e-07,2.6361246424503187e-07,3.395443921297906e-07,1.7392204399929086e-07
CH2OCH2 <=> CH2CHO + H,2.448801677160224e-07,2.448801677160224e-07,2.6840872380794347e-07,2.1112316599662462e-07
CH2OCH2 <=> CH2CO + H2,-1.4774053952011796e-07,2.3177608168371213e-07,2.5455079582594065e-07,1.4169834435893326e-07
CH2OCH2 <=> C2H2 + H2O,2.168625712519392e-08,5.170911531865098e-07,7.361690394877829e-07,3.851214237825555e-07
CH2OCH <=> CH3 + CO,-4.296766145472735e-08,1.4367423585677433e-07,2.2807951642648303e-07,1.412152092612086e-07
CH2OCH <=> CH2CO + H,2.5589866691381545e-07,2.5589866691381545e-07,1.9861556076296482e-07,1.4651122944205844e-07
CH2OCH <=> CH2CHO,6.204503024640358e-08,2.0971700886008003e-07,2.45567643041004e-07,7.116847464533532e-08
